family,check,status,expected,got
A,v1 extract row count reproduced by v1.1.0,PASS,1832,1832
A,v1 rate row reproduced: all 2023,PASS,490/226,490/226
A,v1 rate row reproduced: all 2024,PASS,408/206,408/206
A,v1 rate row reproduced: all 2025,PASS,484/215,484/215
A,v1 rate row reproduced: all 2026,PASS,450/180,450/180
A,v1 rate row reproduced: in_zone 2023,PASS,391/185,391/185
A,v1 rate row reproduced: in_zone 2024,PASS,338/177,338/177
A,v1 rate row reproduced: in_zone 2025,PASS,413/181,413/181
A,v1 rate row reproduced: in_zone 2026,PASS,379/152,379/152
A,v1 rate row reproduced: outside 2023,PASS,99/41,99/41
A,v1 rate row reproduced: outside 2024,PASS,70/29,70/29
A,v1 rate row reproduced: outside 2025,PASS,71/34,71/34
A,v1 rate row reproduced: outside 2026,PASS,71/28,71/28
A,every v1 rate row was matched,PASS,12,12
A,v1 z reproduced: outside pull,PASS,-0.583579459680774,-0.583579459680774
A,v1 z reproduced: outside oppo,PASS,0.09762685080197335,0.09762685080197335
A,v1 z reproduced: outside straightaway,PASS,0.5764555160399916,0.5764555160399916
A,v1 z reproduced: in_zone pull,PASS,-2.5203490799070676,-2.5203490799070676
A,v1 z reproduced: in_zone oppo,PASS,2.0380391247070078,2.0380391247070078
A,v1 z reproduced: in_zone straightaway,PASS,0.741002833702939,0.741002833702939
B,rate table recomputed: all 2023,PASS,490/226/157,490/226/157
B,rate table recomputed: all 2024,PASS,408/206/111,408/206/111
B,rate table recomputed: all 2025,PASS,484/215/152,484/215/152
B,rate table recomputed: all 2026,PASS,450/180/158,450/180/158
B,rate table recomputed: in_zone 2023,PASS,391/185/117,391/185/117
B,rate table recomputed: in_zone 2024,PASS,338/177/86,338/177/86
B,rate table recomputed: in_zone 2025,PASS,413/181/134,413/181/134
B,rate table recomputed: in_zone 2026,PASS,379/152/133,379/152/133
B,rate table recomputed: outside 2023,PASS,99/41/40,99/41/40
B,rate table recomputed: outside 2024,PASS,70/29/25,70/29/25
B,rate table recomputed: outside 2025,PASS,71/34/18,71/34/18
B,rate table recomputed: outside 2026,PASS,71/28/25,71/28/25
B,z recomputed: in_zone pull,PASS,-2.5203490799070676,-2.52034908
B,z recomputed: in_zone straightaway,PASS,0.741002833702939,0.741002834
B,z recomputed: in_zone oppo,PASS,2.0380391247070078,2.038039125
B,z recomputed: outside pull,PASS,-0.583579459680774,-0.58357946
B,z recomputed: outside straightaway,PASS,0.5764555160399916,0.576455516
B,z recomputed: outside oppo,PASS,0.09762685080197335,0.097626851
B,ooz share recomputed: 2023,PASS,0.20204081632653062,0.202040816
B,ooz share recomputed: 2024,PASS,0.1715686274509804,0.171568627
B,ooz share recomputed: 2025,PASS,0.14669421487603307,0.146694215
B,ooz share recomputed: 2026,PASS,0.15777777777777777,0.157777778
B,zone slices partition the BIP frame exactly,PASS,1832,1832
