game_year,zone_int,hit_direction,n
2023,1,Oppo,6
2023,1,Pull,19
2023,1,Straightaway,2
2023,2,Oppo,14
2023,2,Pull,12
2023,2,Straightaway,4
2023,3,Oppo,12
2023,3,Pull,5
2023,3,Straightaway,7
2023,4,Oppo,8
2023,4,Pull,39
2023,4,Straightaway,14
2023,5,Oppo,25
2023,5,Pull,29
2023,5,Straightaway,14
2023,6,Oppo,14
2023,6,Pull,10
2023,6,Straightaway,14
2023,7,Oppo,3
2023,7,Pull,14
2023,7,Straightaway,5
2023,8,Oppo,12
2023,8,Pull,33
2023,8,Straightaway,19
2023,9,Oppo,23
2023,9,Pull,24
2023,9,Straightaway,10
2024,1,Oppo,2
2024,1,Pull,12
2024,1,Straightaway,1
2024,2,Oppo,5
2024,2,Pull,7
2024,2,Straightaway,10
2024,3,Oppo,3
2024,3,Pull,4
2024,3,Straightaway,4
2024,4,Oppo,7
2024,4,Pull,33
2024,4,Straightaway,6
2024,5,Oppo,18
2024,5,Pull,31
2024,5,Straightaway,19
2024,6,Oppo,21
2024,6,Pull,19
2024,6,Straightaway,10
2024,7,Oppo,4
2024,7,Pull,14
2024,7,Straightaway,3
2024,8,Oppo,10
2024,8,Pull,32
2024,8,Straightaway,7
2024,9,Oppo,16
2024,9,Pull,25
2024,9,Straightaway,15
2025,1,Oppo,1
2025,1,Pull,14
2025,1,Straightaway,4
2025,2,Oppo,13
2025,2,Pull,8
2025,2,Straightaway,8
2025,3,Oppo,7
2025,3,Pull,4
2025,3,Straightaway,4
2025,4,Oppo,17
2025,4,Pull,31
2025,4,Straightaway,11
2025,5,Oppo,29
2025,5,Pull,26
2025,5,Straightaway,27
2025,6,Oppo,24
2025,6,Pull,13
2025,6,Straightaway,12
2025,7,Oppo,3
2025,7,Pull,28
2025,7,Straightaway,5
2025,8,Oppo,23
2025,8,Pull,36
2025,8,Straightaway,15
2025,9,Oppo,17
2025,9,Pull,21
2025,9,Straightaway,12
2026,1,Oppo,8
2026,1,Pull,17
2026,1,Straightaway,6
2026,2,Oppo,15
2026,2,Pull,7
2026,2,Straightaway,9
2026,3,Oppo,10
2026,3,Pull,3
2026,3,Straightaway,1
2026,4,Oppo,9
2026,4,Pull,30
2026,4,Straightaway,10
2026,5,Oppo,28
2026,5,Pull,28
2026,5,Straightaway,20
2026,6,Oppo,25
2026,6,Pull,13
2026,6,Straightaway,21
2026,7,Oppo,7
2026,7,Pull,15
2026,7,Straightaway,4
2026,8,Oppo,14
2026,8,Pull,21
2026,8,Straightaway,10
2026,9,Oppo,17
2026,9,Pull,18
2026,9,Straightaway,13
