player_name,game_year,n_bip,pull_n,straight_n,oppo_n,pull_rate,straight_rate,oppo_rate,below_floor
"Turner, Trea",2026,469,186,119,164,0.396588,0.253731,0.34968,False
"Bohm, Alec",2026,451,168,127,156,0.372506,0.281596,0.345898,False
"Stott, Bryson",2026,410,203,103,104,0.495122,0.25122,0.253659,False
"Harper, Bryce",2026,405,201,100,104,0.496296,0.246914,0.25679,False
"Marsh, Brandon",2026,373,184,78,111,0.493298,0.209115,0.297587,False
"Schwarber, Kyle",2026,340,213,66,61,0.626471,0.194118,0.179412,False
"Crawford, Justin",2026,331,123,79,129,0.371601,0.238671,0.389728,False
"Realmuto, J.T.",2026,299,150,68,81,0.501672,0.227425,0.270903,False
"Sosa, Edmundo",2026,172,84,47,41,0.488372,0.273256,0.238372,False
"García, Adolis",2026,150,67,40,43,0.446667,0.266667,0.286667,False
"Arraez, Luis",2026,148,54,45,49,0.364865,0.304054,0.331081,False
"Marchán, Rafael",2026,76,40,19,17,0.526316,0.25,0.223684,False
"Hill, Derek",2026,74,30,14,30,0.405405,0.189189,0.405405,False
"Rincones Jr., Gabriel",2026,56,21,14,21,0.375,0.25,0.375,False
"De La Cruz, Bryan",2026,52,23,12,17,0.442308,0.230769,0.326923,False
"Stubbs, Garrett",2026,43,17,10,16,0.395349,0.232558,0.372093,False
"Reyes, Felix",2026,29,16,7,6,0.551724,0.241379,0.206897,False
"Kemp, Otto",2026,15,3,1,11,0.2,0.066667,0.733333,True
"Moore, Dylan",2026,6,0,4,2,0.0,0.666667,0.333333,True
"Berroa, Steward",2026,3,0,2,1,0.0,0.666667,0.333333,True
