game_year,bb_type,bips,total_level,share,below_floor,n_la,min_la,max_la,mu_la,std_la,p5_la,p95_la,n_ev,min_ev,max_ev,mu_ev,std_ev,p5_ev,p95_ev,n_dist,min_dist,max_dist,mu_dist,std_dist,p5_dist,p95_dist
2024,fly_ball,1122,4217,0.266,False,1121,20.0,69.0,37.147,9.504,24.0,55.0,1121,58.5,114.9,91.759,10.583,71.7,106.7,1113,114.0,459.0,312.878,63.558,205.0,410.0
2024,ground_ball,1827,4217,0.433,False,1820,-85.0,68.0,-12.28,18.388,-51.0,8.0,1817,11.5,115.2,85.415,16.997,54.5,106.8,1820,0.0,204.0,33.356,38.332,2.0,118.05
2024,line_drive,1013,4217,0.24,False,1013,-5.0,34.0,16.533,5.247,8.0,25.0,1013,43.7,115.6,93.819,11.532,73.22,108.94,1013,17.0,427.0,252.727,70.273,144.0,360.0
2024,popup,255,4217,0.06,False,255,26.0,89.0,65.255,10.287,45.7,80.0,255,24.1,100.0,76.301,12.804,53.52,93.36,255,10.0,225.0,127.302,48.485,39.4,195.6
2025,fly_ball,1144,4232,0.27,False,1144,17.0,65.0,36.848,9.88,24.0,56.0,1144,61.3,116.7,92.649,10.343,72.915,107.3,1142,151.0,468.0,315.68,64.201,205.0,414.0
2025,ground_ball,1825,4232,0.431,False,1819,-84.0,51.0,-11.824,17.524,-47.1,8.0,1817,19.2,114.1,86.03,16.637,55.48,106.3,1819,0.0,184.0,34.52,40.062,2.0,122.0
2025,line_drive,1050,4232,0.248,False,1050,3.0,39.0,16.619,5.588,8.0,26.0,1050,31.5,117.2,94.154,11.913,73.4,108.91,1049,64.0,424.0,253.35,71.915,142.0,365.0
2025,popup,213,4232,0.05,False,213,20.0,89.0,66.258,10.576,47.6,83.4,213,30.2,102.8,77.743,12.179,57.48,94.44,213,6.0,231.0,125.596,46.298,43.6,196.0
2026,fly_ball,999,3902,0.256,False,998,0.0,65.0,36.699,9.652,24.0,56.0,998,60.4,113.0,92.19,9.77,73.585,106.7,996,47.0,464.0,318.325,62.321,211.0,411.25
2026,ground_ball,1700,3902,0.436,False,1690,-90.0,39.0,-13.022,18.854,-55.0,8.0,1690,19.9,111.6,85.65,16.328,54.28,105.5,1689,0.0,167.0,32.191,37.902,1.0,120.0
2026,line_drive,959,3902,0.246,False,958,2.0,30.0,16.451,5.415,8.0,25.0,958,43.5,113.5,93.692,10.845,75.3,108.33,958,56.0,419.0,253.075,71.447,144.0,365.3
2026,popup,244,3902,0.063,False,244,26.0,88.0,67.455,10.75,50.0,83.0,244,24.9,102.7,77.0,12.484,53.965,92.085,244,8.0,233.0,116.086,53.308,27.0,189.85
