game_year,hit_direction,bb_type,bips,total_level,share,below_floor,n_la,min_la,max_la,mu_la,std_la,p5_la,p95_la,n_ev,min_ev,max_ev,mu_ev,std_ev,p5_ev,p95_ev,n_dist,min_dist,max_dist,mu_dist,std_dist,p5_dist,p95_dist
2024,Oppo,fly_ball,492,1313,0.375,False,491,20.0,69.0,39.002,9.882,25.0,57.5,491,58.5,107.3,89.3,9.45,70.75,102.6,487,114.0,406.0,290.546,56.281,196.3,381.0
2024,Oppo,ground_ball,316,1313,0.241,False,313,-85.0,25.0,-11.712,20.816,-58.2,9.0,311,28.9,112.0,80.894,20.195,42.05,105.85,313,0.0,204.0,38.78,42.588,1.0,127.2
2024,Oppo,line_drive,338,1313,0.257,False,338,-5.0,34.0,17.109,5.576,8.0,26.0,338,43.7,111.4,92.352,11.108,72.47,105.715,338,17.0,365.0,253.757,64.252,146.7,346.3
2024,Oppo,popup,167,1313,0.127,False,167,26.0,89.0,66.024,10.106,46.3,79.0,167,41.0,98.6,76.014,11.723,55.83,91.41,167,10.0,209.0,125.563,45.472,47.3,190.7
2024,Pull,fly_ball,352,2003,0.176,False,352,22.0,62.0,35.423,9.35,23.0,54.0,352,62.1,114.9,95.276,11.119,73.955,109.145,349,156.0,459.0,336.908,65.997,218.8,427.6
2024,Pull,ground_ball,1184,2003,0.591,False,1181,-85.0,68.0,-13.101,17.947,-48.0,7.0,1180,11.5,115.2,85.574,15.956,57.1,106.1,1181,0.0,191.0,30.026,35.405,2.0,108.0
2024,Pull,line_drive,408,2003,0.204,False,408,5.0,30.0,15.89,5.227,8.0,25.0,408,47.9,115.6,94.45,11.798,74.435,109.7,408,100.0,427.0,237.752,70.551,138.0,355.3
2024,Pull,popup,59,2003,0.029,False,59,38.0,89.0,66.542,10.261,52.8,84.0,59,24.1,100.0,76.692,15.155,49.81,95.34,59,18.0,200.0,117.475,54.093,30.8,188.4
2024,Straightaway,fly_ball,278,901,0.309,False,278,22.0,59.0,36.054,8.402,25.0,52.0,278,64.6,110.0,91.65,10.57,70.985,104.5,277,193.0,439.0,321.863,59.288,220.8,408.0
2024,Straightaway,ground_ball,327,901,0.363,False,326,-76.0,27.0,-9.85,17.275,-46.75,8.0,326,22.8,110.2,89.15,16.37,56.975,108.0,326,0.0,152.0,40.212,42.61,2.0,134.0
2024,Straightaway,line_drive,267,901,0.296,False,267,6.0,30.0,16.787,4.735,9.0,24.0,267,52.1,113.8,94.713,11.51,73.0,109.37,267,70.0,421.0,274.303,71.618,157.9,379.4
2024,Straightaway,popup,29,901,0.032,False,29,41.0,72.0,58.207,8.829,42.8,71.0,29,43.1,96.6,77.159,13.973,50.5,96.48,29,83.0,225.0,157.31,43.03,92.2,217.8
2025,Oppo,fly_ball,461,1238,0.372,False,461,22.0,65.0,39.633,10.401,25.0,58.0,461,61.3,109.4,89.944,8.892,72.8,102.3,461,161.0,430.0,288.761,54.592,195.0,373.0
2025,Oppo,ground_ball,331,1238,0.267,False,330,-83.0,25.0,-11.533,19.753,-57.0,9.0,329,19.2,109.6,82.482,20.16,43.34,105.36,330,0.0,184.0,40.091,43.69,1.45,126.1
2025,Oppo,line_drive,315,1238,0.254,False,315,3.0,39.0,17.302,5.89,8.0,26.0,315,31.5,111.1,91.504,12.676,67.28,106.06,315,64.0,394.0,250.238,69.29,130.7,351.3
2025,Oppo,popup,131,1238,0.106,False,131,35.0,87.0,66.924,9.358,48.0,80.0,131,35.2,99.5,77.319,10.556,58.95,91.55,131,23.0,215.0,125.794,42.114,50.0,190.0
2025,Pull,fly_ball,334,2000,0.167,False,334,17.0,65.0,34.446,9.046,23.65,52.35,334,61.5,116.7,96.371,10.586,75.9,110.635,333,151.0,468.0,342.916,61.786,229.2,428.0
2025,Pull,ground_ball,1172,2000,0.586,False,1170,-84.0,40.0,-12.572,17.082,-47.0,7.0,1170,20.5,114.1,86.621,15.437,60.725,106.3,1170,0.0,178.0,31.116,37.041,2.0,113.55
2025,Pull,line_drive,438,2000,0.219,False,438,3.0,29.0,16.057,5.387,8.0,25.0,438,53.0,117.2,96.291,11.039,76.355,110.315,438,81.0,413.0,247.091,70.843,141.0,361.15
2025,Pull,popup,56,2000,0.028,False,56,30.0,89.0,68.357,11.686,48.75,87.0,56,37.7,101.0,78.514,14.175,52.65,95.3,56,6.0,203.0,111.286,51.871,37.75,192.0
