claim,recomputed,report,result
2026 starts,20.0,20.0,PASS
2026 pitches,1903.0,1903.0,PASS
2026 PA,525.0,525.0,PASS
2026 K,144.0,144.0,PASS
2026 BB (incl IBB),25.0,25.0,PASS
2026 HR,12.0,12.0,PASS
2025 HR,12.0,12.0,PASS
2026 outs,378.0,378.0,PASS
2026 RA9,2.79,2.79,PASS
2026 xwOBA,0.279,0.279,PASS
2025 xwOBA,0.279,0.279,PASS
2026 wOBA (statcast method vs .292),0.301,0.292,PASS
2025 wOBA (statcast method vs .263),0.275,0.263,FAIL
QR-1 2026,0.503,0.503,PASS
QR-1 2025,0.522,0.522,PASS
"HR in <=3-pitch PAs, 2026",10.0,10.0,PASS
SL-1 streak outs,155.0,155.0,PASS
Slider whiff 2026,0.445,0.445,PASS
Changeup xwOBA 2026,0.193,0.193,PASS
Chase rate 2026,0.386,0.386,PASS
KC outs,9.0,9.0,PASS
KC runs,9.0,9.0,PASS
staff QR-1 median (>=500p),0.426,0.426,PASS
