pitcher,total_success,total_pas,success_rate,player_name,rank,STATUS
681003,25,58,0.431,"Walling, Andrew",1,PROVISIONAL — NOT RATIFIED
669060,105,248,0.423,"Wilson, Bryse",2,PROVISIONAL — NOT RATIFIED
680880,22,52,0.423,"Holman, Grant",3,PROVISIONAL — NOT RATIFIED
670950,21,50,0.42,"Richards, Trevor",4,PROVISIONAL — NOT RATIFIED
662144,60,146,0.411,"Keller, Brian",5,PROVISIONAL — NOT RATIFIED
675650,64,158,0.405,"Mercado, Michael",6,PROVISIONAL — NOT RATIFIED
691725,32,79,0.405,"Painter, Andrew",7,PROVISIONAL — NOT RATIFIED
663465,46,117,0.393,"Allard, Kolby",8,PROVISIONAL — NOT RATIFIED
666155,123,315,0.39,"King, Chuck",9,PROVISIONAL — NOT RATIFIED
676510,55,142,0.387,"Hoffman, Nolan",10,PROVISIONAL — NOT RATIFIED
642152,45,117,0.385,"Trivino III, Lou",11,PROVISIONAL — NOT RATIFIED
666148,68,178,0.382,"Fellows, Drake",12,PROVISIONAL — NOT RATIFIED
680743,112,295,0.38,"Cusick, Ryan",13,PROVISIONAL — NOT RATIFIED
554430,17,45,0.378,"Wheeler, Zack",14,PROVISIONAL — NOT RATIFIED
686751,45,121,0.372,"Johnson, Seth",15,PROVISIONAL — NOT RATIFIED
676661,29,79,0.367,"Lazar, Max",16,PROVISIONAL — NOT RATIFIED
679775,17,49,0.347,"Backhus, Kyle",17,PROVISIONAL — NOT RATIFIED
656353,109,315,0.346,"Davidson, Tucker",18,PROVISIONAL — NOT RATIFIED
669912,35,105,0.333,"Snead, Kirby",19,PROVISIONAL — NOT RATIFIED
660604,98,296,0.331,"Rangel, Alan",20,PROVISIONAL — NOT RATIFIED
679702,18,55,0.327,"Harper, Daniel",21,PROVISIONAL — NOT RATIFIED
691893,45,140,0.321,"Cabrera, Jean",22,PROVISIONAL — NOT RATIFIED
642546,22,70,0.314,"Hernández, Jonathan",23,PROVISIONAL — NOT RATIFIED
650893,25,82,0.305,"Cabrera, Génesis",24,PROVISIONAL — NOT RATIFIED
687362,20,67,0.299,"Gillispie, Connor",25,PROVISIONAL — NOT RATIFIED
657510,16,54,0.296,"Bechtold, Andrew",26,PROVISIONAL — NOT RATIFIED
666748,14,57,0.246,"Neunborn, Mitch",27,PROVISIONAL — NOT RATIFIED
669111,10,45,0.222,"McMillon, John",28,PROVISIONAL — NOT RATIFIED
