era_tier,pitch_name,pitches,velo,velo_max,spin,ivb_in,hb_in,ext_ft,arm_angle,usage,whiff_rate,chase_rate,in_zone_rate,csw_rate,bips,hard_hit_rate,avg_ev,xwobacon,xwobacon_bip,hr
2026 SF (relief),4-Seam Fastball,361,96.81,99.0,2381.787,15.696,1.804,6.645,47.002,0.496,0.192,0.273,0.543,0.266,54,0.389,84.315,0.319,54,1.0
2026 SF (relief),Knuckle Curve,180,80.809,83.6,2702.654,-14.84,-10.471,6.482,46.193,0.247,0.423,0.357,0.283,0.306,24,0.25,86.229,0.382,24,1.0
2022-24 CHC (start),4-Seam Fastball,172,93.891,97.4,2131.89,14.36,3.862,6.906,49.276,0.323,0.106,0.22,0.471,0.163,32,0.438,90.422,0.402,32,0.0
2022-24 CHC (start),Cutter,147,87.297,92.4,2159.293,2.905,-4.318,6.835,48.984,0.276,0.319,0.256,0.415,0.272,24,0.333,84.825,0.254,24,0.0
2022-24 CHC (start),Sinker,135,93.738,98.7,2008.269,9.884,13.164,6.969,46.851,0.254,0.136,0.164,0.593,0.252,27,0.556,93.335,0.358,27,1.0
2026 SF (relief),Slider,94,88.209,91.8,2542.723,-0.223,-5.071,6.535,46.814,0.129,0.426,0.417,0.489,0.372,17,0.412,88.547,0.429,17,3.0
2026 SF (relief),Sinker,93,95.962,97.7,2410.699,11.382,13.195,6.641,44.988,0.128,0.267,0.278,0.613,0.344,23,0.348,84.282,0.308,23,0.0
2022-24 CHC (start),Knuckle Curve,51,77.814,83.8,2410.667,-14.056,-9.541,6.669,48.782,0.096,0.1,0.2,0.412,0.216,5,0.6,85.32,0.357,5,0.0
2022-24 CHC (start),Sweeper,21,80.905,84.2,2272.714,1.286,-15.406,6.652,47.762,0.039,0.286,0.133,0.286,0.143,1,1.0,99.3,0.82,1,0.0
2022-24 CHC (start),Changeup,6,87.183,88.3,1732.333,5.46,10.82,6.983,46.267,0.011,0.0,0.0,0.5,0.0,2,0.5,100.0,1.182,2,1.0
