game_pk,game_date,pitches,innings_touched,batters_faced,ff_velo,rest_days,entry_inning,entry_outs,fld_diff,score_state,inherited_runners
823244,2026-03-25,10,1,3,94.26,,9,0,-7,down 5+,False
823321,2026-04-01,15,2,5,91.48,7.0,6,1,-3,down 2-4,True
823240,2026-04-03,5,1,1,93.67999999999999,2.0,9,2,-7,down 5+,True
823239,2026-04-04,12,1,3,92.19166666666666,1.0,8,0,-9,down 5+,False
823237,2026-04-06,17,1,4,90.84705882352942,2.0,7,1,-1,down 1,True
823234,2026-04-08,13,1,3,90.67692307692307,2.0,7,1,3,up 2-3,True
824857,2026-04-11,17,1,4,87.39999999999999,3.0,7,0,-2,down 2-4,False
824531,2026-04-14,22,1,4,89.95454545454545,3.0,6,0,-1,down 1,False
822752,2026-04-17,18,1,4,90.62222222222222,3.0,8,0,4,up 4+,False
822751,2026-04-18,21,2,7,89.87647058823529,1.0,11,0,0,tied,True
823231,2026-04-22,13,1,4,92.75384615384615,4.0,8,0,3,up 2-3,False
823232,2026-04-24,18,1,5,91.98888888888888,2.0,8,0,-6,down 5+,False
823471,2026-04-30,22,2,7,89.1590909090909,6.0,6,0,0,tied,False
822987,2026-05-03,19,2,6,94.06,3.0,9,0,0,tied,False
823228,2026-05-04,18,1,4,90.92777777777778,1.0,9,0,2,up 2-3,False
823225,2026-05-08,35,1,6,89.7342857142857,4.0,9,0,4,up 4+,False
823221,2026-05-10,19,1,5,93.0,2.0,8,0,0,tied,False
823951,2026-05-12,17,2,4,91.51764705882353,2.0,8,2,4,up 4+,True
825007,2026-05-16,9,1,3,91.55555555555556,4.0,8,1,5,up 4+,True
825086,2026-05-19,25,2,6,91.116,3.0,8,1,2,up 2-3,True
823220,2026-05-24,16,1,3,92.18125,5.0,9,0,3,up 2-3,False
823217,2026-05-27,19,2,6,89.97368421052632,3.0,8,0,-1,down 1,False
824353,2026-05-29,20,1,7,87.405,2.0,9,0,3,up 2-3,False
824354,2026-05-31,15,1,4,93.49333333333334,2.0,6,0,7,up 4+,False
823782,2026-06-02,20,1,4,92.615,2.0,7,1,-2,down 2-4,True
823779,2026-06-04,13,1,4,91.8076923076923,2.0,9,0,5,up 4+,True
824669,2026-06-06,17,2,5,95.20588235294117,2.0,6,2,0,tied,True
824670,2026-06-07,6,1,3,94.73333333333333,1.0,7,0,0,tied,False
823213,2026-06-13,15,1,4,92.11333333333333,6.0,9,0,-5,down 5+,False
823212,2026-06-14,15,1,3,90.82666666666667,1.0,9,0,4,up 4+,False
824912,2026-06-16,8,1,2,93.025,2.0,9,1,5,up 4+,True
823210,2026-06-23,18,1,5,91.65,7.0,9,0,2,up 2-3,False
823209,2026-06-25,23,1,7,91.17391304347827,2.0,9,0,1,up 1,False
823204,2026-06-28,18,1,5,92.95555555555556,3.0,9,0,2,up 2-3,False
825064,2026-07-01,10,1,3,92.28,3.0,9,0,2,up 2-3,False
824334,2026-07-04,15,1,5,93.41333333333334,3.0,9,0,3,up 2-3,False
823201,2026-07-09,18,1,5,94.26666666666667,5.0,9,0,6,up 4+,False
823200,2026-07-10,21,1,4,92.70952380952382,1.0,9,0,1,up 1,False
823115,2026-07-17,22,1,4,93.46818181818183,7.0,9,0,7,up 4+,False
824087,2026-07-20,7,1,4,91.75714285714285,3.0,9,0,0,tied,False
824085,2026-07-21,11,1,3,91.11818181818182,1.0,8,0,-1,down 1,False
823196,2026-07-24,13,1,3,89.38461538461539,3.0,10,0,0,tied,True
823192,2026-07-29,18,1,5,92.71111111111111,5.0,8,0,10,up 4+,False
823271,2026-07-30,18,1,4,92.62222222222222,1.0,7,0,3,up 2-3,False
823269,2026-08-01,15,1,3,92.99333333333334,2.0,8,0,0,tied,False
