pitch_name,pitches,velo,spin,hb_in,ivb_in,ext,rel_x,rel_z,arm,usage,rsa_proxy,whiff_rate,chase_rate,csw_rate,putaway_rate,hard_hit_rate,xwobacon,xwobacon_bip,era
Sweeper,1044,81.514,2911.92,-17.578,2.505,5.797,2.99,5.561,30.704,0.332,61.731,0.372,0.386,0.362,0.262,0.201,0.34,159,Pre-TJ (2020-2024)
Cutter,850,87.264,2572.769,-4.335,6.62,5.776,2.689,5.81,36.755,0.27,65.164,0.264,0.298,0.308,0.189,0.29,0.376,107,Pre-TJ (2020-2024)
Sinker,617,90.302,2347.867,15.575,4.954,5.849,2.838,5.639,32.171,0.196,63.284,0.151,0.182,0.318,0.116,0.379,0.379,95,Pre-TJ (2020-2024)
Changeup,380,85.134,1976.039,16.873,1.712,5.706,2.844,5.681,32.259,0.121,63.404,0.36,0.342,0.2,0.169,0.21,0.241,62,Pre-TJ (2020-2024)
Curveball,147,78.863,2951.687,-15.509,-5.944,5.582,2.576,5.938,39.982,0.047,66.552,0.328,0.273,0.286,0.211,0.211,0.325,19,Pre-TJ (2020-2024)
4-Seam Fastball,110,90.546,2429.636,6.457,14.302,5.786,2.452,5.904,39.25,0.035,67.448,0.224,0.22,0.236,0.205,0.25,0.508,20,Pre-TJ (2020-2024)
Sweeper,401,80.947,2918.651,-16.8,4.774,5.899,3.304,5.434,28.106,0.394,58.701,0.232,0.314,0.307,0.25,0.371,0.361,70,Post-TJ (2025-2026)
Cutter,256,86.725,2579.447,-3.815,6.422,5.88,3.038,5.765,35.24,0.251,62.214,0.248,0.336,0.297,0.255,0.289,0.237,45,Post-TJ (2025-2026)
Sinker,231,90.331,2385.555,16.988,4.514,5.947,3.019,5.647,32.247,0.227,61.869,0.13,0.163,0.338,0.13,0.471,0.297,34,Post-TJ (2025-2026)
Changeup,130,84.208,1966.906,17.214,-0.263,5.742,2.956,5.708,33.572,0.128,62.625,0.224,0.333,0.185,0.159,0.138,0.292,29,Post-TJ (2025-2026)
