entry_inning,entry_state,outings,pitches,bf,inherited
3,tied,1,10.0,3.0,1.0
5,leading 1-3,1,13.0,3.0,0.0
5,tied,1,18.0,5.0,3.0
6,leading 1-3,4,16.25,4.5,1.25
6,leading 4+,4,16.25,3.5,0.75
6,tied,3,12.0,3.67,1.33
6,trailing 1-3,4,12.25,3.25,0.75
6,trailing 4+,2,8.0,2.5,0.5
7,leading 1-3,18,13.17,3.33,0.22
7,leading 4+,3,16.33,4.0,0.0
7,tied,7,14.86,4.0,0.71
7,trailing 1-3,4,8.25,2.5,0.25
7,trailing 4+,2,18.5,4.5,0.0
8,leading 1-3,2,12.5,3.0,0.5
8,leading 4+,4,16.75,4.25,0.0
8,tied,6,13.33,4.17,0.0
8,trailing 1-3,3,15.0,3.33,0.0
9,leading 4+,2,14.5,4.0,0.0
9,tied,1,3.0,1.0,2.0
10,tied,3,13.67,3.67,1.0
