game_date,game_pk,opponent,home_away,entry_inning,entry_outs,entry_margin,entry_state,inherited_runners,pitches,batters_faced,innings_touched,lhh_faced,rhh_faced,days_rest,hits,walks,strikeouts,hrs,avg_velo
2025-07-19,777092,CIN,H,7,0,-3,trailing 1-3,0,11,3,1,1,2,,0,0,2,0,84.65
2025-07-21,777061,LAA,H,8,0,0,tied,0,12,4,1,0,4,2.0,1,0,0,0,86.96
2025-07-23,777034,LAA,H,7,2,3,leading 1-3,1,29,5,2,1,4,2.0,0,2,1,0,83.87
2025-07-27,776974,SF,A,8,2,1,leading 1-3,1,8,2,1,0,2,4.0,1,0,0,0,84.89
2025-07-30,776931,SD,A,7,0,-4,trailing 4+,0,16,4,1,1,3,3.0,0,1,0,0,86.69
2025-08-02,776911,SF,H,8,0,7,leading 4+,0,16,4,1,2,2,3.0,1,0,0,0,86.01
2025-08-04,776876,CLE,H,6,2,-5,trailing 4+,1,3,1,1,0,1,2.0,0,0,1,0,84.27
2025-08-05,776863,CLE,H,8,0,-1,trailing 1-3,0,14,3,1,0,3,1.0,0,0,1,0,84.29
2025-08-08,776828,MIL,A,5,1,0,tied,3,18,5,2,2,3,3.0,1,0,2,0,84.94
2025-08-10,776799,MIL,A,6,0,1,leading 1-3,0,16,3,1,0,3,2.0,0,0,0,0,86.49
2025-08-15,776736,SEA,H,7,1,0,tied,1,17,5,1,3,2,5.0,3,1,1,0,86.64
2025-08-17,776707,SEA,H,6,0,6,leading 4+,0,21,5,1,3,2,2.0,1,1,1,0,87.03
2025-08-21,776650,WSH,A,6,2,-2,trailing 1-3,1,14,4,2,2,2,4.0,0,0,3,0,84.34
2025-08-24,776624,ATL,A,6,2,0,tied,2,8,3,2,1,2,3.0,0,0,0,0,83.29
2025-08-25,776598,PHI,H,7,0,3,leading 1-3,0,11,3,1,2,1,1.0,0,0,1,0,85.02
2025-08-27,776566,PHI,H,9,0,6,leading 4+,0,14,4,1,2,2,2.0,1,0,1,0,86.52
2025-08-30,776535,MIA,H,6,0,-2,trailing 1-3,0,15,3,1,0,3,3.0,0,0,2,0,83.12
2025-09-01,776501,DET,A,7,2,3,leading 1-3,1,15,4,2,0,4,2.0,1,0,0,0,83.97
2025-09-05,776450,CIN,A,7,0,1,leading 1-3,0,12,3,1,1,2,4.0,0,0,2,0,83.42
2025-09-08,776405,PHI,A,7,0,-1,trailing 1-3,0,6,3,1,2,1,3.0,0,0,0,0,87.03
2025-09-11,776371,PHI,A,6,2,-1,trailing 1-3,2,12,3,1,2,1,3.0,1,1,0,0,84.33
2025-09-13,776349,TEX,H,7,0,1,leading 1-3,0,13,4,1,0,4,2.0,1,0,1,0,85.35
2025-09-14,776335,TEX,H,7,0,2,leading 1-3,0,12,4,1,1,3,1.0,1,0,0,0,87.04
2025-09-18,776276,SD,H,7,0,4,leading 4+,0,15,3,1,2,1,4.0,0,0,0,0,86.55
2025-09-19,776259,WSH,H,5,1,2,leading 1-3,0,13,3,2,2,1,1.0,0,0,0,0,84.75
2025-09-21,776237,WSH,H,7,2,-1,trailing 1-3,1,5,1,1,1,0,2.0,0,0,1,0,80.98
2025-09-23,776209,CHC,A,7,2,0,tied,2,5,1,1,1,0,2.0,0,0,1,0,86.32
2025-09-25,776187,CHC,A,7,0,3,leading 1-3,0,14,3,1,0,3,2.0,0,0,3,0,84.64
2025-09-27,776161,MIA,A,7,0,3,leading 1-3,0,13,3,1,0,3,2.0,0,0,1,0,83.34
2025-09-28,776148,MIA,A,3,2,0,tied,1,10,3,2,1,2,1.0,1,0,0,0,83.62
2026-03-28,823651,PIT,H,8,0,0,tied,0,11,3,1,1,2,,0,0,2,0,81.77
2026-03-30,823080,STL,A,8,0,2,leading 1-3,0,17,4,1,2,2,2.0,1,0,0,0,84.25
2026-04-01,823078,STL,A,7,0,0,tied,0,12,3,1,1,2,2.0,0,0,2,0,85.53
2026-04-03,823240,SF,A,6,1,4,leading 4+,2,16,2,1,2,0,2.0,0,0,1,0,84.54
2026-04-07,823648,AZ,H,8,0,-1,trailing 1-3,0,20,4,1,0,4,4.0,1,0,2,0,83.5
2026-04-11,823644,ATH,H,6,0,-4,trailing 4+,0,13,4,1,2,2,4.0,0,1,1,0,85.65
2026-04-14,823965,LAD,A,8,0,0,tied,0,19,6,1,3,3,3.0,1,1,1,0,85.19
2026-04-18,824694,CHC,A,6,2,0,tied,2,8,3,2,1,2,4.0,1,0,0,1,85.95
2026-04-19,824691,CHC,A,7,0,1,leading 1-3,0,12,3,1,1,2,1.0,1,0,0,0,82.52
2026-04-22,823641,MIN,H,8,0,0,tied,0,16,4,1,0,4,3.0,1,1,1,0,85.62
2026-04-26,823637,COL,H,8,0,-3,trailing 1-3,0,11,3,1,2,1,4.0,0,0,1,0,83.31
2026-04-30,823634,WSH,H,7,0,1,leading 1-3,0,12,3,1,1,2,4.0,0,0,2,0,83.46
2026-05-01,824041,LAA,A,7,0,1,leading 1-3,0,8,3,1,1,2,1.0,0,0,1,0,84.99
2026-05-03,824043,LAA,A,9,0,4,leading 4+,0,15,4,1,1,3,2.0,1,0,2,0,83.57
2026-05-06,824361,COL,A,6,2,4,leading 4+,1,14,4,2,2,2,3.0,0,1,2,0,84.06
2026-05-08,825088,AZ,A,8,0,0,tied,0,11,4,1,1,3,2.0,1,0,0,0,85.17
2026-05-12,823632,DET,H,7,0,4,leading 4+,0,18,5,1,1,4,4.0,2,0,1,0,83.64
2026-05-13,823631,DET,H,10,0,0,tied,1,17,4,1,1,3,1.0,0,1,1,0,82.45
2026-05-16,823627,NYY,H,6,1,3,leading 1-3,2,18,6,2,4,2,3.0,2,0,1,0,84.42
2026-05-18,822734,WSH,A,7,0,2,leading 1-3,0,23,5,1,3,2,2.0,1,2,0,0,84.55
2026-05-21,822733,WSH,A,7,0,1,leading 1-3,0,14,3,1,1,2,3.0,0,0,2,0,84.93
2026-05-24,823861,MIA,A,7,1,0,tied,1,13,4,1,2,2,3.0,2,1,0,0,85.85
2026-05-27,823626,CIN,H,6,1,2,leading 1-3,2,24,7,2,2,5,3.0,1,1,1,0,83.8
2026-05-29,823623,MIA,H,7,2,1,leading 1-3,1,5,1,1,1,0,2.0,0,0,1,0,84.26
2026-06-01,823131,SEA,A,7,0,1,leading 1-3,0,19,4,1,2,2,3.0,2,0,1,1,86.64
2026-06-03,823130,SEA,A,7,0,5,leading 4+,0,16,4,1,2,2,2.0,0,1,1,0,84.81
2026-06-07,823291,SD,A,6,0,4,leading 4+,0,14,3,1,0,3,4.0,0,0,2,0,86.67
2026-06-11,823619,STL,H,7,0,0,tied,0,20,4,1,3,1,4.0,0,1,1,0,85.61
2026-06-12,823617,ATL,H,8,0,4,leading 4+,0,22,5,1,2,3,1.0,3,0,1,0,83.76
2026-06-17,824503,CIN,A,8,0,8,leading 4+,0,14,5,1,1,4,5.0,1,0,0,0,87.02
2026-06-21,823449,PHI,A,7,0,-4,trailing 4+,0,21,5,1,3,2,4.0,1,0,0,0,84.31
2026-06-24,823611,CHC,H,6,0,0,tied,0,20,5,1,1,4,3.0,2,1,0,0,82.84
2026-06-25,823612,CHC,H,10,0,0,tied,1,17,4,1,2,2,1.0,1,0,1,0,84.96
2026-06-30,822793,TOR,A,7,0,2,leading 1-3,0,10,3,1,1,2,5.0,0,0,2,0,87.38
2026-07-05,824902,ATL,A,7,0,2,leading 1-3,1,8,3,1,1,2,5.0,0,0,1,0,86.61
2026-07-06,824900,ATL,A,9,2,0,tied,2,3,1,1,0,1,1.0,0,0,1,0,84.57
2026-07-08,823605,KC,H,8,0,0,tied,0,11,4,1,1,3,2.0,1,0,0,0,85.94
2026-07-11,823603,BOS,H,7,0,-2,trailing 1-3,0,11,3,1,1,2,3.0,0,0,0,0,86.87
2026-07-12,823602,BOS,H,10,0,0,tied,1,7,3,1,0,3,1.0,0,0,0,0,87.49
2026-07-16,823440,PHI,A,6,2,1,leading 1-3,1,7,2,1,2,0,4.0,0,1,1,0,86.83
2026-07-21,823760,MIL,A,8,0,4,leading 4+,0,15,3,1,0,3,5.0,0,0,1,0,86.62
2026-07-24,823601,LAD,H,7,0,0,tied,0,23,6,1,3,3,3.0,2,1,0,0,86.2
2026-07-26,823599,LAD,H,7,0,1,leading 1-3,0,7,3,1,1,2,2.0,0,0,1,0,85.31
2026-07-30,823595,MIA,H,7,1,0,tied,1,14,5,2,3,2,4.0,1,0,1,0,86.36
2026-08-02,823592,MIA,H,6,0,-1,trailing 1-3,0,8,3,1,2,1,,0,0,0,0,83.0
