pitch_name,n,rel_x,rel_z,sd_x,sd_z,era,rtd_in,excluded_low_n,within_pitch_noise_in
4-Seam Fastball,110,2.452,5.904,0.253,0.131,Pre-TJ (2020-2024),7.66,,3.42
Changeup,380,2.844,5.681,0.207,0.133,Pre-TJ (2020-2024),7.66,,2.95
Curveball,147,2.576,5.938,0.214,0.123,Pre-TJ (2020-2024),7.66,,2.96
Cutter,850,2.689,5.81,0.27,0.146,Pre-TJ (2020-2024),7.66,,3.68
Sinker,617,2.838,5.639,0.237,0.159,Pre-TJ (2020-2024),7.66,,3.43
Sweeper,1044,2.99,5.561,0.257,0.192,Pre-TJ (2020-2024),7.66,,3.85
Changeup,130,2.956,5.708,0.166,0.094,Post-TJ (2025-2026),5.32,,2.29
Cutter,256,3.038,5.765,0.152,0.111,Post-TJ (2025-2026),5.32,,2.26
Sinker,231,3.019,5.647,0.157,0.114,Post-TJ (2025-2026),5.32,,2.33
Sweeper,401,3.304,5.434,0.165,0.121,Post-TJ (2025-2026),5.32,,2.45
