player_name,pitches,rsa_proxy,arm_native,arm_native_pred,residual,is_raley,pearson_r,fit_slope,fit_intercept,n_calibration_pitchers
"Backhus, Kyle",334,53.497,5.66,13.371,-7.711,False,0.831,1.513,-67.579,10
"Raley, Brooks [Post-TJ (2025-2026)]",1018,60.817,31.539,24.448,7.091,True,0.831,1.513,-67.579,10
"Raley, Brooks [Pre-TJ (2020-2024)]",3148,63.6,33.52,28.659,4.861,True,0.831,1.513,-67.579,10
"Strahm, Matt",3340,66.717,30.776,33.376,-2.6,False,0.831,1.513,-67.579,10
"Luzardo, Jesús",5144,66.989,31.757,33.788,-2.031,False,0.831,1.513,-67.579,10
"Banks, Tanner",2027,67.53,48.582,34.606,13.977,False,0.831,1.513,-67.579,10
"Suárez, Ranger",12067,70.16,36.949,38.586,-1.637,False,0.831,1.513,-67.579,10
"Sánchez, Cristopher",10228,72.608,30.169,42.29,-12.121,False,0.831,1.513,-67.579,10
"Mayza, Tim",955,75.398,42.42,46.511,-4.091,False,0.831,1.513,-67.579,10
"Alvarado, José",4973,80.046,57.806,53.545,4.261,False,0.831,1.513,-67.579,10
