group,check,published,recomputed,status
structural,distinct pitcher ids,1,1,PASS
structural,pitcher id is Raley,548384,548384,PASS
structural,throws L,L,L,PASS
structural,game_type all R,1,1,PASS
structural,duplicate pitch rows,0,0,PASS
structural,rows in rehab gap,0,0,PASS
structural,zero Phillies rows,0,0,PASS
structural,pre+post = total rows,4184,4184,PASS
structural,no pre-2020 rows,0,0,PASS
structural,last pre-TJ game date,2024-04-19,2024-04-19,PASS
structural,first post-TJ game date,2025-07-19,2025-07-19,PASS
era_summary[Pre-TJ (2020-2024)],outings,213,213,PASS
era_summary[Pre-TJ (2020-2024)],pitches,3162,3162,PASS
era_summary[Pre-TJ (2020-2024)],batters_faced,770,770,PASS
era_summary[Pre-TJ (2020-2024)],hits,139,139,PASS
era_summary[Pre-TJ (2020-2024)],hrs,16,16,PASS
era_summary[Pre-TJ (2020-2024)],ba,0.205,0.205,PASS
era_summary[Pre-TJ (2020-2024)],obp,0.286,0.286,PASS
era_summary[Pre-TJ (2020-2024)],slg,0.32,0.32,PASS
era_summary[Pre-TJ (2020-2024)],woba,0.271,0.271,PASS
era_summary[Pre-TJ (2020-2024)],k_rate,0.29,0.29,PASS
era_summary[Pre-TJ (2020-2024)],bb_rate,0.081,0.081,PASS
era_summary[Pre-TJ (2020-2024)],hr_rate,0.021,0.021,PASS
era_summary[Pre-TJ (2020-2024)],whiff_rate,0.299,0.299,PASS
era_summary[Pre-TJ (2020-2024)],chase_rate,0.309,0.309,PASS
era_summary[Pre-TJ (2020-2024)],zone_rate_strict,0.463,0.463,PASS
era_summary[Pre-TJ (2020-2024)],csw_rate,0.31,0.31,PASS
era_summary[Pre-TJ (2020-2024)],putaway_rate,0.217,0.217,PASS
era_summary[Pre-TJ (2020-2024)],first_pitch_strike_rate,0.636,0.636,PASS
era_summary[Pre-TJ (2020-2024)],hard_hit_rate,0.262,0.262,PASS
era_summary[Pre-TJ (2020-2024)],xwobacon,0.35,0.35,PASS
era_summary[Pre-TJ (2020-2024)],"xwobacon_bip (published = all BIP, `size` semantics)",462,462,PASS
era_summary[Pre-TJ (2020-2024)],O4: BIP rows lacking an xwOBA estimate (published n minus true n),5,5,PASS
era_summary[Pre-TJ (2020-2024)],avg_velo,85.42,85.42,PASS
era_summary[Pre-TJ (2020-2024)],avg_arm_angle_native,33.52,33.52,PASS
era_summary[Pre-TJ (2020-2024)],avg_rel_x,2.823,2.823,PASS
