game_pk,game_date,game_year,pit_team,entry_inning,exit_inning,innings_appeared,total_pitches,uq_pas,innings_delta,is_start,is_bulk,entry_outs,entry_score_diff,rest_days
529438,2018-03-31,2018,BAL,6,7,2,39,10,1,False,False,0,-5,
529471,2018-04-03,2018,BAL,7,8,2,27,7,1,False,False,2,-1,2.0
529519,2018-04-07,2018,BAL,8,8,1,23,5,0,False,False,0,-5,3.0
529559,2018-04-09,2018,BAL,9,9,1,19,5,0,False,False,2,-1,1.0
566684,2019-05-11,2019,NYY,7,8,2,49,10,1,False,False,0,-2,396.0
567483,2019-05-19,2019,NYY,2,6,5,76,17,4,False,True,2,-1,7.0
565729,2019-05-26,2019,NYY,6,9,4,72,18,3,False,True,0,-3,6.0
567486,2019-05-29,2019,NYY,9,9,1,16,5,0,False,False,0,7,2.0
565350,2019-06-09,2019,NYY,3,5,3,49,9,2,False,False,0,5,10.0
567299,2019-06-15,2019,NYY,3,8,6,75,20,5,False,True,0,0,5.0
567496,2019-06-20,2019,NYY,3,5,3,57,13,2,False,False,0,0,4.0
567501,2019-06-25,2019,NYY,2,6,5,82,17,4,False,True,0,2,4.0
565067,2019-06-29,2019,NYY,4,7,4,58,14,3,False,True,2,8,3.0
566029,2019-07-03,2019,NYY,9,9,1,18,3,0,False,False,0,4,3.0
566709,2019-07-05,2019,NYY,7,8,2,22,6,1,False,False,1,1,1.0
567504,2019-07-13,2019,NYY,7,8,2,24,6,1,False,False,0,-2,7.0
567507,2019-07-16,2019,NYY,7,7,1,20,4,0,False,False,0,-1,2.0
567508,2019-07-18,2019,NYY,2,5,4,73,15,3,False,True,0,0,1.0
567013,2019-07-24,2019,NYY,4,7,4,54,13,3,False,True,1,4,5.0
565078,2019-07-27,2019,NYY,7,7,1,14,3,0,False,False,2,-5,2.0
567514,2019-07-31,2019,NYY,9,9,1,2,1,0,False,False,0,4,3.0
567487,2019-08-03,2019,NYY,2,3,2,44,10,1,False,False,0,0,2.0
564986,2019-08-06,2019,NYY,5,8,4,50,9,3,False,True,2,1,2.0
566919,2019-08-09,2019,NYY,6,7,2,36,7,1,False,False,0,-5,2.0
567518,2019-08-12,2019,NYY,8,9,2,33,7,1,False,False,0,5,2.0
567521,2019-08-15,2019,NYY,7,7,1,7,1,0,False,False,2,-11,2.0
567524,2019-08-18,2019,NYY,4,6,3,53,13,2,False,False,0,-4,2.0
565866,2019-08-23,2019,NYY,8,9,2,34,7,1,False,False,0,7,4.0
566438,2019-08-26,2019,NYY,6,7,2,29,6,1,False,False,1,2,2.0
567525,2019-08-30,2019,NYY,8,9,2,49,10,1,False,False,0,-4,3.0
567528,2019-09-02,2019,NYY,7,8,2,35,10,1,False,False,0,-2,2.0
565098,2019-09-06,2019,NYY,5,5,1,20,5,0,False,False,1,-3,3.0
565578,2019-09-10,2019,NYY,1,3,3,46,13,2,True,False,0,1,3.0
566938,2019-09-15,2019,NYY,4,5,2,38,9,1,False,False,2,0,4.0
567536,2019-09-22,2019,NYY,8,9,2,39,9,1,False,False,0,6,6.0
566846,2019-09-27,2019,NYY,9,9,1,3,2,0,False,False,1,7,4.0
566847,2019-09-28,2019,NYY,6,6,1,28,6,0,False,False,1,-3,0.0
631453,2020-07-25,2020,SEA,5,6,2,15,5,1,False,False,2,-5,300.0
631387,2020-07-28,2020,SEA,4,5,2,37,11,1,False,False,0,-1,2.0
631070,2020-08-03,2020,SEA,8,9,2,44,11,1,False,False,0,-9,5.0
631042,2020-08-06,2020,SEA,8,9,2,28,8,1,False,False,0,-3,2.0
631448,2020-08-14,2020,SEA,1,1,1,41,9,0,True,False,0,1,7.0
633854,2021-05-30,2021,NYY,3,6,4,65,18,3,False,True,1,-2,288.0
