stand,game_year,pitch_name,pitches,velo,velo_max,spin,ivb_in,hb_in,ext_ft,arm_angle,plate_x,plate_z,usage,whiff_rate,chase_rate,in_zone_rate,csw_rate,bips,hard_hit_rate,avg_ev,xwobacon,xwobacon_bip,hr
L,2018,4-Seam Fastball,37,87.73,91.1,2185.541,18.558,8.244,5.832,,0.111,2.785,0.673,0.375,0.235,0.541,0.378,3.0,0.333,79.967,0.437,3.0,1.0
L,2018,Curveball,18,75.45,81.1,2344.267,-3.72,-10.007,5.194,,-0.977,1.764,0.327,0.0,0.2,0.167,0.056,3.0,0.0,81.4,0.13,3.0,0.0
L,2019,4-Seam Fastball,196,89.468,93.6,2183.878,18.339,6.599,5.784,,-0.153,2.616,0.468,0.228,0.192,0.602,0.306,20.0,0.55,92.9,0.635,20.0,5.0
L,2019,Slider,192,81.242,87.0,2312.948,3.284,-5.477,5.243,,-0.657,2.019,0.458,0.173,0.268,0.495,0.219,41.0,0.39,87.293,0.356,41.0,1.0
L,2019,Sinker,20,88.44,91.3,2156.95,14.544,12.132,5.945,,0.007,2.371,0.048,0.364,0.375,0.6,0.35,3.0,0.333,93.4,0.253,3.0,0.0
L,2019,Curveball,10,72.02,74.0,2180.875,0.18,-6.144,5.28,,-0.429,2.032,0.024,0.143,0.5,0.6,0.2,3.0,0.0,64.767,0.225,3.0,0.0
L,2019,Changeup,1,85.5,85.5,2177.0,11.28,14.88,5.9,,0.559,1.302,0.002,0.0,1.0,0.0,0.0,1.0,1.0,100.9,0.549,1.0,0.0
L,2020,4-Seam Fastball,23,87.491,89.0,2103.304,18.224,7.325,5.948,38.067,-0.014,2.992,0.489,0.143,0.0,0.522,0.348,3.0,0.667,94.9,0.612,3.0,1.0
L,2020,Slider,15,76.98,80.7,2206.133,-0.704,-6.224,5.636,35.525,-0.714,2.091,0.319,0.25,0.1,0.333,0.2,2.0,0.0,80.4,0.238,2.0,0.0
L,2020,Cutter,9,82.433,84.3,2285.0,5.467,-5.773,5.9,42.76,-0.466,2.426,0.191,0.0,0.167,0.333,0.0,2.0,0.0,68.3,0.287,2.0,0.0
L,2021,4-Seam Fastball,183,90.596,94.1,2206.022,19.071,5.568,5.994,50.658,-0.088,2.642,0.555,0.294,0.203,0.596,0.328,23.0,0.391,94.161,0.327,23.0,0.0
L,2021,Sweeper,90,77.576,81.3,2443.233,5.009,-14.805,5.823,33.822,-0.717,2.201,0.273,0.25,0.312,0.467,0.233,22.0,0.227,79.3,0.359,22.0,2.0
L,2021,Cutter,38,84.505,87.1,2346.553,5.062,-6.009,5.861,41.429,-0.679,1.76,0.115,0.333,0.167,0.526,0.342,6.0,0.5,93.2,0.313,6.0,0.0
L,2021,Sinker,16,89.706,91.8,2180.375,14.572,12.068,6.162,23.92,-0.162,2.421,0.048,0.375,0.222,0.438,0.25,4.0,0.5,91.4,0.255,4.0,0.0
L,2021,Slider,3,75.867,76.9,2378.0,2.2,-6.92,5.833,29.667,-0.937,1.793,0.009,0.0,0.0,0.667,0.333,,,,,,0.0
L,2022,4-Seam Fastball,188,91.595,94.3,2249.16,19.099,4.842,5.891,49.267,-0.335,2.511,0.528,0.353,0.372,0.585,0.394,20.0,0.5,94.97,0.435,20.0,0.0
L,2022,Sweeper,95,77.062,82.2,2507.389,4.727,-14.732,5.721,29.323,-0.669,1.757,0.267,0.39,0.293,0.389,0.295,14.0,0.143,77.093,0.236,14.0,1.0
L,2022,Cutter,70,86.2,90.3,2379.443,7.082,-4.701,5.719,41.399,-0.602,2.203,0.197,0.194,0.324,0.514,0.271,15.0,0.267,84.36,0.208,15.0,0.0
L,2022,Curveball,3,71.6,74.9,2393.667,7.64,-10.44,5.667,10.667,-1.821,1.203,0.008,,0.0,0.0,0.0,,,,,,0.0
L,2023,4-Seam Fastball,109,91.494,95.6,2265.321,19.224,4.619,6.003,53.922,-0.409,2.523,0.649,0.375,0.333,0.615,0.422,11.0,0.455,87.909,0.203,11.0,1.0
L,2023,Sweeper,34,76.047,79.9,2553.636,2.082,-18.064,5.806,32.794,-0.841,1.875,0.202,0.3,0.444,0.471,0.353,10.0,0.1,73.17,0.241,10.0,0.0
L,2023,Cutter,24,86.108,89.5,2383.917,7.85,-4.29,5.917,43.479,-0.612,2.353,0.143,0.231,0.0,0.625,0.208,8.0,0.25,88.225,0.241,8.0,1.0
L,2023,Sinker,1,88.1,88.1,2189.0,14.88,7.08,6.1,24.8,-0.968,0.714,0.006,,0.0,0.0,0.0,,,,,,0.0
L,2024,4-Seam Fastball,285,92.348,95.5,2307.821,19.129,4.954,5.961,52.951,-0.165,2.608,0.497,0.24,0.212,0.653,0.316,42.0,0.595,93.567,0.375,42.0,1.0
L,2024,Sweeper,176,78.599,83.2,2581.642,2.383,-14.918,5.749,37.715,-0.818,1.917,0.307,0.37,0.348,0.347,0.312,32.0,0.312,84.7,0.248,32.0,0.0
L,2024,Cutter,93,87.801,91.1,2420.806,8.151,-4.743,5.866,44.361,-0.661,2.536,0.162,0.235,0.233,0.538,0.226,25.0,0.28,86.828,0.461,25.0,1.0
L,2024,Sinker,17,89.729,91.2,2243.059,13.807,12.508,6.2,20.124,-0.268,2.062,0.03,0.444,0.286,0.588,0.353,3.0,0.0,78.933,0.051,3.0,0.0
L,2024,Slider,3,81.6,83.5,2517.667,1.76,-4.04,5.8,42.0,-1.074,1.057,0.005,,0.0,0.0,0.0,,,,,,0.0
L,2025,4-Seam Fastball,55,90.185,93.3,2252.091,19.217,4.713,5.982,55.217,-0.145,2.635,0.407,0.156,0.308,0.764,0.273,17.0,0.765,95.659,0.823,17.0,5.0
L,2025,Cutter,47,86.687,90.0,2347.255,10.808,-4.762,5.887,50.111,-0.559,2.629,0.348,0.235,0.182,0.532,0.34,7.0,0.714,92.186,0.563,7.0,1.0
L,2025,Sweeper,33,78.721,81.4,2529.788,3.004,-13.229,5.745,45.367,-0.737,1.796,0.244,0.308,0.238,0.364,0.242,4.0,0.5,81.7,0.259,4.0,0.0
R,2018,4-Seam Fastball,30,88.03,90.7,2226.2,18.912,7.932,5.74,,0.068,2.561,0.566,0.214,0.111,0.7,0.467,6.0,0.5,94.35,0.532,6.0,1.0
R,2018,Changeup,10,80.05,81.3,1531.4,6.564,15.996,5.61,,0.528,1.813,0.189,0.2,0.167,0.4,0.1,4.0,0.25,89.425,0.558,4.0,0.0
R,2018,Curveball,8,69.975,72.3,2330.375,-7.845,-12.885,4.9,,-0.416,1.862,0.151,0.333,0.25,0.5,0.375,1.0,0.0,90.7,0.862,1.0,0.0
R,2018,Slider,5,78.64,80.6,2423.5,-1.704,-7.368,5.24,,-0.224,1.672,0.094,0.0,0.0,0.6,0.2,2.0,0.0,73.65,0.176,2.0,0.0
