month,pitches,plate_apps,krate,bbrate,whiff_rate,chase_rate,csw_rate,hard_hit_rate,xwobacon,ff_velo,ff_n,outings
2024-03,76,22,0.227,0.091,0.297,0.324,0.368,0.533,0.404,91.643,42,1
2024-04,572,151,0.212,0.033,0.218,0.296,0.257,0.357,0.315,91.551,276,6
2024-05,465,112,0.268,0.071,0.266,0.252,0.286,0.568,0.358,91.877,217,5
2024-06,560,139,0.223,0.029,0.224,0.258,0.262,0.456,0.37,92.079,241,6
2024-07,466,114,0.211,0.079,0.26,0.27,0.277,0.43,0.42,92.476,191,5
2024-08,394,95,0.211,0.032,0.221,0.318,0.239,0.352,0.362,92.401,165,4
2024-09,318,79,0.253,0.101,0.276,0.231,0.274,0.471,0.332,92.665,134,4
2025-03,64,17,0.118,0.294,0.238,0.139,0.266,0.4,0.703,90.567,30,1
2025-04,86,21,0.286,0.095,0.306,0.244,0.349,0.538,0.325,90.12,35,1
2025-08,392,102,0.186,0.098,0.239,0.236,0.288,0.437,0.375,90.124,143,5
2025-09,57,17,0.118,0.176,0.261,0.036,0.246,0.583,0.735,89.495,20,1
