stand,pitch_name,pitches,velo,velo_max,spin,ivb_in,hb_in,ext_ft,arm_angle,plate_x,plate_z,usage,whiff_rate,chase_rate,in_zone_rate,csw_rate,bips,hard_hit_rate,avg_ev,xwobacon,xwobacon_bip,hr
L,4-Seam Fastball,449,91.876,95.6,2290.677,19.163,4.843,5.974,53.46,-0.222,2.591,0.512,0.26,0.253,0.657,0.336,70.0,0.614,93.186,0.457,70.0,7.0
L,Sweeper,243,78.258,83.2,2570.752,2.425,-15.128,5.757,38.065,-0.81,1.895,0.277,0.351,0.344,0.366,0.309,46.0,0.283,81.933,0.247,46.0,0.0
L,Cutter,164,87.234,91.1,2394.329,8.868,-4.682,5.879,45.88,-0.625,2.536,0.187,0.235,0.189,0.549,0.256,40.0,0.35,88.045,0.435,40.0,3.0
L,Sinker,18,89.639,91.2,2240.056,13.867,12.207,6.194,20.383,-0.307,1.987,0.021,0.444,0.25,0.556,0.333,3.0,0.0,78.933,0.051,3.0,0.0
L,Slider,3,81.6,83.5,2517.667,1.76,-4.04,5.8,42.0,-1.074,1.057,0.003,,0.0,0.0,0.0,,,,,,0.0
R,4-Seam Fastball,1605,91.687,95.6,2292.919,19.27,4.525,5.936,53.582,0.121,2.769,0.441,0.211,0.218,0.54,0.263,251.0,0.482,92.122,0.36,251.0,17.0
R,Cutter,1149,87.165,91.9,2394.915,8.894,-4.601,5.796,45.684,-0.106,2.771,0.316,0.236,0.294,0.53,0.265,229.0,0.41,89.679,0.359,229.0,11.0
R,Sweeper,435,77.314,82.9,2571.087,1.942,-15.287,5.616,39.852,0.517,2.338,0.12,0.182,0.142,0.515,0.356,60.0,0.433,88.417,0.409,60.0,6.0
R,Changeup,387,83.288,86.4,1391.137,4.776,13.557,5.865,44.326,0.867,1.711,0.106,0.352,0.372,0.243,0.199,76.0,0.355,84.308,0.373,76.0,3.0
R,Slider,45,81.667,84.0,2456.844,-4.501,-4.109,5.833,47.453,-0.205,1.196,0.012,0.222,0.286,0.222,0.111,10.0,0.3,84.08,0.385,10.0,1.0
R,Sinker,18,90.372,92.3,2223.056,13.7,12.327,5.922,26.194,1.244,2.665,0.005,0.286,0.375,0.111,0.167,2.0,0.5,88.7,0.724,2.0,0.0
