phase,stand,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,whiff_rate,chase_rate,in_zone_rate,putaway_rate,first_pitch_strike_rate,hard_hit_rate,csw_rate,avg_ev,xwobacon,xwobacon_bip
2019 NYY relief/bulk,L,420,99,68,31,6,7,23,0.344,0.394,0.6,0.994,0.411,0.232,0.071,0.061,0.206,0.25,0.552,0.139,0.737,0.426,0.264,88.418,0.431,68
2019 NYY relief/bulk,R,885,199,132,44,10,20,46,0.249,0.322,0.441,0.762,0.322,0.231,0.101,0.05,0.277,0.258,0.447,0.17,0.578,0.318,0.298,87.208,0.402,132
2021 transition,L,330,85,55,18,2,4,25,0.228,0.271,0.405,0.676,0.287,0.294,0.047,0.024,0.288,0.233,0.545,0.266,0.624,0.345,0.3,88.07,0.332,55
2021 transition,R,1194,289,189,57,12,21,78,0.214,0.273,0.38,0.653,0.283,0.27,0.073,0.042,0.222,0.275,0.485,0.207,0.592,0.365,0.271,88.378,0.363,189
2022 peak,L,356,89,49,9,1,7,33,0.11,0.18,0.159,0.338,0.161,0.371,0.079,0.011,0.33,0.329,0.514,0.254,0.775,0.327,0.34,86.614,0.309,49
2022 peak,R,2109,527,363,99,15,31,130,0.202,0.25,0.338,0.589,0.259,0.247,0.059,0.028,0.231,0.306,0.514,0.192,0.655,0.35,0.289,88.078,0.323,363
2023-24 decline,L,743,198,131,36,4,11,56,0.195,0.237,0.292,0.529,0.233,0.283,0.056,0.02,0.294,0.282,0.546,0.233,0.687,0.382,0.316,87.421,0.32,131
2023-24 decline,R,3178,780,550,185,31,48,173,0.257,0.308,0.46,0.767,0.329,0.222,0.062,0.04,0.23,0.268,0.501,0.179,0.586,0.442,0.262,89.537,0.369,550
2025 final (MIL-SD),L,135,39,28,14,6,3,8,0.4,0.436,0.914,1.35,0.547,0.205,0.077,0.154,0.21,0.232,0.585,0.267,0.641,0.714,0.289,92.796,0.678,28
2025 final (MIL-SD),R,464,118,78,22,7,17,21,0.222,0.347,0.475,0.822,0.357,0.178,0.144,0.059,0.263,0.202,0.466,0.171,0.602,0.372,0.291,91.559,0.355,78
