game_year,stand,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,whiff_rate,chase_rate,in_zone_rate,putaway_rate,first_pitch_strike_rate,hard_hit_rate,csw_rate,avg_ev,xwobacon,xwobacon_bip
2018,L,55,10,6,2,1,4.0,0.0,0.333,0.6,0.833,1.433,0.567,0.0,0.4,0.1,0.286,0.219,0.418,0.0,0.5,0.167,0.273,80.683,0.284,6
2018,R,53,17,13,8,1,0.0,3.0,0.471,0.471,0.765,1.235,0.525,0.176,0.0,0.059,0.208,0.143,0.604,0.3,0.529,0.308,0.358,89.369,0.511,13
2019,L,420,99,68,31,6,7.0,23.0,0.344,0.394,0.6,0.994,0.411,0.232,0.071,0.061,0.206,0.25,0.552,0.139,0.737,0.426,0.264,88.418,0.431,68
2019,R,885,199,132,44,10,20.0,46.0,0.249,0.322,0.441,0.762,0.322,0.231,0.101,0.05,0.277,0.258,0.447,0.17,0.578,0.318,0.298,87.208,0.402,132
2020,L,47,13,7,4,1,3.0,2.0,0.444,0.615,0.889,1.504,0.601,0.154,0.231,0.077,0.143,0.074,0.426,0.25,0.538,0.286,0.234,83.157,0.412,7
2020,R,118,31,20,8,5,3.0,6.0,0.296,0.387,0.889,1.276,0.507,0.194,0.097,0.161,0.22,0.197,0.483,0.182,0.645,0.4,0.297,88.865,0.488,20
2021,L,330,85,55,18,2,4.0,25.0,0.228,0.271,0.405,0.676,0.287,0.294,0.047,0.024,0.288,0.233,0.545,0.266,0.624,0.345,0.3,88.07,0.332,55
2021,R,1194,289,189,57,12,21.0,78.0,0.214,0.273,0.38,0.653,0.283,0.27,0.073,0.042,0.222,0.275,0.485,0.207,0.592,0.365,0.271,88.378,0.363,189
2022,L,356,89,49,9,1,7.0,33.0,0.11,0.18,0.159,0.338,0.161,0.371,0.079,0.011,0.33,0.329,0.514,0.254,0.775,0.327,0.34,86.614,0.309,49
2022,R,2109,527,363,99,15,31.0,130.0,0.202,0.25,0.338,0.589,0.259,0.247,0.059,0.028,0.231,0.306,0.514,0.192,0.655,0.35,0.289,88.078,0.323,363
2023,L,168,45,29,7,2,2.0,14.0,0.163,0.2,0.326,0.526,0.226,0.311,0.044,0.044,0.337,0.314,0.583,0.222,0.756,0.276,0.375,82.914,0.227,29
2023,R,902,221,147,52,9,18.0,53.0,0.261,0.33,0.467,0.798,0.343,0.24,0.081,0.041,0.223,0.252,0.512,0.189,0.644,0.442,0.265,90.526,0.385,147
2024,L,575,153,102,29,2,9.0,42.0,0.204,0.248,0.282,0.53,0.235,0.275,0.059,0.013,0.281,0.273,0.536,0.237,0.667,0.412,0.299,88.703,0.347,102
2024,R,2276,559,403,133,22,30.0,120.0,0.255,0.299,0.457,0.756,0.324,0.215,0.054,0.039,0.232,0.274,0.497,0.174,0.563,0.442,0.261,89.176,0.364,403
2025,L,135,39,28,14,6,3.0,8.0,0.4,0.436,0.914,1.35,0.547,0.205,0.077,0.154,0.21,0.232,0.585,0.267,0.641,0.714,0.289,92.796,0.678,28
2025,R,464,118,78,22,7,17.0,21.0,0.222,0.347,0.475,0.822,0.357,0.178,0.144,0.059,0.263,0.202,0.466,0.171,0.602,0.372,0.291,91.559,0.355,78
