game_year,pitch_name,pitches,velo,velo_max,spin,ivb_in,hb_in,ext_ft,arm_angle,plate_x,plate_z,usage,whiff_rate,chase_rate,in_zone_rate,csw_rate,bips,hard_hit_rate,avg_ev,xwobacon,xwobacon_bip,hr
2018,4-Seam Fastball,67,87.864,91.1,2203.746,18.716,8.104,5.791,,0.092,2.685,0.62,0.3,0.192,0.612,0.418,9.0,0.444,89.556,0.5,9.0,2.0
2018,Curveball,26,73.765,81.1,2339.435,-4.989,-10.892,5.104,,-0.804,1.794,0.241,0.125,0.211,0.269,0.154,4.0,0.0,83.725,0.313,4.0,0.0
2018,Changeup,10,80.05,81.3,1531.4,6.564,15.996,5.61,,0.528,1.813,0.093,0.2,0.167,0.4,0.1,4.0,0.25,89.425,0.558,4.0,0.0
2018,Slider,5,78.64,80.6,2423.5,-1.704,-7.368,5.24,,-0.224,1.672,0.046,0.0,0.0,0.6,0.2,2.0,0.0,73.65,0.176,2.0,0.0
2019,4-Seam Fastball,607,89.614,93.6,2188.781,17.811,6.91,5.747,,-0.039,2.767,0.467,0.265,0.241,0.516,0.303,68.0,0.397,88.934,0.461,68.0,9.0
2019,Slider,440,81.543,87.2,2318.629,3.652,-5.393,5.198,,-0.115,2.127,0.339,0.23,0.206,0.525,0.323,75.0,0.333,87.516,0.34,75.0,3.0
2019,Changeup,160,82.394,85.8,1466.73,4.699,14.372,5.621,,0.895,1.807,0.123,0.25,0.328,0.2,0.162,35.0,0.343,86.837,0.467,35.0,2.0
2019,Sinker,72,88.954,92.7,2174.083,13.632,13.015,5.839,,0.449,2.456,0.055,0.273,0.4,0.514,0.25,17.0,0.353,87.341,0.379,17.0,1.0
2019,Curveball,20,71.515,74.0,2198.533,-0.624,-6.042,5.195,,0.192,1.911,0.015,0.2,0.273,0.45,0.25,5.0,0.2,77.7,0.528,5.0,1.0
2020,4-Seam Fastball,66,88.176,91.0,2113.455,17.336,7.613,5.858,34.684,0.076,3.115,0.4,0.348,0.139,0.455,0.364,7.0,0.714,97.343,0.706,7.0,3.0
2020,Cutter,56,82.95,87.1,2241.768,4.646,-5.702,5.804,42.916,-0.485,2.098,0.339,0.16,0.233,0.464,0.214,10.0,0.3,81.73,0.297,10.0,1.0
