game_year,resolved_name,starts,home_starts,mean_rest_days,mean_pitches,mean_ip,first_date,last_date,opponents,split_games,home_share
2015,"Rupp, Cameron",13,6,5.583,85.923,5.738,2015-07-21,2015-09-26,"ATL,AZ,CHC,MIA,NYM,SD,TB,TOR,WSH",0,0.462
2016,"Ruiz, Carlos",4,1,5.25,86.75,4.275,2016-06-26,2016-07-28,"ATL,KC,PIT,SF",1,0.25
2016,"Rupp, Cameron",16,8,17.812,90.562,5.781,2016-04-06,2016-07-18,"ATL,CIN,DET,MIA,MIL,MIN,SD,STL,TOR,WSH",0,0.5
2017,"Alfaro, Jorge",2,1,5.5,100.0,6.05,2017-09-07,2017-09-19,"LAD,WSH",0,0.5
2017,"Knapp, Andrew",8,3,8.75,96.25,5.675,2017-04-20,2017-09-25,"LAA,MIA,MIL,NYM,PIT,SD,STL,WSH",0,0.375
2017,"Rupp, Cameron",17,10,20.176,99.706,6.218,2017-04-08,2017-09-13,"ATL,AZ,CIN,COL,HOU,MIA,MIL,NYM,PIT,SEA,SF,STL,WSH",0,0.588
2018,"Alfaro, Jorge",30,16,5.733,98.967,6.243,2018-04-10,2018-09-23,"ATL,BAL,BOS,CHC,CIN,COL,LAD,MIA,MIL,NYM,PIT,SD,SF,STL,TOR,WSH",1,0.533
2018,"Knapp, Andrew",3,1,65.667,81.0,5.433,2018-03-29,2018-09-29,"ATL,NYM",1,0.333
2019,"Knapp, Andrew",5,2,5.6,101.6,6.08,2019-06-27,2019-09-24,"BOS,CWS,NYM,SF,WSH",0,0.4
2019,"Realmuto, J.T.",29,17,11.448,97.379,5.593,2019-03-28,2019-09-19,"ATL,BOS,CHC,CIN,COL,DET,LAD,MIA,MIL,NYM,SD,STL,WSH",0,0.586
2020,"Knapp, Andrew",3,2,7.667,95.667,5.367,2020-08-05,2020-09-17,"NYM,NYY",0,0.667
2020,"Realmuto, J.T.",9,4,38.444,95.667,5.944,2020-07-24,2020-09-27,"ATL,MIA,NYM,TB,WSH",1,0.444
2021,"Knapp, Andrew",4,2,5.5,99.0,6.3,2021-05-21,2021-09-23,"BOS,MIA,PIT,SD",0,0.5
2021,"Marchán, Rafael",2,0,5.5,87.5,4.1,2021-09-02,2021-09-07,"MIL,WSH",0,0.0
2021,"Realmuto, J.T.",26,12,12.846,92.308,5.423,2021-04-01,2021-09-29,"ATL,AZ,CHC,CIN,COL,LAD,MIA,MIL,NYM,NYY,PIT,SF,STL,TOR,WSH",0,0.462
2022,"Realmuto, J.T.",28,14,12.357,94.857,6.168,2022-04-08,2022-10-03,"ATL,CHC,COL,HOU,LAD,MIA,MIL,NYM,OAK,PIT,SD,SEA,SF,STL,WSH",0,0.5
2022,"Stubbs, Garrett",4,2,5.75,95.75,6.325,2022-05-15,2022-08-30,"AZ,CIN,LAD,WSH",0,0.5
2023,"Realmuto, J.T.",29,14,11.828,96.241,5.707,2023-03-30,2023-09-26,"ATL,CHC,CIN,CLE,COL,DET,HOU,KC,LAD,MIA,MIL,NYM,NYY,PIT,SF,STL,TB,TEX,TOR,WSH",0,0.483
2023,"Stubbs, Garrett",3,0,5.0,98.667,6.1,2023-05-03,2023-09-20,"ATL,AZ,LAD",0,0.0
2024,"Marchán, Rafael",1,0,6.0,103.0,6.0,2024-07-05,2024-07-05,ATL,0,0.0
2024,"Realmuto, J.T.",16,12,16.875,96.75,5.756,2024-03-30,2024-09-23,"ATL,CHC,COL,CWS,HOU,NYM,NYY,SD,SF,STL,TOR,WSH",0,0.75
2024,"Stubbs, Garrett",16,5,5.812,96.125,5.725,2024-05-14,2024-09-29,"AZ,BOS,COL,DET,LAD,MIA,MIL,MIN,NYM,PIT,SD,WSH",0,0.312
2025,"Marchán, Rafael",5,1,58.8,85.4,4.28,2025-03-30,2025-08-17,"CLE,SF,STL,WSH",0,0.2
2025,"Realmuto, J.T.",12,8,5.667,95.083,5.667,2025-04-05,2025-09-26,"ATL,AZ,CHC,KC,LAD,MIL,MIN,NYM,STL,WSH",0,0.667
2026,"Marchán, Rafael",6,2,5.5,90.833,4.75,2026-04-08,2026-07-22,"ATL,CHC,CWS,DET,LAD,SF",0,0.333
2026,"Realmuto, J.T.",12,7,20.333,89.667,4.983,2026-03-28,2026-08-13,"CHC,CIN,COL,MIL,MIN,NYM,PIT,SD,TEX,WSH",0,0.583
2026,"Stubbs, Garrett",8,4,6.25,94.25,5.212,2026-05-04,2026-08-19,"KC,MIA,PIT,SD,TOR,WSH",0,0.5
