window,catcher_id,resolved_name,pitch_group,n,group_n,share
2026_prior,592663,"Realmuto, J.T.",breaking,84,253,0.332
2026_prior,592663,"Realmuto, J.T.",fastball,134,253,0.5296
2026_prior,592663,"Realmuto, J.T.",offspeed,34,253,0.1344
2026_prior,592663,"Realmuto, J.T.",other,1,253,0.004
2026_prior,596117,"Stubbs, Garrett",breaking,21,87,0.2414
2026_prior,596117,"Stubbs, Garrett",fastball,55,87,0.6322
2026_prior,596117,"Stubbs, Garrett",offspeed,11,87,0.1264
2026_prior,665561,"Marchán, Rafael",breaking,41,136,0.3015
2026_prior,665561,"Marchán, Rafael",fastball,77,136,0.5662
2026_prior,665561,"Marchán, Rafael",offspeed,16,136,0.1176
2026_prior,665561,"Marchán, Rafael",other,2,136,0.0147
last_5,592663,"Realmuto, J.T.",breaking,4,23,0.1739
last_5,592663,"Realmuto, J.T.",fastball,13,23,0.5652
last_5,592663,"Realmuto, J.T.",offspeed,6,23,0.2609
last_5,596117,"Stubbs, Garrett",breaking,17,96,0.1771
last_5,596117,"Stubbs, Garrett",fastball,53,96,0.5521
last_5,596117,"Stubbs, Garrett",offspeed,26,96,0.2708
pre_2026,434563,"Ruiz, Carlos",breaking,28,82,0.3415
pre_2026,434563,"Ruiz, Carlos",fastball,47,82,0.5732
pre_2026,434563,"Ruiz, Carlos",offspeed,7,82,0.0854
pre_2026,519237,"Rupp, Cameron",breaking,281,1171,0.24
pre_2026,519237,"Rupp, Cameron",fastball,782,1171,0.6678
pre_2026,519237,"Rupp, Cameron",offspeed,105,1171,0.0897
pre_2026,519237,"Rupp, Cameron",other,3,1171,0.0026
pre_2026,592663,"Realmuto, J.T.",breaking,979,3659,0.2676
pre_2026,592663,"Realmuto, J.T.",fastball,2134,3659,0.5832
pre_2026,592663,"Realmuto, J.T.",offspeed,546,3659,0.1492
pre_2026,595284,"Knapp, Andrew",breaking,153,561,0.2727
pre_2026,595284,"Knapp, Andrew",fastball,319,561,0.5686
pre_2026,595284,"Knapp, Andrew",offspeed,89,561,0.1586
pre_2026,595751,"Alfaro, Jorge",breaking,311,820,0.3793
pre_2026,595751,"Alfaro, Jorge",fastball,429,820,0.5232
pre_2026,595751,"Alfaro, Jorge",offspeed,80,820,0.0976
pre_2026,596117,"Stubbs, Garrett",breaking,153,584,0.262
pre_2026,596117,"Stubbs, Garrett",fastball,376,584,0.6438
pre_2026,596117,"Stubbs, Garrett",offspeed,55,584,0.0942
pre_2026,665561,"Marchán, Rafael",breaking,41,177,0.2316
pre_2026,665561,"Marchán, Rafael",fastball,119,177,0.6723
pre_2026,665561,"Marchán, Rafael",offspeed,17,177,0.096
