catcher_id,resolved_name,pitch_type,n,group_n,share
434563,"Ruiz, Carlos",CH,30,311,0.0965
434563,"Ruiz, Carlos",CU,106,311,0.3408
434563,"Ruiz, Carlos",FF,29,311,0.0932
434563,"Ruiz, Carlos",SI,146,311,0.4695
519237,"Rupp, Cameron",CH,476,4296,0.1108
519237,"Rupp, Cameron",CU,769,4296,0.179
519237,"Rupp, Cameron",FF,1097,4296,0.2554
519237,"Rupp, Cameron",IN,11,4296,0.0026
519237,"Rupp, Cameron",KC,556,4296,0.1294
519237,"Rupp, Cameron",PO,2,4296,0.0005
519237,"Rupp, Cameron",SI,1385,4296,0.3224
592663,"Realmuto, J.T.",CH,2480,15273,0.1624
592663,"Realmuto, J.T.",FC,657,15273,0.043
592663,"Realmuto, J.T.",FF,4845,15273,0.3172
592663,"Realmuto, J.T.",KC,4700,15273,0.3077
592663,"Realmuto, J.T.",SI,2575,15273,0.1686
592663,"Realmuto, J.T.",SL,16,15273,0.001
595284,"Knapp, Andrew",CH,413,2211,0.1868
595284,"Knapp, Andrew",FC,2,2211,0.0009
595284,"Knapp, Andrew",FF,751,2211,0.3397
595284,"Knapp, Andrew",KC,624,2211,0.2822
595284,"Knapp, Andrew",SI,421,2211,0.1904
595751,"Alfaro, Jorge",CH,642,3180,0.2019
595751,"Alfaro, Jorge",FF,1117,3180,0.3513
595751,"Alfaro, Jorge",KC,987,3180,0.3104
595751,"Alfaro, Jorge",SI,434,3180,0.1365
596117,"Stubbs, Garrett",CH,394,2971,0.1326
596117,"Stubbs, Garrett",FC,283,2971,0.0953
596117,"Stubbs, Garrett",FF,798,2971,0.2686
596117,"Stubbs, Garrett",KC,934,2971,0.3144
596117,"Stubbs, Garrett",SI,560,2971,0.1885
596117,"Stubbs, Garrett",SL,2,2971,0.0007
665561,"Marchán, Rafael",CH,189,1245,0.1518
665561,"Marchán, Rafael",FC,118,1245,0.0948
665561,"Marchán, Rafael",FF,358,1245,0.2876
665561,"Marchán, Rafael",KC,365,1245,0.2932
665561,"Marchán, Rafael",SI,214,1245,0.1719
665561,"Marchán, Rafael",SL,1,1245,0.0008
