window,catcher_id,resolved_name,pitch_type,n,group_n,share
2026_prior,592663,"Realmuto, J.T.",CH,133,975,0.1364
2026_prior,592663,"Realmuto, J.T.",FC,49,975,0.0503
2026_prior,592663,"Realmuto, J.T.",FF,227,975,0.2328
2026_prior,592663,"Realmuto, J.T.",KC,342,975,0.3508
2026_prior,592663,"Realmuto, J.T.",SI,208,975,0.2133
2026_prior,592663,"Realmuto, J.T.",SL,16,975,0.0164
2026_prior,596117,"Stubbs, Garrett",CH,51,367,0.139
2026_prior,596117,"Stubbs, Garrett",FC,33,367,0.0899
2026_prior,596117,"Stubbs, Garrett",FF,88,367,0.2398
2026_prior,596117,"Stubbs, Garrett",KC,123,367,0.3351
2026_prior,596117,"Stubbs, Garrett",SI,70,367,0.1907
2026_prior,596117,"Stubbs, Garrett",SL,2,367,0.0054
2026_prior,665561,"Marchán, Rafael",CH,83,540,0.1537
2026_prior,665561,"Marchán, Rafael",FC,59,540,0.1093
2026_prior,665561,"Marchán, Rafael",FF,127,540,0.2352
2026_prior,665561,"Marchán, Rafael",KC,181,540,0.3352
2026_prior,665561,"Marchán, Rafael",SI,89,540,0.1648
2026_prior,665561,"Marchán, Rafael",SL,1,540,0.0019
last_5,592663,"Realmuto, J.T.",CH,16,97,0.1649
last_5,592663,"Realmuto, J.T.",FC,4,97,0.0412
last_5,592663,"Realmuto, J.T.",FF,29,97,0.299
last_5,592663,"Realmuto, J.T.",KC,38,97,0.3918
last_5,592663,"Realmuto, J.T.",SI,10,97,0.1031
last_5,596117,"Stubbs, Garrett",CH,102,387,0.2636
last_5,596117,"Stubbs, Garrett",FC,32,387,0.0827
last_5,596117,"Stubbs, Garrett",FF,92,387,0.2377
last_5,596117,"Stubbs, Garrett",KC,100,387,0.2584
last_5,596117,"Stubbs, Garrett",SI,61,387,0.1576
pre_2026,434563,"Ruiz, Carlos",CH,30,311,0.0965
pre_2026,434563,"Ruiz, Carlos",CU,106,311,0.3408
pre_2026,434563,"Ruiz, Carlos",FF,29,311,0.0932
pre_2026,434563,"Ruiz, Carlos",SI,146,311,0.4695
pre_2026,519237,"Rupp, Cameron",CH,476,4296,0.1108
pre_2026,519237,"Rupp, Cameron",CU,769,4296,0.179
pre_2026,519237,"Rupp, Cameron",FF,1097,4296,0.2554
pre_2026,519237,"Rupp, Cameron",IN,11,4296,0.0026
pre_2026,519237,"Rupp, Cameron",KC,556,4296,0.1294
pre_2026,519237,"Rupp, Cameron",PO,2,4296,0.0005
pre_2026,519237,"Rupp, Cameron",SI,1385,4296,0.3224
pre_2026,592663,"Realmuto, J.T.",CH,2331,14201,0.1641
pre_2026,592663,"Realmuto, J.T.",FC,604,14201,0.0425
pre_2026,592663,"Realmuto, J.T.",FF,4589,14201,0.3231
pre_2026,592663,"Realmuto, J.T.",KC,4320,14201,0.3042
pre_2026,592663,"Realmuto, J.T.",SI,2357,14201,0.166
pre_2026,595284,"Knapp, Andrew",CH,413,2211,0.1868
pre_2026,595284,"Knapp, Andrew",FC,2,2211,0.0009
pre_2026,595284,"Knapp, Andrew",FF,751,2211,0.3397
pre_2026,595284,"Knapp, Andrew",KC,624,2211,0.2822
pre_2026,595284,"Knapp, Andrew",SI,421,2211,0.1904
pre_2026,595751,"Alfaro, Jorge",CH,642,3180,0.2019
pre_2026,595751,"Alfaro, Jorge",FF,1117,3180,0.3513
pre_2026,595751,"Alfaro, Jorge",KC,987,3180,0.3104
pre_2026,595751,"Alfaro, Jorge",SI,434,3180,0.1365
pre_2026,596117,"Stubbs, Garrett",CH,241,2217,0.1087
pre_2026,596117,"Stubbs, Garrett",FC,218,2217,0.0983
pre_2026,596117,"Stubbs, Garrett",FF,618,2217,0.2788
pre_2026,596117,"Stubbs, Garrett",KC,711,2217,0.3207
pre_2026,596117,"Stubbs, Garrett",SI,429,2217,0.1935
pre_2026,665561,"Marchán, Rafael",CH,106,705,0.1504
pre_2026,665561,"Marchán, Rafael",FC,59,705,0.0837
pre_2026,665561,"Marchán, Rafael",FF,231,705,0.3277
pre_2026,665561,"Marchán, Rafael",KC,184,705,0.261
pre_2026,665561,"Marchán, Rafael",SI,125,705,0.1773
