window,catcher_id,resolved_name,pitch_group,n,group_n,share
2026_prior,592663,"Realmuto, J.T.",breaking,65,136,0.4779
2026_prior,592663,"Realmuto, J.T.",fastball,59,136,0.4338
2026_prior,592663,"Realmuto, J.T.",offspeed,12,136,0.0882
2026_prior,596117,"Stubbs, Garrett",breaking,30,56,0.5357
2026_prior,596117,"Stubbs, Garrett",fastball,19,56,0.3393
2026_prior,596117,"Stubbs, Garrett",offspeed,7,56,0.125
2026_prior,665561,"Marchán, Rafael",breaking,33,64,0.5156
2026_prior,665561,"Marchán, Rafael",fastball,26,64,0.4062
2026_prior,665561,"Marchán, Rafael",offspeed,5,64,0.0781
last_5,592663,"Realmuto, J.T.",breaking,9,13,0.6923
last_5,592663,"Realmuto, J.T.",fastball,4,13,0.3077
last_5,596117,"Stubbs, Garrett",breaking,23,54,0.4259
last_5,596117,"Stubbs, Garrett",fastball,20,54,0.3704
last_5,596117,"Stubbs, Garrett",offspeed,11,54,0.2037
pre_2026,434563,"Ruiz, Carlos",breaking,21,42,0.5
pre_2026,434563,"Ruiz, Carlos",fastball,20,42,0.4762
pre_2026,434563,"Ruiz, Carlos",offspeed,1,42,0.0238
pre_2026,519237,"Rupp, Cameron",breaking,306,599,0.5109
pre_2026,519237,"Rupp, Cameron",fastball,251,599,0.419
pre_2026,519237,"Rupp, Cameron",offspeed,42,599,0.0701
pre_2026,592663,"Realmuto, J.T.",breaking,857,2113,0.4056
pre_2026,592663,"Realmuto, J.T.",fastball,956,2113,0.4524
pre_2026,592663,"Realmuto, J.T.",offspeed,300,2113,0.142
pre_2026,595284,"Knapp, Andrew",breaking,141,324,0.4352
pre_2026,595284,"Knapp, Andrew",fastball,130,324,0.4012
pre_2026,595284,"Knapp, Andrew",offspeed,53,324,0.1636
pre_2026,595751,"Alfaro, Jorge",breaking,190,476,0.3992
pre_2026,595751,"Alfaro, Jorge",fastball,196,476,0.4118
pre_2026,595751,"Alfaro, Jorge",offspeed,90,476,0.1891
pre_2026,596117,"Stubbs, Garrett",breaking,157,320,0.4906
pre_2026,596117,"Stubbs, Garrett",fastball,140,320,0.4375
pre_2026,596117,"Stubbs, Garrett",offspeed,23,320,0.0719
pre_2026,665561,"Marchán, Rafael",breaking,41,101,0.4059
pre_2026,665561,"Marchán, Rafael",fastball,48,101,0.4752
pre_2026,665561,"Marchán, Rafael",offspeed,12,101,0.1188
