window,catcher_id,resolved_name,total_pitches,uq_games,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,xwoba,krate,bbrate,hr_rate,ooz,chases,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,pitches2strikes,putaway_rate,first_pitch_strike_rate,bips,hard_hit_rate,xwobacon,edge_rate,ooz_called_strike_rate,gb_rate,air_rate,two_strike_pitches,two_strike_fb_rate,in_zone_whiff_rate,pitch_pairs,repeat_pitch_rate,active_types,entropy_norm,ahead_pitches,behind_pitches,js_divergence,below_game_floor,below_pitch_floor,below_pa_floor,window_label
2026_prior,592663,"Realmuto, J.T.",979,11,979,253,174,65,15,17,60,0.279,0.328,0.524,0.852,0.364,0.312,0.237,0.067,0.059,524,180,0.344,0.465,469,132,0.281,288,0.208,0.668,174,0.385,0.379,0.37,0.032,0.431,0.569,288,0.4722,0.1834,723,0.2351,6,0.6945,304,232,0.0177,False,False,False,"2026_prior · Realmuto, J.T."
2026_prior,596117,"Stubbs, Garrett",367,4,367,87,61,22,3,3,22,0.268,0.287,0.415,0.702,0.301,0.286,0.253,0.034,0.034,195,65,0.333,0.469,178,48,0.27,123,0.179,0.621,61,0.377,0.37,0.398,0.051,0.393,0.607,123,0.4228,0.115,280,0.1964,6,0.7027,110,87,0.0075,False,False,False,"2026_prior · Stubbs, Garrett"
2026_prior,665561,"Marchán, Rafael",545,6,545,136,91,34,7,14,30,0.288,0.353,0.585,0.938,0.391,0.357,0.221,0.103,0.051,325,92,0.283,0.404,222,59,0.266,147,0.204,0.625,91,0.462,0.422,0.365,0.028,0.341,0.659,147,0.4218,0.1385,405,0.1728,6,0.7033,133,163,0.0011,False,False,False,"2026_prior · Marchán, Rafael"
last_5,592663,"Realmuto, J.T.",97,1,97,23,11,5,1,3,9,0.25,0.348,0.45,0.798,0.351,0.306,0.391,0.13,0.043,54,17,0.315,0.443,43,14,0.326,29,0.31,0.609,11,0.455,0.45,0.34,0.019,0.455,0.545,29,0.4138,0.0769,74,0.1892,5,0.6331,24,24,0.1173,True,True,True,"last_5 · Realmuto, J.T."
last_5,596117,"Stubbs, Garrett",387,4,387,95,63,22,5,7,25,0.25,0.305,0.42,0.726,0.318,0.294,0.263,0.074,0.053,226,75,0.332,0.416,176,53,0.301,113,0.221,0.583,63,0.492,0.366,0.346,0.027,0.397,0.603,113,0.3717,0.1881,291,0.2096,5,0.7009,119,100,0.0308,False,False,False,"last_5 · Stubbs, Garrett"
pre_2026,434563,"Ruiz, Carlos",311,4,311,82,55,27,1,6,17,0.38,0.451,0.521,0.972,0.419,0.344,0.207,0.073,0.012,153,43,0.281,0.508,139,32,0.23,73,0.233,0.561,55,0.364,0.344,0.383,0.059,0.582,0.418,73,0.4795,0.1562,229,0.3799,4,0.5319,86,95,0.1049,False,False,False,"pre_2026 · Ruiz, Carlos"
pre_2026,519237,"Rupp, Cameron",4297,47,4297,1171,797,263,32,67,293,0.243,0.286,0.388,0.674,0.29,0.356,0.25,0.057,0.027,2144,620,0.289,0.501,1878,464,0.247,1138,0.257,0.628,797,0.32,0.356,0.368,0.084,0.518,0.482,1138,0.4701,0.1774,3125,0.3821,7,0.7049,1287,1073,0.0737,False,False,False,"pre_2026 · Rupp, Cameron"
pre_2026,592663,"Realmuto, J.T.",14201,149,14201,3650,2413,789,125,227,975,0.234,0.286,0.398,0.684,0.295,0.352,0.267,0.062,0.034,7236,2398,0.331,0.49,6796,1802,0.265,4418,0.221,0.649,2413,0.378,0.368,0.381,0.051,0.447,0.553,4418,0.4817,0.1764,10536,0.281,5,0.6627,4572,3330,0.005,False,False,False,"pre_2026 · Realmuto, J.T."
pre_2026,595284,"Knapp, Andrew",2213,25,2213,561,346,103,16,43,165,0.202,0.271,0.331,0.602,0.265,0.339,0.294,0.077,0.029,1161,373,0.321,0.475,1030,285,0.277,654,0.252,0.674,346,0.344,0.339,0.366,0.058,0.512,0.488,652,0.4632,0.186,1648,0.2998,5,0.6187,728,527,0.0394,False,False,False,"pre_2026 · Knapp, Andrew"
pre_2026,595751,"Alfaro, Jorge",3180,33,3180,818,533,153,17,52,227,0.204,0.257,0.321,0.578,0.253,0.325,0.278,0.064,0.021,1529,453,0.296,0.519,1514,427,0.282,993,0.229,0.694,533,0.317,0.325,0.379,0.061,0.514,0.486,993,0.4763,0.2177,2360,0.3186,4,0.6032,1075,677,0.0271,False,False,False,"pre_2026 · Alfaro, Jorge"
pre_2026,596117,"Stubbs, Garrett",2217,23,2217,582,404,137,18,25,144,0.25,0.289,0.42,0.709,0.305,0.322,0.247,0.043,0.031,1141,367,0.322,0.485,1085,295,0.272,659,0.219,0.668,404,0.344,0.376,0.364,0.046,0.46,0.54,659,0.4765,0.1769,1632,0.2635,5,0.6863,686,510,0.006,False,False,False,"pre_2026 · Stubbs, Garrett"
pre_2026,665561,"Marchán, Rafael",705,8,705,177,110,50,8,13,51,0.312,0.373,0.519,0.892,0.383,0.345,0.288,0.073,0.045,367,125,0.341,0.479,343,94,0.274,234,0.218,0.655,110,0.427,0.429,0.389,0.057,0.455,0.545,234,0.5256,0.1743,528,0.2386,5,0.6897,238,153,0.012,False,False,False,"pre_2026 · Marchán, Rafael"
