game_pk,game_date,game_year,opponent,venue,pitches,ip_computed,plate_apps,hits,hrs,walks,strikeouts,woba,catcher_id,catcher_pitches,n_catchers,catcher_split,rest_days,start_index_desc
415056,2015-07-21,2015,TB,home,88,6.0,24,5,1,1,6,0.277,519237,88,1,False,,310
415125,2015-07-26,2015,CHC,road,92,7.1,29,5,2,2,6,0.281,519237,92,1,False,5.0,309
415198,2015-08-01,2015,ATL,home,88,5.0,20,5,1,0,3,0.298,519237,88,1,False,6.0,308
415287,2015-08-07,2015,SD,road,99,6.0,28,6,0,2,6,0.315,519237,99,1,False,6.0,307
415355,2015-08-12,2015,AZ,road,83,4.2,24,9,0,1,2,0.389,519237,83,1,False,5.0,306
415436,2015-08-18,2015,TOR,home,94,5.0,24,4,1,4,5,0.326,519237,94,1,False,6.0,305
415503,2015-08-23,2015,MIA,road,100,7.1,28,3,0,2,6,0.143,519237,100,1,False,5.0,304
415570,2015-08-28,2015,SD,home,86,7.0,25,2,1,2,6,0.188,519237,86,1,False,5.0,303
415638,2015-09-02,2015,NYM,road,65,4.0,21,9,2,0,4,0.544,519237,65,1,False,5.0,302
415711,2015-09-08,2015,ATL,home,85,7.0,27,6,0,1,7,0.221,519237,85,1,False,6.0,301
415804,2015-09-14,2015,WSH,home,79,5.0,24,9,3,1,8,0.507,519237,79,1,False,6.0,300
415884,2015-09-20,2015,ATL,road,91,6.2,26,5,0,2,4,0.237,519237,91,1,False,6.0,299
415964,2015-09-26,2015,WSH,road,67,5.0,20,6,0,0,5,0.264,519237,67,1,False,6.0,298
446897,2016-04-06,2016,CIN,road,95,7.0,25,4,1,0,8,0.186,519237,95,1,False,193.0,297
446966,2016-04-11,2016,SD,home,95,7.0,27,6,1,0,9,0.264,519237,95,1,False,5.0,296
447036,2016-04-16,2016,WSH,home,80,4.2,24,7,1,2,6,0.42,519237,80,1,False,5.0,295
447112,2016-04-22,2016,MIL,road,105,7.0,27,4,0,2,7,0.181,519237,105,1,False,6.0,294
447196,2016-04-28,2016,WSH,road,77,7.0,24,2,0,1,7,0.102,519237,77,1,False,6.0,293
447264,2016-05-03,2016,STL,road,111,7.0,24,2,0,1,7,0.117,519237,111,1,False,5.0,292
447334,2016-05-08,2016,MIA,road,93,6.0,25,6,0,0,5,0.24,519237,93,1,False,5.0,291
447408,2016-05-14,2016,CIN,home,100,6.2,28,5,0,1,9,0.194,519237,100,1,False,6.0,290
447487,2016-05-20,2016,ATL,home,102,7.0,32,7,2,1,6,0.319,519237,102,1,False,6.0,289
447567,2016-05-25,2016,DET,road,92,6.0,26,6,0,1,6,0.243,519237,92,1,False,5.0,288
447653,2016-05-31,2016,WSH,home,96,6.0,23,5,2,1,6,0.336,519237,96,1,False,6.0,287
447715,2016-06-05,2016,MIL,home,103,6.0,28,8,0,2,9,0.3,519237,103,1,False,5.0,286
447798,2016-06-11,2016,WSH,road,82,4.0,20,7,0,1,3,0.396,519237,82,1,False,6.0,285
447865,2016-06-16,2016,TOR,home,79,3.1,20,8,2,3,5,0.587,519237,79,1,False,5.0,284
447929,2016-06-21,2016,MIN,road,71,3.0,20,7,0,3,2,0.464,519237,71,1,False,5.0,283
447999,2016-06-26,2016,SF,road,77,3.1,22,10,0,0,4,0.547,434563,77,1,False,5.0,282
448079,2016-07-02,2016,KC,home,95,5.0,22,6,1,1,7,0.339,434563,95,1,False,6.0,281
448253,2016-07-18,2016,MIA,home,68,6.0,20,2,0,1,5,0.122,519237,68,1,False,16.0,280
448323,2016-07-23,2016,PIT,road,80,4.0,20,6,0,2,5,0.385,434563,44,2,True,5.0,279
448390,2016-07-28,2016,ATL,road,95,5.0,27,8,0,3,5,0.403,434563,95,1,False,5.0,278
490177,2017-04-08,2017,WSH,home,89,5.2,24,7,0,2,7,0.343,519237,89,1,False,254.0,277
490249,2017-04-14,2017,WSH,road,90,5.0,21,6,0,0,6,0.267,519237,90,1,False,6.0,276
490332,2017-04-20,2017,NYM,road,96,4.2,24,7,1,4,2,0.417,595284,96,1,False,6.0,275
490758,2017-05-21,2017,PIT,road,89,7.0,26,4,0,1,5,0.189,595284,89,1,False,31.0,274
490818,2017-05-26,2017,CIN,home,97,6.0,26,6,2,2,5,0.341,519237,97,1,False,5.0,273
490901,2017-05-31,2017,MIA,road,73,3.0,15,5,1,1,4,0.412,595284,73,1,False,5.0,272
490972,2017-06-06,2017,ATL,road,97,8.0,29,5,0,1,6,0.187,519237,97,1,False,6.0,271
491048,2017-06-11,2017,STL,road,93,5.0,21,4,1,2,6,0.319,595284,93,1,False,5.0,270
491100,2017-06-16,2017,AZ,home,106,6.0,29,9,1,2,6,0.358,519237,106,1,False,5.0,269
491196,2017-06-22,2017,STL,home,107,7.0,28,4,1,2,8,0.214,519237,107,1,False,6.0,268
491261,2017-06-27,2017,SEA,road,113,7.0,28,5,1,4,9,0.308,519237,113,1,False,5.0,267
491346,2017-07-03,2017,PIT,home,99,7.0,27,4,0,1,8,0.182,519237,99,1,False,6.0,266
491418,2017-07-08,2017,SD,home,111,8.0,30,4,0,2,9,0.197,595284,111,1,False,5.0,265
491457,2017-07-15,2017,MIL,road,97,6.0,27,7,1,2,7,0.346,519237,97,1,False,7.0,264
491538,2017-07-21,2017,MIL,home,96,7.0,26,5,1,2,9,0.264,595284,96,1,False,6.0,263
491610,2017-07-26,2017,HOU,home,103,6.0,23,4,0,1,10,0.198,519237,103,1,False,5.0,262
491689,2017-08-01,2017,LAA,road,106,5.2,26,8,0,1,3,0.31,595284,106,1,False,6.0,261
491762,2017-08-06,2017,COL,road,103,7.0,29,6,0,2,7,0.266,519237,103,1,False,5.0,260
491844,2017-08-12,2017,NYM,home,108,7.0,26,2,1,2,8,0.177,519237,108,1,False,6.0,259
491909,2017-08-17,2017,SF,road,84,4.2,24,7,0,3,3,0.387,519237,84,1,False,5.0,258
491971,2017-08-22,2017,MIA,home,105,6.1,29,9,2,2,7,0.445,519237,105,1,False,5.0,257
492053,2017-08-28,2017,ATL,home,100,6.2,26,5,0,0,6,0.21,519237,100,1,False,6.0,256
492128,2017-09-02,2017,MIA,road,100,5.0,26,10,2,1,7,0.527,519237,100,1,False,5.0,255
492199,2017-09-07,2017,WSH,road,106,5.1,24,7,0,1,8,0.314,595751,106,1,False,5.0,254
492277,2017-09-13,2017,MIA,home,97,7.0,27,4,1,2,11,0.222,519237,97,1,False,6.0,253
492355,2017-09-19,2017,LAD,home,94,7.0,27,5,1,2,8,0.268,595751,94,1,False,6.0,252
492443,2017-09-25,2017,WSH,home,106,6.0,25,5,1,2,9,0.275,595284,106,1,False,6.0,251
529416,2018-03-29,2018,ATL,road,68,5.1,20,3,0,1,3,0.185,595284,68,1,False,185.0,250
529491,2018-04-04,2018,NYM,road,87,4.2,23,4,1,4,4,0.354,595284,87,1,False,6.0,249
529562,2018-04-10,2018,CIN,home,103,8.0,29,3,0,3,6,0.162,595751,88,2,True,6.0,248
529650,2018-04-16,2018,ATL,road,85,6.0,22,4,0,1,2,0.191,595751,85,1,False,6.0,247
529715,2018-04-21,2018,PIT,home,103,7.0,26,6,1,0,9,0.247,595751,103,1,False,5.0,246
529786,2018-04-27,2018,ATL,home,101,7.0,28,7,0,1,4,0.284,595751,101,1,False,6.0,245
529865,2018-05-02,2018,MIA,road,101,7.0,25,4,0,1,7,0.168,595751,101,1,False,5.0,244
529945,2018-05-08,2018,SF,home,109,6.2,25,5,0,0,12,0.191,595751,109,1,False,6.0,243
530009,2018-05-13,2018,NYM,home,89,5.2,25,9,1,2,4,0.418,595751,89,1,False,5.0,242
