window,catcher_id,resolved_name,count_state,located,in_zone,zone_rate
2026_prior,592663,"Realmuto, J.T.",ahead,304,97,0.3191
2026_prior,592663,"Realmuto, J.T.",behind,232,129,0.556
2026_prior,592663,"Realmuto, J.T.",even,439,225,0.5125
2026_prior,596117,"Stubbs, Garrett",ahead,110,28,0.2545
2026_prior,596117,"Stubbs, Garrett",behind,87,59,0.6782
2026_prior,596117,"Stubbs, Garrett",even,170,85,0.5
2026_prior,665561,"Marchán, Rafael",ahead,133,24,0.1805
2026_prior,665561,"Marchán, Rafael",behind,163,82,0.5031
2026_prior,665561,"Marchán, Rafael",even,244,109,0.4467
last_5,592663,"Realmuto, J.T.",ahead,24,4,0.1667
last_5,592663,"Realmuto, J.T.",behind,24,14,0.5833
last_5,592663,"Realmuto, J.T.",even,49,25,0.5102
last_5,596117,"Stubbs, Garrett",ahead,119,28,0.2353
last_5,596117,"Stubbs, Garrett",behind,100,59,0.59
last_5,596117,"Stubbs, Garrett",even,168,74,0.4405
pre_2026,434563,"Ruiz, Carlos",ahead,86,36,0.4186
pre_2026,434563,"Ruiz, Carlos",behind,95,53,0.5579
pre_2026,434563,"Ruiz, Carlos",even,130,69,0.5308
pre_2026,519237,"Rupp, Cameron",ahead,1287,542,0.4211
pre_2026,519237,"Rupp, Cameron",behind,1073,605,0.5638
pre_2026,519237,"Rupp, Cameron",even,1936,1005,0.5191
pre_2026,592663,"Realmuto, J.T.",ahead,4572,1781,0.3895
pre_2026,592663,"Realmuto, J.T.",behind,3330,1969,0.5913
pre_2026,592663,"Realmuto, J.T.",even,6299,3215,0.5104
pre_2026,595284,"Knapp, Andrew",ahead,728,289,0.397
pre_2026,595284,"Knapp, Andrew",behind,527,287,0.5446
pre_2026,595284,"Knapp, Andrew",even,956,474,0.4958
pre_2026,595751,"Alfaro, Jorge",ahead,1075,467,0.4344
pre_2026,595751,"Alfaro, Jorge",behind,677,392,0.579
pre_2026,595751,"Alfaro, Jorge",even,1428,792,0.5546
pre_2026,596117,"Stubbs, Garrett",ahead,686,228,0.3324
pre_2026,596117,"Stubbs, Garrett",behind,510,305,0.598
pre_2026,596117,"Stubbs, Garrett",even,1021,543,0.5318
pre_2026,665561,"Marchán, Rafael",ahead,238,85,0.3571
pre_2026,665561,"Marchán, Rafael",behind,153,85,0.5556
pre_2026,665561,"Marchán, Rafael",even,314,168,0.535
