stand,catcher,era,plate_apps,walks,strikeouts,woba,bb_rate,k_rate,pitches,games,ch_share,kc_share,fb_share,offspeed_share,breaking_share,fp_offspeed_share,first_pitch_strike_rate,two_strike_fb_rate,two_strike_ch_rate,behind_ch_rate,in_zone_rate,whiff_rate,chase_rate
L,"Marchán, Rafael",before,52,11.0,9,0.4835,0.2115,0.1731,220,4,0.1781,0.3151,0.5068,0.1781,0.3151,0.1731,0.5,0.5,0.1071,0.1512,0.3516,0.2619,0.2817
L,"Marchán, Rafael",since,29,1.0,6,0.44,0.0345,0.2069,114,2,0.2364,0.3455,0.4182,0.2364,0.3455,0.1724,0.6552,0.3871,0.1935,0.3929,0.4273,0.2653,0.254
L,"Realmuto, J.T.",before,132,12.0,30,0.3654,0.0909,0.2273,540,10,0.1852,0.3611,0.4519,0.1852,0.363,0.2045,0.6136,0.4824,0.1118,0.1736,0.4426,0.2808,0.3355
L,"Realmuto, J.T.",since,31,3.0,9,0.2769,0.0968,0.2903,121,2,0.2564,0.3761,0.3675,0.2564,0.3761,0.2903,0.5484,0.3226,0.1935,0.2258,0.4188,0.3636,0.3676
L,"Stubbs, Garrett",before,34,3.0,8,0.3126,0.0882,0.2353,163,3,0.1595,0.319,0.5215,0.1595,0.319,0.1765,0.5588,0.5172,0.1034,0.1333,0.4294,0.2051,0.3011
L,"Stubbs, Garrett",since,88,6.0,23,0.2831,0.0682,0.2614,353,5,0.2918,0.2408,0.4674,0.2918,0.2408,0.3182,0.5682,0.3529,0.2353,0.3191,0.4363,0.2952,0.3317
R,"Marchán, Rafael",before,41,1.0,9,0.3128,0.0244,0.2195,152,4,0.0592,0.3487,0.5921,0.0592,0.3487,0.0488,0.7317,0.3947,0.0789,0.0,0.4276,0.2344,0.3103
R,"Marchán, Rafael",since,14,1.0,6,0.1769,0.0714,0.4286,59,2,0.1525,0.3559,0.4746,0.1525,0.3729,0.0,0.7143,0.3182,0.1364,0.2667,0.4407,0.36,0.2727
R,"Realmuto, J.T.",before,94,2.0,24,0.351,0.0213,0.2553,338,10,0.0355,0.3225,0.6006,0.0355,0.3639,0.0213,0.766,0.5054,0.0323,0.0769,0.5207,0.2622,0.3272
R,"Realmuto, J.T.",since,19,3.0,6,0.5461,0.1579,0.3158,77,2,0.0909,0.4156,0.4805,0.0909,0.4286,0.1053,0.6842,0.3913,0.0435,0.1875,0.3896,0.303,0.383
R,"Stubbs, Garrett",before,25,0.0,7,0.3455,0.0,0.28,106,3,0.0566,0.3774,0.566,0.0566,0.3774,0.04,0.68,0.3846,0.0769,0.0,0.4811,0.2889,0.3091
R,"Stubbs, Garrett",since,35,1.0,9,0.3505,0.0286,0.2571,132,5,0.1364,0.3485,0.5,0.1364,0.3636,0.0556,0.6667,0.3514,0.1622,0.1724,0.4394,0.3538,0.3919
