month,pitch_type,n,month_pitches,share
2026-03,CH,6,91,0.0659
2026-03,FC,4,91,0.044
2026-03,FF,34,91,0.3736
2026-03,KC,27,91,0.2967
2026-03,SI,20,91,0.2198
2026-04,CH,60,455,0.1319
2026-04,FC,48,455,0.1055
2026-04,FF,122,455,0.2681
2026-04,KC,137,455,0.3011
2026-04,SI,88,455,0.1934
2026-05,CH,54,425,0.1271
2026-05,FC,31,425,0.0729
2026-05,FF,103,425,0.2424
2026-05,KC,160,425,0.3765
2026-05,SI,77,425,0.1812
2026-06,CH,72,547,0.1316
2026-06,FC,33,547,0.0603
2026-06,FF,100,547,0.1828
2026-06,KC,194,547,0.3547
2026-06,SI,133,547,0.2431
2026-06,SL,15,547,0.0274
2026-07,CH,109,457,0.2385
2026-07,FC,31,457,0.0678
2026-07,FF,104,457,0.2276
2026-07,KC,147,457,0.3217
2026-07,SI,62,457,0.1357
2026-07,SL,4,457,0.0088
2026-08,CH,84,391,0.2148
2026-08,FC,30,391,0.0767
2026-08,FF,100,391,0.2558
2026-08,KC,119,391,0.3043
2026-08,SI,58,391,0.1483
