opponent,nola_pa,nola_woba,staff_pa,staff_woba,nola_minus_staff
ATL,25,0.4532,215,0.3331,0.1201
CHC,45,0.4283,263,0.4144,0.0139
CIN,23,0.3721,203,0.3138,0.0583
COL,47,0.293,171,0.2437,0.0493
CWS,23,0.4017,98,0.3531,0.0486
DET,20,0.2795,85,0.2929,-0.0134
KC,28,0.2488,89,0.4196,-0.1708
LAD,23,0.4194,199,0.343,0.0764
MIA,71,0.2498,420,0.3353,-0.0855
MIL,22,0.4109,93,0.3686,0.0423
MIN,23,0.3507,92,0.3091,0.0416
NYM,51,0.4019,294,0.2923,0.1096
PIT,41,0.5285,234,0.2873,0.2412
SD,40,0.2226,168,0.2328,-0.0102
SF,23,0.3206,201,0.2947,0.0259
TEX,22,0.3705,95,0.2891,0.0814
TOR,22,0.3584,223,0.2949,0.0635
WSH,45,0.3587,401,0.314,0.0447
