game_date,catcher,pitches,games,ch_share,kc_share,fb_share,offspeed_share,breaking_share,fp_offspeed_share,first_pitch_strike_rate,two_strike_fb_rate,two_strike_ch_rate,behind_ch_rate,in_zone_rate,whiff_rate,chase_rate,plate_apps,walks,strikeouts,woba,bb_rate,k_rate
2026-03-28,"Realmuto, J.T.",91,1,0.0659,0.2967,0.6374,0.0659,0.2967,0.0,0.6818,0.6176,0.0,0.1053,0.4835,0.3182,0.3191,22,2.0,7,0.3705,0.0909,0.3182
2026-04-03,"Realmuto, J.T.",95,1,0.1684,0.2842,0.5474,0.1684,0.2842,0.2,0.68,0.5357,0.0714,0.12,0.4421,0.2979,0.3774,25,1.0,9,0.2206,0.04,0.36
2026-04-08,"Marchán, Rafael",84,1,0.1429,0.2619,0.5952,0.1429,0.2619,0.1304,0.5652,0.4375,0.125,0.0625,0.4762,0.1724,0.1818,23,1.0,3,0.3206,0.0435,0.1304
2026-04-14,"Realmuto, J.T.",87,1,0.1149,0.2874,0.5977,0.1149,0.2874,0.1304,0.7826,0.65,0.1,0.2222,0.4943,0.2619,0.3636,23,2.0,5,0.4022,0.087,0.2174
2026-04-20,"Marchán, Rafael",88,1,0.125,0.3295,0.5455,0.125,0.3295,0.0909,0.4545,0.5,0.125,0.1515,0.375,0.2857,0.2364,22,4.0,5,0.4556,0.1818,0.2273
2026-04-26,"Marchán, Rafael",101,1,0.1089,0.3366,0.5545,0.1089,0.3366,0.12,0.68,0.4333,0.0333,0.1562,0.297,0.2857,0.4085,25,3.0,6,0.4532,0.12,0.24
2026-05-04,"Stubbs, Garrett",94,1,0.1809,0.3404,0.4787,0.1809,0.3404,0.1818,0.6364,0.3793,0.1724,0.16,0.4468,0.2045,0.25,22,0.0,5,0.202,0.0,0.2273
2026-05-09,"Realmuto, J.T.",94,1,0.1596,0.4149,0.4255,0.1596,0.4149,0.1818,0.7273,0.4242,0.1212,0.0588,0.3936,0.25,0.4211,22,2.0,4,0.3753,0.0909,0.1818
2026-05-15,"Stubbs, Garrett",80,1,0.1125,0.2875,0.6,0.1125,0.2875,0.1111,0.5,0.5556,0.0741,0.08,0.4375,0.1471,0.2222,18,3.0,2,0.541,0.1667,0.1111
2026-05-20,"Realmuto, J.T.",77,1,0.1299,0.3506,0.5195,0.1299,0.3506,0.1304,0.6957,0.5217,0.087,0.1818,0.5974,0.2222,0.3548,23,0.0,5,0.3721,0.0,0.2174
2026-05-26,"Realmuto, J.T.",80,1,0.0375,0.4875,0.475,0.0375,0.4875,0.0,0.619,0.4091,0.0455,0.0909,0.4375,0.2927,0.4,21,0.0,5,0.182,0.0,0.2381
