catcher,era,pitch_type,n,two_strike_pitches,share
"Marchán, Rafael",before,CH,9,94,0.0957
"Marchán, Rafael",before,FC,9,94,0.0957
"Marchán, Rafael",before,FF,14,94,0.1489
"Marchán, Rafael",before,KC,42,94,0.4468
"Marchán, Rafael",before,SI,20,94,0.2128
"Marchán, Rafael",since,CH,9,53,0.1698
"Marchán, Rafael",since,FF,11,53,0.2075
"Marchán, Rafael",since,KC,25,53,0.4717
"Marchán, Rafael",since,SI,8,53,0.1509
"Realmuto, J.T.",before,CH,22,263,0.0837
"Realmuto, J.T.",before,FC,14,263,0.0532
"Realmuto, J.T.",before,FF,59,263,0.2243
"Realmuto, J.T.",before,KC,108,263,0.4106
"Realmuto, J.T.",before,SI,56,263,0.2129
"Realmuto, J.T.",before,SL,4,263,0.0152
"Realmuto, J.T.",since,CH,7,54,0.1296
"Realmuto, J.T.",since,FF,15,54,0.2778
"Realmuto, J.T.",since,KC,27,54,0.5
"Realmuto, J.T.",since,SI,4,54,0.0741
"Realmuto, J.T.",since,SL,1,54,0.0185
"Stubbs, Garrett",before,CH,9,97,0.0928
"Stubbs, Garrett",before,FC,6,97,0.0619
"Stubbs, Garrett",before,FF,17,97,0.1753
"Stubbs, Garrett",before,KC,43,97,0.4433
"Stubbs, Garrett",before,SI,22,97,0.2268
"Stubbs, Garrett",since,CH,30,139,0.2158
"Stubbs, Garrett",since,FC,3,139,0.0216
"Stubbs, Garrett",since,FF,21,139,0.1511
"Stubbs, Garrett",since,KC,60,139,0.4317
"Stubbs, Garrett",since,SI,25,139,0.1799
