batter,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,swings,whiffs,whiff_rate,batter_name,stand,last_faced,seasons,tier
606466,56,14,9.0,5.0,0.0,3.0,2.0,0.455,0.571,0.545,1.117,0.49,0.143,0.214,0.0,0.436,26,6.0,0.231,Ketel Marte,R,2026-04-10,2019-2024/2025/2026,current-era (faced 2025-26)
672515,32,7,6.0,2.0,0.0,1.0,0.0,0.333,0.429,0.5,0.929,0.404,0.0,0.143,0.0,0.639,13,2.0,0.154,Gabriel Moreno,R,2026-04-10,2019-2024/2025/2026,current-era (faced 2025-26)
666971,20,6,5.0,4.0,0.0,0.0,1.0,0.667,0.667,0.833,1.5,0.65,0.167,0.0,0.0,0.125,11,1.0,0.091,Lourdes Gurriel Jr.,R,2025-05-02,2019-2024/2025,current-era (faced 2025-26)
672695,33,6,1.0,1.0,0.0,2.0,3.0,0.25,0.5,0.25,0.75,0.378,0.5,0.333,0.0,0.374,10,3.0,0.3,Geraldo Perdomo,R,2026-04-10,2019-2024/2025/2026,current-era (faced 2025-26)
682998,25,6,5.0,2.0,0.0,0.0,1.0,0.333,0.333,0.333,0.667,0.294,0.167,0.0,0.0,0.23,11,2.0,0.182,Corbin Carroll,L,2025-05-02,2019-2024/2025,current-era (faced 2025-26)
677950,12,5,5.0,1.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.178,0.0,0.0,0.0,0.164,6,0.0,0.0,Alek Thomas,L,2026-04-10,2019-2024/2025/2026,current-era (faced 2025-26)
545121,9,3,1.0,1.0,0.0,0.0,2.0,0.333,0.333,0.333,0.667,0.297,0.667,0.0,0.0,0.303,5,3.0,0.6,Ildemaro Vargas,R,2026-04-10,2026,current-era (faced 2025-26)
545341,11,3,2.0,1.0,0.0,0.0,1.0,0.333,0.333,0.333,0.667,0.294,0.333,0.0,0.0,0.339,3,1.0,0.333,Randal Grichuk,R,2025-05-02,2025,current-era (faced 2025-26)
553993,12,3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.035,7,3.0,0.429,Eugenio Suárez,R,2025-05-02,2025,current-era (faced 2025-26)
647304,10,3,1.0,1.0,0.0,0.0,2.0,0.333,0.333,0.333,0.667,0.294,0.667,0.0,0.0,0.243,7,6.0,0.857,Josh Naylor,L,2025-05-02,2025,current-era (faced 2025-26)
543510,6,2,2.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.631,0.0,0.0,0.0,0.386,2,0.0,0.0,James McCann,R,2026-04-10,2026,current-era (faced 2025-26)
571448,11,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.047,5,2.0,0.4,Nolan Arenado,R,2026-04-10,2026,current-era (faced 2025-26)
678489,9,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,3.0,0.75,Jorge Barrosa,R,2026-04-10,2026,current-era (faced 2025-26)
694374,10,2,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.349,0.0,0.5,0.0,0.537,2,0.0,0.0,Tim Tawa,R,2026-04-10,2026,current-era (faced 2025-26)
699912,7,2,2.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.445,0.0,0.0,0.0,0.46,2,0.0,0.0,Jose Fernandez,R,2026-04-10,2026,current-era (faced 2025-26)
572233,43,8,3.0,1.0,0.0,3.0,2.0,0.2,0.5,0.4,0.9,0.418,0.25,0.375,0.0,0.514,18,6.0,0.333,Christian Walker,R,2023-05-09,2019-2024,historical only (pre-2025)
605113,33,8,6.0,2.0,0.0,0.0,2.0,0.25,0.25,0.25,0.5,0.221,0.25,0.0,0.0,0.211,19,6.0,0.316,Nick Ahmed,R,2023-05-09,2019-2024,historical only (pre-2025)
500871,20,5,5.0,1.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.176,0.0,0.0,0.0,0.311,12,4.0,0.333,Eduardo Escobar,R,2021-04-13,2019-2024,historical only (pre-2025)
594777,27,5,3.0,2.0,0.0,0.0,2.0,0.4,0.4,0.4,0.8,0.352,0.4,0.0,0.0,0.198,10,4.0,0.4,Kole Calhoun,L,2021-04-13,2019-2024,historical only (pre-2025)
641796,15,5,3.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.2,0.14,0.2,0.2,0.0,0.178,6,2.0,0.333,Tim Locastro,R,2021-04-13,2019-2024,historical only (pre-2025)
608348,13,4,2.0,1.0,1.0,1.0,1.0,0.333,0.5,1.333,1.833,0.675,0.25,0.25,0.25,0.516,5,2.0,0.4,Carson Kelly,R,2021-04-13,2019-2024,historical only (pre-2025)
446334,7,3,3.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,1.667,0.709,0.0,0.0,0.0,0.427,3,0.0,0.0,Evan Longoria,R,2023-05-09,2019-2024,historical only (pre-2025)
516782,13,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.057,9,2.0,0.222,Starling Marte,R,2020-08-19,2019-2024,historical only (pre-2025)
656896,12,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.027,6,1.0,0.167,Emmanuel Rivera,R,2023-05-09,2019-2024,historical only (pre-2025)
666150,13,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.094,6,4.0,0.667,Dominic Fletcher,L,2023-05-09,2019-2024,historical only (pre-2025)
444482,7,2,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.346,0.0,0.5,0.0,0.414,3,2.0,0.667,David Peralta,L,2021-04-13,2019-2024,historical only (pre-2025)
452678,7,2,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.5,2.5,1.06,0.0,0.0,0.0,0.553,3,0.0,0.0,Asdrubal Cabrera,R,2021-04-13,2019-2024,historical only (pre-2025)
605196,6,2,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.364,0.5,0.0,0.0,0.364,1,0.0,0.0,Kevin Cron,R,2020-08-19,2019-2024,historical only (pre-2025)
656669,9,2,1.0,1.0,1.0,0.0,1.0,0.5,0.5,2.0,2.5,1.036,0.5,0.0,0.5,0.661,3,2.0,0.667,Jordan Luplow,R,2022-05-10,2019-2024,historical only (pre-2025)
668942,9,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.278,1,0.0,0.0,Josh Rojas,L,2022-05-10,2019-2024,historical only (pre-2025)
669450,9,2,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.344,0.5,0.5,0.0,0.344,2,2.0,1.0,Cooper Hummel,R,2022-05-10,2019-2024,historical only (pre-2025)
621500,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,1,0.0,0.0,Wyatt Mathisen,R,2021-04-13,2019-2024,historical only (pre-2025)
645444,7,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,2.0,0.667,Jose Herrera,R,2022-05-10,2019-2024,historical only (pre-2025)
668678,2,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.879,0.0,0.0,0.0,0.094,1,0.0,0.0,Zac Gallen,R,2021-04-13,2019-2024,historical only (pre-2025)
