window,pitch_name,pitches,velo,pfx_x,pfx_z,spin,ext,usage,swings,whiffs,whiff_rate,putaway_rate,chase_rate,in_zone_rate,xwoba
2025,4-Seam Fastball,1027,96.489,1.007,1.169,2238.346,5.843,0.341,494,96,0.194,0.173,0.215,0.56,0.364
2025,Sweeper,933,86.097,-0.746,-0.013,2282.43,5.728,0.31,391,171,0.437,0.293,0.339,0.469,0.199
2025,Changeup,521,87.875,1.373,0.601,1928.51,5.8,0.173,290,105,0.362,0.19,0.364,0.441,0.292
2025,Sinker,301,95.799,1.428,0.673,2232.741,5.85,0.1,144,28,0.194,0.138,0.276,0.651,0.37
2025,Slider,231,86.523,-0.01,0.055,2383.81,5.766,0.077,121,44,0.364,0.211,0.365,0.359,0.222
2026 H1,Sweeper,682,86.437,-0.674,-0.083,2423.901,5.585,0.371,275,140,0.509,0.299,0.35,0.368,0.193
2026 H1,4-Seam Fastball,462,97.115,0.974,1.169,2247.823,5.704,0.252,229,39,0.17,0.174,0.323,0.511,0.312
2026 H1,Changeup,373,86.235,1.282,0.167,1675.579,5.687,0.203,205,80,0.39,0.211,0.367,0.475,0.284
2026 H1,Sinker,319,96.045,1.483,0.521,2253.511,5.73,0.174,139,17,0.122,0.227,0.234,0.611,0.323
2026 H2,Sweeper,332,85.358,-0.779,-0.044,2466.428,5.633,0.407,157,67,0.427,0.303,0.413,0.373,0.163
2026 H2,4-Seam Fastball,222,96.346,1.041,1.071,2181.032,5.75,0.272,111,24,0.216,0.216,0.325,0.486,0.288
2026 H2,Sinker,145,95.209,1.494,0.442,2154.917,5.726,0.178,54,6,0.111,0.2,0.153,0.593,0.335
2026 H2,Changeup,117,85.185,1.309,0.197,1628.47,5.731,0.143,55,19,0.345,0.2,0.29,0.47,0.317
