axis,who,value,rank,better,name,n_cohort
cn1_xwoba_sd,666200,0.0661,1,lower,"Luzardo, Jesús",5
cn1_xwoba_sd,605400,0.0701,2,lower,"Nola, Aaron",5
cn1_xwoba_sd,554430,0.0748,3,lower,"Wheeler, Zack",5
cn1_xwoba_sd,650911,0.0853,4,lower,"Sánchez, Cristopher",5
cn1_xwoba_sd,691725,0.1018,5,lower,"Painter, Andrew",5
cn1_xwoba_iqr,554430,0.06,1,lower,"Wheeler, Zack",5
cn1_xwoba_iqr,666200,0.0646,2,lower,"Luzardo, Jesús",5
cn1_xwoba_iqr,605400,0.0773,3,lower,"Nola, Aaron",5
cn1_xwoba_iqr,650911,0.0997,4,lower,"Sánchez, Cristopher",5
cn1_xwoba_iqr,691725,0.1152,5,lower,"Painter, Andrew",5
cn2_floor_rate,650911,0.81,1,higher,"Sánchez, Cristopher",5
cn2_floor_rate,666200,0.762,2,higher,"Luzardo, Jesús",5
cn2_floor_rate,554430,0.714,3,higher,"Wheeler, Zack",5
cn2_floor_rate,605400,0.619,4,higher,"Nola, Aaron",5
cn2_floor_rate,691725,0.615,5,higher,"Painter, Andrew",5
cn3_blowup_rate,650911,0.095,1,lower,"Sánchez, Cristopher",5
cn3_blowup_rate,554430,0.143,2,lower,"Wheeler, Zack",5
cn3_blowup_rate,605400,0.143,3,lower,"Nola, Aaron",5
cn3_blowup_rate,666200,0.143,4,lower,"Luzardo, Jesús",5
cn3_blowup_rate,691725,0.308,5,lower,"Painter, Andrew",5
cn4_roll3_range,666200,0.1088,1,lower,"Luzardo, Jesús",5
cn4_roll3_range,554430,0.1115,2,lower,"Wheeler, Zack",5
cn4_roll3_range,605400,0.1304,3,lower,"Nola, Aaron",5
cn4_roll3_range,650911,0.1455,4,lower,"Sánchez, Cristopher",5
cn4_roll3_range,691725,0.1788,5,lower,"Painter, Andrew",5
cn5_pitch_sd,666200,5.8,1,lower,"Luzardo, Jesús",5
cn5_pitch_sd,650911,6.8,2,lower,"Sánchez, Cristopher",5
cn5_pitch_sd,605400,7.1,3,lower,"Nola, Aaron",5
cn5_pitch_sd,554430,9.5,4,lower,"Wheeler, Zack",5
cn5_pitch_sd,691725,12.8,5,lower,"Painter, Andrew",5
cn6_outs_sd,605400,2.48,1,lower,"Nola, Aaron",5
cn6_outs_sd,666200,2.94,2,lower,"Luzardo, Jesús",5
cn6_outs_sd,691725,3.18,3,lower,"Painter, Andrew",5
cn6_outs_sd,554430,3.21,4,lower,"Wheeler, Zack",5
cn6_outs_sd,650911,3.71,5,lower,"Sánchez, Cristopher",5
cn6_ip_per_start,650911,6.35,1,higher,"Sánchez, Cristopher",5
cn6_ip_per_start,666200,6.03,2,higher,"Luzardo, Jesús",5
cn6_ip_per_start,554430,5.78,3,higher,"Wheeler, Zack",5
cn6_ip_per_start,605400,5.21,4,higher,"Nola, Aaron",5
cn6_ip_per_start,691725,5.13,5,higher,"Painter, Andrew",5
agg_xwoba,666200,0.2572,1,lower,"Luzardo, Jesús",5
agg_xwoba,554430,0.2704,2,lower,"Wheeler, Zack",5
agg_xwoba,650911,0.2766,3,lower,"Sánchez, Cristopher",5
agg_xwoba,605400,0.3065,4,lower,"Nola, Aaron",5
agg_xwoba,691725,0.3334,5,lower,"Painter, Andrew",5
woba,650911,0.273,1,lower,"Sánchez, Cristopher",5
woba,666200,0.275,2,lower,"Luzardo, Jesús",5
woba,554430,0.291,3,lower,"Wheeler, Zack",5
woba,691725,0.344,4,lower,"Painter, Andrew",5
woba,605400,0.345,5,lower,"Nola, Aaron",5
ra9,650911,2.23,1,lower,"Sánchez, Cristopher",5
ra9,666200,2.84,2,lower,"Luzardo, Jesús",5
ra9,554430,3.19,3,lower,"Wheeler, Zack",5
ra9,605400,4.61,4,lower,"Nola, Aaron",5
ra9,691725,4.99,5,lower,"Painter, Andrew",5
mean_start_xwoba,666200,0.2563,1,lower,"Luzardo, Jesús",5
mean_start_xwoba,554430,0.2713,2,lower,"Wheeler, Zack",5
mean_start_xwoba,650911,0.2785,3,lower,"Sánchez, Cristopher",5
mean_start_xwoba,605400,0.3098,4,lower,"Nola, Aaron",5
mean_start_xwoba,691725,0.3304,5,lower,"Painter, Andrew",5
