axis,who,value,rank,better,name
cn1_xwoba_sd,605400,0.0688,1,lower,"Nola, Aaron"
cn1_xwoba_sd,554430,0.0731,2,lower,"Wheeler, Zack"
cn1_xwoba_sd,666200,0.0736,3,lower,"Luzardo, Jesús"
cn1_xwoba_sd,650911,0.0845,4,lower,"Sánchez, Cristopher"
cn1_xwoba_sd,691725,0.1087,5,lower,"Painter, Andrew"
cn1_xwoba_iqr,554430,0.0544,1,lower,"Wheeler, Zack"
cn1_xwoba_iqr,666200,0.0663,2,lower,"Luzardo, Jesús"
cn1_xwoba_iqr,605400,0.0827,3,lower,"Nola, Aaron"
cn1_xwoba_iqr,650911,0.1009,4,lower,"Sánchez, Cristopher"
cn1_xwoba_iqr,691725,0.1539,5,lower,"Painter, Andrew"
cn2_floor_rate,650911,0.786,1,higher,"Sánchez, Cristopher"
cn2_floor_rate,554430,0.727,2,higher,"Wheeler, Zack"
cn2_floor_rate,666200,0.667,3,higher,"Luzardo, Jesús"
cn2_floor_rate,605400,0.593,4,higher,"Nola, Aaron"
cn2_floor_rate,691725,0.529,5,higher,"Painter, Andrew"
cn3_blowup_rate,650911,0.107,1,lower,"Sánchez, Cristopher"
cn3_blowup_rate,554430,0.136,2,lower,"Wheeler, Zack"
cn3_blowup_rate,605400,0.185,3,lower,"Nola, Aaron"
cn3_blowup_rate,666200,0.222,4,lower,"Luzardo, Jesús"
cn3_blowup_rate,691725,0.235,5,lower,"Painter, Andrew"
cn4_roll3_range,554430,0.1084,1,lower,"Wheeler, Zack"
cn4_roll3_range,666200,0.1236,2,lower,"Luzardo, Jesús"
cn4_roll3_range,605400,0.1292,3,lower,"Nola, Aaron"
cn4_roll3_range,650911,0.1524,4,lower,"Sánchez, Cristopher"
cn4_roll3_range,691725,0.1751,5,lower,"Painter, Andrew"
cn5_pitch_sd,666200,6.0,1,lower,"Luzardo, Jesús"
cn5_pitch_sd,650911,6.5,2,lower,"Sánchez, Cristopher"
cn5_pitch_sd,605400,6.8,3,lower,"Nola, Aaron"
cn5_pitch_sd,554430,9.7,4,lower,"Wheeler, Zack"
cn5_pitch_sd,691725,11.6,5,lower,"Painter, Andrew"
cn6_outs_sd,605400,2.42,1,lower,"Nola, Aaron"
cn6_outs_sd,666200,2.93,2,lower,"Luzardo, Jesús"
cn6_outs_sd,691725,3.03,3,lower,"Painter, Andrew"
cn6_outs_sd,554430,3.18,4,lower,"Wheeler, Zack"
cn6_outs_sd,650911,3.44,5,lower,"Sánchez, Cristopher"
cn6_ip_per_start,650911,6.2,1,higher,"Sánchez, Cristopher"
cn6_ip_per_start,666200,5.94,2,higher,"Luzardo, Jesús"
cn6_ip_per_start,554430,5.74,3,higher,"Wheeler, Zack"
cn6_ip_per_start,605400,5.2,4,higher,"Nola, Aaron"
cn6_ip_per_start,691725,5.04,5,higher,"Painter, Andrew"
agg_xwoba,666200,0.2637,1,lower,"Luzardo, Jesús"
agg_xwoba,554430,0.2706,2,lower,"Wheeler, Zack"
agg_xwoba,650911,0.2806,3,lower,"Sánchez, Cristopher"
agg_xwoba,605400,0.3152,4,lower,"Nola, Aaron"
agg_xwoba,691725,0.3345,5,lower,"Painter, Andrew"
woba,666200,0.281,1,lower,"Luzardo, Jesús"
woba,650911,0.287,2,lower,"Sánchez, Cristopher"
woba,554430,0.289,3,lower,"Wheeler, Zack"
woba,691725,0.349,4,lower,"Painter, Andrew"
woba,605400,0.35,5,lower,"Nola, Aaron"
ra9,650911,2.54,1,lower,"Sánchez, Cristopher"
ra9,666200,3.2,2,lower,"Luzardo, Jesús"
ra9,554430,3.21,3,lower,"Wheeler, Zack"
ra9,691725,4.83,4,lower,"Painter, Andrew"
ra9,605400,4.94,5,lower,"Nola, Aaron"
mean_start_xwoba,666200,0.2624,1,lower,"Luzardo, Jesús"
mean_start_xwoba,554430,0.2715,2,lower,"Wheeler, Zack"
mean_start_xwoba,650911,0.281,3,lower,"Sánchez, Cristopher"
mean_start_xwoba,605400,0.318,4,lower,"Nola, Aaron"
mean_start_xwoba,691725,0.3308,5,lower,"Painter, Andrew"
