game_pk,game_date,opp,pitches,outs,runs,pa,k,bb,hr,xwoba,xwoba_n,woba,home,ip,is_start,days_rest,era_premise,half
823487,2026-03-29,TEX,99,18,6,25,7,1,2,0.26523224,25,0.349,True,6.0,True,,before 5/01,H1
824378,2026-04-04,COL,99,19,1,25,11,0,0,0.24866666666666667,24,0.178,False,6.1,True,6.0,before 5/01,H1
823482,2026-04-10,AZ,86,14,5,22,8,3,0,0.2951099090909091,22,0.314,True,4.2,True,6.0,before 5/01,H1
823477,2026-04-15,CHC,98,15,5,27,4,1,1,0.3934002222222222,27,0.506,True,5.0,True,5.0,before 5/01,H1
824690,2026-04-21,CHC,100,14,0,24,3,4,0,0.3829998333333333,24,0.332,False,4.2,True,6.0,before 5/01,H1
823473,2026-04-28,SF,88,21,0,23,8,0,0,0.11752173913043477,23,0.11,True,7.0,True,7.0,before 5/01,H1
823875,2026-05-03,MIA,102,19,2,27,10,0,1,0.2646211851851852,27,0.348,False,6.1,True,5.0,since 5/01,H1
823466,2026-05-08,COL,95,9,6,18,6,3,1,0.3095232222222222,18,0.498,True,3.0,True,5.0,since 5/01,H1
824762,2026-05-14,BOS,92,17,0,23,4,1,0,0.2666626363636364,22,0.265,False,5.2,True,6.0,since 5/01,H1
823464,2026-05-19,CIN,95,18,2,23,5,2,0,0.30737443478260873,23,0.285,True,6.0,True,5.0,since 5/01,H1
823296,2026-05-25,SD,104,18,0,24,6,2,0,0.24730766666666668,24,0.237,False,6.0,True,6.0,since 5/01,H1
823945,2026-05-30,LAD,95,16,2,25,6,2,0,0.28302448,25,0.335,False,5.1,True,5.0,since 5/01,H1
823455,2026-06-05,CWS,90,17,5,27,2,2,3,0.4266438518518519,27,0.452,True,5.2,True,6.0,since 5/01,H1
822804,2026-06-10,TOR,96,16,1,25,8,4,0,0.2578843333333333,24,0.254,False,5.1,True,5.0,since 5/01,H1
823451,2026-06-16,MIA,106,21,2,28,9,2,1,0.21837900000000002,28,0.277,True,7.0,True,6.0,since 5/01,H1
822718,2026-06-23,WSH,104,20,5,28,13,3,0,0.22930064285714286,28,0.265,False,6.2,True,7.0,since 5/01,H1
823608,2026-06-28,NYM,96,15,1,22,6,3,0,0.2549481818181818,22,0.257,False,5.0,True,5.0,since 5/01,H1
824092,2026-07-04,KC,95,18,1,23,9,0,0,0.13475,23,0.203,False,6.0,True,6.0,since 5/01,H1
824494,2026-07-09,CIN,96,21,0,26,11,2,0,0.19151908333333334,24,0.15,False,7.0,True,5.0,since 5/01,H1
823441,2026-07-18,NYM,90,15,1,20,7,2,1,0.18881599999999998,20,0.217,True,5.0,True,9.0,since 5/01,H2
823434,2026-07-24,NYY,105,20,1,27,9,1,1,0.21069711538461536,26,0.228,True,6.2,True,6.0,since 5/01,H2
823837,2026-07-29,MIA,100,19,4,28,5,3,1,0.38557122222222223,27,0.36,False,6.1,True,5.0,since 5/01,H2
823432,2026-08-04,WSH,98,23,0,29,7,2,0,0.2550601379310345,29,0.197,True,7.2,True,6.0,since 5/01,H2
823425,2026-08-09,TOR,100,21,2,27,12,1,0,0.15234123076923078,26,0.171,True,7.0,True,5.0,since 5/01,H2
823671,2026-08-15,MIN,109,19,1,28,9,2,0,0.28507278571428574,28,0.339,False,6.1,True,6.0,since 5/01,H2
823420,2026-08-21,STL,110,17,4,24,9,1,2,0.26421304347826086,23,0.364,True,5.2,True,6.0,since 5/01,H2
823096,2026-08-26,SEA,104,21,0,25,9,3,0,0.24824084,25,0.119,False,7.0,True,5.0,since 5/01,H2
