metric,uc_pps_017_published,dp_uc39_recomputed,delta,match
starts,19,19.0,0.0,PASS
pa,465,465.0,0.0,PASS
woba,0.295,0.295,0.0,PASS
xwoba,0.269,0.269,0.0,PASS
hard_hit_rate,0.305,0.305,0.0,PASS
whiff_rate,0.325,0.325,0.0,PASS
csw_rate,0.331,0.331,0.0,PASS
first_pitch_strike_rate,0.6,0.6,0.0,PASS
in_zone_rate,0.468,0.468,0.0,PASS
chase_rate,0.333,0.333,0.0,PASS
putaway_rate,0.241,0.241,0.0,PASS
k_rate,0.292,0.292,0.0,PASS
bb_rate,0.075,0.075,0.0,PASS
hr,9,9.0,0.0,PASS
ip,108.2,108.2,,PASS
ra9,3.64,3.64,0.0,PASS
fip,2.84,2.82,-0.02,PASS
