game_date,opp,pitches,ip,outs,pa,runs,days_rest,half,cum_pitches
2026-03-29,TEX,99,6.0,18,25,6,,H1,99
2026-04-04,COL,99,6.1,19,25,1,6.0,H1,198
2026-04-10,AZ,86,4.2,14,22,5,6.0,H1,284
2026-04-15,CHC,98,5.0,15,27,5,5.0,H1,382
2026-04-21,CHC,100,4.2,14,24,0,6.0,H1,482
2026-04-28,SF,88,7.0,21,23,0,7.0,H1,570
2026-05-03,MIA,102,6.1,19,27,2,5.0,H1,672
2026-05-08,COL,95,3.0,9,18,6,5.0,H1,767
2026-05-14,BOS,92,5.2,17,23,0,6.0,H1,859
2026-05-19,CIN,95,6.0,18,23,2,5.0,H1,954
2026-05-25,SD,104,6.0,18,24,0,6.0,H1,1058
2026-05-30,LAD,95,5.1,16,25,2,5.0,H1,1153
2026-06-05,CWS,90,5.2,17,27,5,6.0,H1,1243
2026-06-10,TOR,96,5.1,16,25,1,5.0,H1,1339
2026-06-16,MIA,106,7.0,21,28,2,6.0,H1,1445
2026-06-23,WSH,104,6.2,20,28,5,7.0,H1,1549
2026-06-28,NYM,96,5.0,15,22,1,5.0,H1,1645
2026-07-04,KC,95,6.0,18,23,1,6.0,H1,1740
2026-07-09,CIN,96,7.0,21,26,0,5.0,H1,1836
2026-07-18,NYM,90,5.0,15,20,1,9.0,H2,1926
2026-07-24,NYY,105,6.2,20,27,1,6.0,H2,2031
2026-07-29,MIA,100,6.1,19,28,4,5.0,H2,2131
2026-08-04,WSH,98,7.2,23,29,0,6.0,H2,2229
2026-08-09,TOR,100,7.0,21,27,2,5.0,H2,2329
2026-08-15,MIN,109,6.1,19,28,1,6.0,H2,2438
2026-08-21,STL,110,5.2,17,24,4,6.0,H2,2548
2026-08-26,SEA,104,7.0,21,25,0,5.0,H2,2652
