batter,pitches,pa,stand,g,last,name
621566,209,31,L,11,2026-09-11,Matt Olson
686948,201,33,L,11,2026-09-11,Drake Baldwin
660670,191,36,R,11,2026-09-11,Ronald Acuña Jr.
663586,172,37,R,11,2026-09-11,Austin Riley
645277,159,38,L,11,2026-09-11,Ozzie Albies
643289,158,29,R,11,2026-09-11,Mauricio Dubón
671739,135,29,L,11,2026-09-11,Michael Harris II
573262,110,19,L,7,2026-09-11,Mike Yastrzemski
642201,58,16,R,6,2026-04-26,Eli White
642086,57,17,L,6,2026-09-11,Dominic Smith
669221,43,11,R,3,2026-09-11,Sean Murphy
673490,41,9,R,4,2026-09-11,Ha-Seong Kim
622761,32,8,R,3,2026-04-26,Jorge Mateo
657041,27,6,R,2,2026-09-07,Lane Thomas
641680,14,4,R,1,2026-04-18,Jonah Heim
