game_date,pitches,batters_faced,inning_entered,inning_exited,innings_spanned,days_of_rest
2026-05-10,9,3,6,6,1,
2026-05-14,25,8,6,7,2,3.0
2026-05-19,39,10,8,9,2,4.0
2026-05-22,17,4,7,7,1,2.0
2026-05-24,23,5,8,8,1,1.0
2026-07-08,19,8,4,5,2,44.0
2026-07-11,12,5,9,9,1,2.0
2026-07-19,24,6,6,7,2,7.0
2026-07-23,7,3,9,9,1,3.0
2026-07-29,18,6,7,7,1,5.0
2026-08-01,25,6,7,8,2,2.0
2026-08-04,10,3,9,9,1,2.0
2026-08-07,20,6,8,8,1,2.0
2026-08-09,20,6,6,7,2,1.0
2026-08-12,16,4,9,9,1,2.0
2026-08-15,18,7,8,9,2,2.0
2026-08-19,8,3,9,9,1,3.0
2026-08-23,12,3,7,7,1,3.0
2026-08-28,11,4,9,9,1,4.0
2026-08-30,15,4,7,8,2,1.0
