pitcher,player_name,game_year,appearances,total_pitches,total_bf,avg_pitches,avg_bf,avg_days_of_rest,median_days_of_rest,b2b_appearances,three_in_four,multi_inning_apps,pct_b2b
621237,"Alvarado, José",2026,61,1032,246,16.92,4.03,1.78,2.0,11,8,1,0.18
689147,"Kerkering, Orion",2026,59,1004,243,17.02,4.12,1.59,1.0,11,11,8,0.186
680742,"Bowlan, Jonathan",2026,57,935,227,16.4,3.98,2.02,1.0,10,6,6,0.175
661395,"Duran, Jhoan",2026,56,866,218,15.46,3.89,2.05,1.0,13,8,1,0.232
641835,"Mayza, Tim",2026,50,884,218,17.68,4.36,2.1,1.0,6,5,16,0.12
663767,"Shugart, Chase",2026,40,778,198,19.45,4.95,2.85,2.0,6,7,15,0.15
641745,"Keller, Brad",2026,32,533,135,16.66,4.22,2.26,1.0,6,3,2,0.188
621383,"Banks, Tanner",2026,27,527,140,19.52,5.19,2.69,2.0,2,1,6,0.074
679775,"Backhus, Kyle",2026,20,339,89,16.95,4.45,5.74,2.0,6,1,5,0.3
686751,"Johnson, Seth",2026,16,323,80,20.19,5.0,6.13,2.0,2,0,6,0.125
686934,"McFarlane, Alex",2026,14,210,56,15.0,4.0,2.92,2.0,2,2,1,0.143
548384,"Raley, Brooks",2026,13,152,41,11.69,3.15,2.08,2.0,3,0,1,0.231
647315,"Pop, Zach",2026,6,93,22,15.5,3.67,1.6,2.0,1,0,0,0.167
676661,"Lazar, Max",2026,6,128,35,21.33,5.83,5.6,2.0,1,0,3,0.167
596117,"Stubbs, Garrett",2026,4,31,15,7.75,3.75,20.33,18.0,0,0,0,0.0
660604,"Rangel, Alan",2026,4,241,66,60.25,16.5,28.33,21.0,0,0,4,0.0
668873,"Kilian, Caleb",2026,4,58,16,14.5,4.0,0.67,1.0,1,1,0,0.25
676510,"Hoffman, Nolan",2026,3,82,21,27.33,7.0,16.5,16.5,0,0,3,0.0
642152,"Trivino III, Lou",2026,2,62,14,31.0,7.0,2.0,2.0,0,0,0,0.0
664238,"Moore, Dylan",2026,2,21,8,10.5,4.0,15.0,15.0,0,0,0,0.0
670950,"Richards, Trevor",2026,2,69,19,34.5,9.5,1.0,1.0,0,0,2,0.0
691725,"Painter, Andrew",2026,2,158,43,79.0,21.5,5.0,5.0,0,0,2,0.0
592836,"Walker, Taijuan",2026,1,64,21,64.0,21.0,4.0,4.0,0,0,1,0.0
642152,"Trivino, Lou",2026,1,20,4,20.0,4.0,,,0,0,0,0.0
662144,"Keller, Brian",2026,1,39,11,39.0,11.0,,,0,0,1,0.0
669060,"Wilson, Bryse",2026,1,29,7,29.0,7.0,,,0,0,1,0.0
