game_pk,game_date,staff_bf,staff_pitches,arms,max_inn
822717,2026-06-25,38,145,5,9
822718,2026-06-23,40,143,4,9
822719,2026-06-24,38,157,6,9
822720,2026-06-22,39,141,4,8
822804,2026-06-10,41,153,6,9
822805,2026-06-09,33,138,4,9
822806,2026-06-08,35,136,3,9
823017,2026-08-12,38,139,4,8
823018,2026-08-10,39,158,3,9
823019,2026-08-11,29,128,3,8
823096,2026-08-26,32,137,3,9
823097,2026-08-24,39,156,4,8
823098,2026-08-25,34,140,4,8
823234,2026-04-08,34,125,4,8
823235,2026-04-07,36,149,4,8
823237,2026-04-06,38,172,6,9
823294,2026-05-26,34,126,4,9
823295,2026-05-27,34,138,3,9
823296,2026-05-25,35,157,4,9
823381,2026-05-17,32,123,3,9
823382,2026-05-16,32,108,1,9
823384,2026-05-15,44,193,6,10
823413,2026-09-10,36,147,3,9
823414,2026-09-08,42,167,5,9
823415,2026-09-07,30,109,1,9
823416,2026-09-09,38,131,4,9
823417,2026-09-06,37,128,4,9
823418,2026-09-04,39,146,4,9
823419,2026-09-05,33,136,4,9
823420,2026-08-21,43,181,6,10
823421,2026-08-23,37,137,3,9
823422,2026-08-22,35,132,3,9
823423,2026-08-18,36,158,5,9
823424,2026-08-19,35,146,3,9
823425,2026-08-09,48,173,6,12
823426,2026-08-08,47,208,7,11
823427,2026-08-17,43,149,5,9
823428,2026-08-07,41,164,4,9
823429,2026-08-05,53,199,9,11
823430,2026-08-06,38,162,5,9
823431,2026-08-03,37,153,4,9
823432,2026-08-04,33,116,2,9
823433,2026-07-26,40,156,3,9
823434,2026-07-24,33,129,3,9
823435,2026-07-25,35,133,7,9
823436,2026-07-20,43,164,6,9
823437,2026-07-21,31,123,3,9
823438,2026-07-22,40,150,5,9
823439,2026-07-19,48,208,5,9
823440,2026-07-16,38,142,3,9
823441,2026-07-18,33,146,4,9
823442,2026-07-02,45,199,6,9
823444,2026-06-29,43,169,4,9
823445,2026-06-30,35,138,3,9
823446,2026-07-01,44,178,5,9
823447,2026-06-20,36,134,3,9
823448,2026-06-18,41,173,4,9
823449,2026-06-21,35,155,5,9
823450,2026-06-17,47,162,8,9
823451,2026-06-16,36,132,3,9
823452,2026-06-15,35,146,4,9
823453,2026-06-07,42,189,5,9
823454,2026-06-06,40,144,4,9
823455,2026-06-05,39,142,4,9
823456,2026-06-03,36,122,3,9
823457,2026-06-04,35,147,3,9
823458,2026-05-23,31,147,4,9
823459,2026-05-24,34,119,4,9
823460,2026-06-02,34,148,5,9
823461,2026-05-22,32,110,2,9
823462,2026-05-20,43,160,5,9
823463,2026-05-10,33,127,3,9
823464,2026-05-19,37,147,4,9
823465,2026-05-18,35,123,5,9
823466,2026-05-08,49,207,7,11
823467,2026-05-07,44,183,5,9
823468,2026-05-09,36,147,5,9
823469,2026-05-05,36,124,2,9
823470,2026-05-06,38,152,5,9
823471,2026-04-30,50,193,7,10
823472,2026-04-30,38,133,4,9
823473,2026-04-28,29,125,3,9
823474,2026-04-18,41,157,4,9
823475,2026-04-19,40,165,6,9
823476,2026-04-17,43,164,5,9
823477,2026-04-15,43,163,4,9
823478,2026-04-14,47,185,5,9
823479,2026-04-12,38,157,5,9
823480,2026-04-11,37,154,6,9
823481,2026-04-13,44,164,3,9
823482,2026-04-10,37,139,5,9
823483,2026-04-01,43,162,6,10
823484,2026-03-30,51,185,5,9
823485,2026-03-31,37,156,4,9
823486,2026-03-26,36,148,5,9
823487,2026-03-29,39,161,4,9
823488,2026-03-28,42,173,5,10
823608,2026-06-28,45,195,6,9
823609,2026-06-27,37,149,5,8
823610,2026-06-26,32,126,3,9
823669,2026-08-13,37,148,5,9
823670,2026-08-16,39,167,5,9
823671,2026-08-15,39,149,3,9
823776,2026-06-13,43,165,6,9
823777,2026-06-14,34,140,3,8
823778,2026-06-12,38,140,4,8
823837,2026-07-29,37,135,3,8
823838,2026-07-28,33,135,4,8
823839,2026-07-27,42,158,6,9
823874,2026-05-04,33,130,4,9
823875,2026-05-03,35,126,3,9
823876,2026-05-02,39,143,3,8
823877,2026-05-01,40,174,5,9
823944,2026-05-31,40,170,4,8
823945,2026-05-30,38,155,5,9
823946,2026-05-29,30,115,2,8
823985,2026-08-28,35,159,4,9
823986,2026-08-29,38,143,3,10
823987,2026-08-30,39,156,4,9
824089,2026-07-06,50,182,6,8
824091,2026-07-05,34,124,3,8
824092,2026-07-04,33,140,4,9
824249,2026-07-11,36,120,3,9
824250,2026-07-12,31,139,4,9
824252,2026-07-10,38,140,4,8
824377,2026-04-03,34,134,4,9
824378,2026-04-04,34,132,4,9
824379,2026-04-05,32,120,4,8
824494,2026-07-09,34,129,3,9
824495,2026-07-07,35,163,4,9
824496,2026-07-08,42,175,6,8
824688,2026-04-22,38,123,3,8
824689,2026-04-23,52,163,6,10
824690,2026-04-21,48,194,6,8
824692,2026-04-20,36,153,4,8
824762,2026-05-14,37,145,4,9
824763,2026-05-13,31,112,5,8
824764,2026-05-12,34,114,3,9
824807,2026-08-02,19,88,3,5
824808,2026-08-01,35,149,4,9
824809,2026-07-31,35,137,4,8
824873,2026-09-11,46,165,6,11
824932,2026-04-24,39,134,4,8
824933,2026-04-25,41,163,6,10
824934,2026-04-26,36,140,4,8
825037,2026-09-02,28,105,2,8
825038,2026-09-01,34,132,3,9
825040,2026-08-31,39,165,6,9
