pitch_type,pitch_name,n,velo,ivb_in,hb_in,spin,ext,usage,whiffs,swings,whiff_rate,in_zone_rate,xwoba,window
FF,4-Seam Fastball,378,96.5421,16.2673,-2.5619,2256.8175,6.4786,0.3313,19,180,0.1056,0.4735,0.4212,Pre-Option
SL,Slider,244,88.1041,4.4956,6.3138,2545.9016,6.6057,0.2138,40,106,0.3774,0.4426,0.3408,Pre-Option
FS,Split-Finger,164,87.4079,8.1417,-9.7822,1593.2866,6.5646,0.1437,33,86,0.3837,0.4634,0.2339,Pre-Option
ST,Sweeper,130,82.97,2.2338,15.7126,2606.4692,6.5123,0.1139,13,62,0.2097,0.5077,0.3127,Pre-Option
SI,Sinker,123,95.1618,14.241,-11.7551,2136.7805,6.5203,0.1078,6,69,0.087,0.5041,0.3954,Pre-Option
CU,Curveball,102,81.1412,-7.5506,7.9941,2639.5,6.5588,0.0894,13,52,0.25,0.5196,0.2142,Pre-Option
FF,4-Seam Fastball,218,96.5041,16.9673,-1.8848,2388.0092,6.5555,0.3028,24,110,0.2182,0.422,0.3614,Post-Option
ST,Sweeper,178,82.491,1.5897,17.0285,2714.0904,6.5429,0.2472,24,79,0.3038,0.5056,0.3038,Post-Option
CH,Changeup,160,90.495,5.0242,-12.7635,1724.9562,6.5625,0.2222,36,104,0.3462,0.4062,0.16,Post-Option
SL,Slider,97,87.7113,2.7501,6.7918,2651.5773,6.6649,0.1347,12,37,0.3243,0.433,0.3117,Post-Option
SI,Sinker,51,95.0353,11.3553,-12.7035,2269.3529,6.6196,0.0708,3,26,0.1154,0.6275,0.4539,Post-Option
CU,Curveball,16,81.75,-9.105,7.95,2709.0625,6.7312,0.0222,2,7,0.2857,0.4375,0.2946,Post-Option
FF,4-Seam Fastball,596,96.5282,16.5234,-2.3142,2304.8037,6.5067,0.3203,43,290,0.1483,0.4547,0.4005,Full 2026
SL,Slider,341,87.9924,3.9991,6.4497,2575.9619,6.6226,0.1832,52,143,0.3636,0.4399,0.3321,Full 2026
ST,Sweeper,308,82.6932,1.8616,16.4731,2668.5179,6.53,0.1655,37,141,0.2624,0.5065,0.3077,Full 2026
SI,Sinker,174,95.1247,13.3952,-12.0331,2175.6379,6.5494,0.0935,9,95,0.0947,0.5402,0.4109,Full 2026
FS,Split-Finger,164,87.4079,8.1417,-9.7822,1593.2866,6.5646,0.0881,33,86,0.3837,0.4634,0.2339,Full 2026
CH,Changeup,160,90.495,5.0242,-12.7635,1724.9562,6.5625,0.086,36,104,0.3462,0.4062,0.16,Full 2026
CU,Curveball,118,81.2237,-7.7614,7.9881,2648.9322,6.5822,0.0634,15,59,0.2542,0.5085,0.2293,Full 2026
