batter,name,stand,pitches,pa,h,hr,k,whiff_rate,swings,xwoba,chase_rate
686948,Drake Baldwin,L,220,58,14,0,15,0.2735,117,0.31801,0.40323
660670,Ronald Acuña Jr.,R,207,55,17,4,8,0.23148,108,0.44682,0.32787
621566,Matt Olson,L,225,54,9,2,10,0.27723,101,0.31212,0.30579
645277,Ozzie Albies,L,177,54,12,0,5,0.19811,106,0.22439,0.46154
663586,Austin Riley,R,190,50,11,4,13,0.29032,93,0.37431,0.34862
643289,Mauricio Dubón,R,180,48,10,1,8,0.16129,93,0.26179,0.3871
671739,Michael Harris II,L,152,42,15,3,6,0.23077,78,0.4363,0.38636
573262,Mike Yastrzemski,L,110,23,7,0,6,0.17647,51,0.30682,0.29825
642086,Dominic Smith,L,57,18,3,1,2,0.18182,33,0.21691,0.46667
642201,Eli White,R,58,17,3,1,2,0.24138,29,0.29547,0.34483
669221,Sean Murphy,R,63,16,2,0,5,0.4,30,0.36762,0.31429
673490,Ha-Seong Kim,R,54,13,1,0,5,0.29167,24,0.17902,0.45161
622761,Jorge Mateo,R,32,8,1,0,5,0.58824,17,0.13725,0.38889
657041,Lane Thomas,R,27,6,0,0,3,0.6,10,0.14539,0.25
641680,Jonah Heim,R,14,4,2,0,2,0.5,6,0.35025,0.42857
571657,Kyle Farmer,R,2,1,0,0,0,0.0,2,0.043,1.0
680577,DaShawn Keirsey Jr.,L,1,1,1,0,0,0.0,1,0.917,1.0
