window,stand,pitch_type,pitch_name,n,usage,velo,ivb_in,hb_in,swings,whiffs,whiff_rate,in_zone_rate,xwoba,xwoba_n,plate_x,plate_z
Pre-Option,L,FF,4-Seam Fastball,271,0.38881,96.53727,16.38554,-2.87646,133,10,0.07519,0.48708,0.41384,82,0.10787,2.77851
Pre-Option,L,FS,Split-Finger,149,0.21377,87.47114,8.07624,-9.72966,76,30,0.39474,0.44966,0.21581,37,-0.17832,2.04984
Pre-Option,L,SL,Slider,136,0.19512,88.06618,4.69412,6.02912,56,18,0.32143,0.56618,0.42198,28,0.0295,2.13727
Pre-Option,L,CU,Curveball,94,0.13486,81.08085,-7.72468,7.89191,49,13,0.26531,0.53191,0.16149,24,-0.05545,1.94558
Pre-Option,L,ST,Sweeper,31,0.04448,82.68387,2.57419,15.05032,14,2,0.14286,0.6129,0.42013,6,0.16791,2.21527
Pre-Option,L,SI,Sinker,16,0.02296,95.18125,13.575,-12.7425,12,0,0.0,0.6875,0.40383,6,-0.29494,2.57227
Pre-Option,R,SL,Slider,108,0.24324,88.15185,4.24556,6.67222,50,22,0.44,0.28704,0.27195,33,0.75236,1.70882
Pre-Option,R,SI,Sinker,107,0.24099,95.15888,14.34056,-11.60748,57,6,0.10526,0.47664,0.39391,33,-0.46282,2.51842
Pre-Option,R,FF,4-Seam Fastball,107,0.24099,96.55421,15.96785,-1.76523,47,9,0.19149,0.43925,0.44846,22,0.54317,2.82177
Pre-Option,R,ST,Sweeper,99,0.22297,83.0596,2.12727,15.92,48,11,0.22917,0.47475,0.27692,18,0.66258,2.05571
Pre-Option,R,FS,Split-Finger,15,0.03378,86.78,8.792,-10.304,10,3,0.3,0.6,0.3676,5,-0.06463,2.37873
Pre-Option,R,CU,Curveball,8,0.01802,81.85,-5.505,9.195,3,0,0.0,0.375,0.847,2,0.42885,1.56875
Post-Option,L,FF,4-Seam Fastball,131,0.36288,96.5145,16.87328,-2.14718,70,12,0.17143,0.43511,0.33172,38,-0.06838,2.76614
Post-Option,L,CH,Changeup,112,0.31025,90.46161,4.43571,-12.77786,73,22,0.30137,0.40179,0.17772,32,-0.50596,1.89105
Post-Option,L,ST,Sweeper,62,0.17175,82.37742,2.08065,16.81548,25,5,0.2,0.64516,0.52342,9,0.1062,2.12079
Post-Option,L,SL,Slider,34,0.09418,87.58235,2.54118,6.41294,11,3,0.27273,0.52941,0.47378,7,0.18203,2.06589
Post-Option,L,CU,Curveball,15,0.04155,81.79333,-9.344,7.336,7,2,0.28571,0.4,0.29464,6,0.33891,1.14411
Post-Option,L,SI,Sinker,7,0.01939,94.62857,8.94857,-12.20571,3,1,0.33333,0.57143,0.265,1,-0.04317,2.27134
Post-Option,R,ST,Sweeper,116,0.32312,82.55172,1.32724,17.14241,54,19,0.35185,0.43103,0.21399,22,0.59697,1.90991
Post-Option,R,FF,4-Seam Fastball,87,0.24234,96.48851,17.10897,-1.48966,40,12,0.3,0.4023,0.4276,17,0.24141,2.71527
Post-Option,R,SL,Slider,63,0.17549,87.78095,2.86286,6.99619,26,9,0.34615,0.38095,0.25199,19,0.89744,1.63673
Post-Option,R,CH,Changeup,48,0.1337,90.57292,6.3975,-12.73,31,14,0.45161,0.41667,0.13011,19,-0.34633,1.87167
Post-Option,R,SI,Sinker,44,0.12256,95.1,11.73818,-12.78273,23,2,0.08696,0.63636,0.46838,13,-0.29982,2.35446
Post-Option,R,CU,Curveball,1,0.00279,81.1,-5.52,17.16,0,0,,1.0,,0,-0.5846,2.158
Full 2026,L,FF,4-Seam Fastball,402,0.37996,96.52985,16.54448,-2.63881,203,22,0.10837,0.47015,0.38784,120,0.05044,2.77448
Full 2026,L,SL,Slider,170,0.16068,87.96941,4.26353,6.10588,67,21,0.31343,0.55882,0.43234,35,0.06001,2.12299
Full 2026,L,FS,Split-Finger,149,0.14083,87.47114,8.07624,-9.72966,76,30,0.39474,0.44966,0.21581,37,-0.17832,2.04984
Full 2026,L,CH,Changeup,112,0.10586,90.46161,4.43571,-12.77786,73,22,0.30137,0.40179,0.17772,32,-0.50596,1.89105
Full 2026,L,CU,Curveball,109,0.10302,81.1789,-7.94752,7.81541,56,15,0.26786,0.51376,0.18812,30,-0.00118,1.83529
Full 2026,L,ST,Sweeper,93,0.0879,82.47957,2.24516,16.2271,39,7,0.17949,0.63441,0.4821,15,0.12677,2.15228
Full 2026,L,SI,Sinker,23,0.02174,95.01304,12.16696,-12.57913,15,1,0.06667,0.65217,0.384,7,-0.21832,2.48068
Full 2026,R,ST,Sweeper,215,0.26775,82.78558,1.69563,16.57953,102,30,0.29412,0.45116,0.24231,40,0.62718,1.97705
Full 2026,R,FF,4-Seam Fastball,194,0.24159,96.52474,16.47959,-1.64165,87,21,0.24138,0.42268,0.43937,39,0.40785,2.77401
Full 2026,R,SL,Slider,171,0.21295,88.0152,3.73614,6.79158,76,31,0.40789,0.32164,0.26466,52,0.80581,1.68226
Full 2026,R,SI,Sinker,151,0.18804,95.14172,13.58225,-11.94993,80,8,0.1,0.52318,0.41496,46,-0.41532,2.47065
Full 2026,R,CH,Changeup,48,0.05978,90.57292,6.3975,-12.73,31,14,0.45161,0.41667,0.13011,19,-0.34633,1.87167
Full 2026,R,FS,Split-Finger,15,0.01868,86.78,8.792,-10.304,10,3,0.3,0.6,0.3676,5,-0.06463,2.37873
Full 2026,R,CU,Curveball,9,0.01121,81.76667,-5.50667,10.08,3,0,0.0,0.44444,0.847,2,0.31624,1.63422
