stand,pitch_type,pitch_name,n,plate_x,plate_z,usage,dispersion_ft,dropped_untracked
L,CH,Changeup,112,-0.506,1.8911,0.1556,0.954,0
L,CU,Curveball,15,0.3389,1.1441,0.0208,0.7803,0
L,FF,4-Seam Fastball,131,-0.0684,2.7661,0.1819,1.067,0
L,SI,Sinker,7,-0.0432,2.2713,0.0097,1.1207,0
L,SL,Slider,34,0.182,2.0659,0.0472,0.9097,0
L,ST,Sweeper,62,0.1062,2.1208,0.0861,0.8539,0
R,CH,Changeup,48,-0.3463,1.8717,0.0667,0.9364,0
R,CU,Curveball,1,-0.5846,2.158,0.0014,0.0,0
R,FF,4-Seam Fastball,87,0.2414,2.7153,0.1208,1.1359,0
R,SI,Sinker,44,-0.2998,2.3545,0.0611,0.8619,0
R,SL,Slider,63,0.8974,1.6367,0.0875,0.7969,0
R,ST,Sweeper,116,0.597,1.9099,0.1611,0.9233,0
