stand,pitch_type,pitch_name,n,plate_x,plate_z,usage,dispersion_ft
L,CU,Curveball,94,-0.0555,1.9456,0.0824,0.9708
L,FF,4-Seam Fastball,271,0.1079,2.7785,0.2375,1.0261
L,FS,Split-Finger,149,-0.1783,2.0498,0.1306,1.0941
L,SI,Sinker,16,-0.2949,2.5723,0.014,0.7092
L,SL,Slider,136,0.0295,2.1373,0.1192,0.9213
L,ST,Sweeper,31,0.1679,2.2153,0.0272,0.9367
R,CU,Curveball,8,0.4289,1.5688,0.007,1.5272
R,FF,4-Seam Fastball,107,0.5432,2.8218,0.0938,0.9231
R,FS,Split-Finger,15,-0.0646,2.3787,0.0131,1.1624
R,SI,Sinker,107,-0.4628,2.5184,0.0938,0.9825
R,SL,Slider,108,0.7524,1.7088,0.0947,1.0576
R,ST,Sweeper,99,0.6626,2.0557,0.0868,0.9195
