game_date,window,opponent,home_away,pitches,bf,innings_reached,k,bb,h,hr,whiff_rate,swings,whiffs,csw,strike_rate,xwoba,xwobacon,hard_hit,bip_tracked,ff_usage,st_usage,ch_usage
2026-03-31,Pre-Option,WSH,H,84,21,6,8,1,4,0,0.23077,39,9,0.32143,0.67857,0.11094,0.13583,1,12,0.40476,0.02381,0.0
2026-04-06,Pre-Option,SF,A,90,21,4,1,1,9,0,0.09091,44,4,0.14444,0.58889,0.40328,0.40889,8,19,0.32222,0.1,0.0
2026-04-12,Pre-Option,AZ,H,80,19,7,7,1,3,0,0.35897,39,14,0.3625,0.675,0.1961,0.283,2,11,0.35,0.175,0.0
2026-04-19,Pre-Option,ATL,H,84,19,5,4,1,5,1,0.2439,41,10,0.2619,0.63095,0.38582,0.45385,6,13,0.40476,0.04762,0.0
2026-04-24,Pre-Option,ATL,A,96,28,6,1,2,9,1,0.12,50,6,0.1875,0.64583,0.42791,0.42328,9,25,0.42708,0.10417,0.0
2026-05-02,Pre-Option,MIA,A,99,25,5,7,3,7,1,0.24444,45,11,0.27273,0.61616,0.33138,0.41233,5,15,0.38384,0.08081,0.0
2026-05-07,Pre-Option,ATH,H,88,20,4,2,3,7,3,0.25,40,10,0.23864,0.57955,0.56062,0.60753,10,15,0.36364,0.13636,0.0
2026-05-13,Pre-Option,BOS,A,62,19,5,4,0,4,1,0.34286,35,12,0.37097,0.74194,0.34643,0.42346,6,14,0.24194,0.25806,0.0
2026-05-18,Pre-Option,CIN,H,69,22,6,3,2,3,0,0.08824,34,3,0.18841,0.63768,0.24939,0.24041,5,17,0.34783,0.17391,0.0
2026-05-24,Pre-Option,CLE,H,82,24,7,3,2,6,0,0.25,32,8,0.34146,0.63415,0.25582,0.24947,6,19,0.2561,0.09756,0.0
2026-05-31,Pre-Option,LAD,A,80,18,4,3,1,7,2,0.2,40,8,0.25,0.65,0.46799,0.55171,6,14,0.3,0.075,0.0
2026-06-06,Pre-Option,CWS,H,93,25,5,4,2,8,2,0.2549,51,13,0.26882,0.67742,0.36462,0.38806,3,18,0.16129,0.17204,0.0
2026-06-12,Pre-Option,MIL,A,78,24,6,3,3,6,1,0.23529,34,8,0.25641,0.58974,0.3405,0.33718,6,18,0.39744,0.10256,0.0
2026-06-17,Pre-Option,MIA,H,56,14,2,3,2,6,2,0.25806,31,8,0.26786,0.67857,0.46719,0.57122,4,9,0.21429,0.08929,0.0
2026-07-31,Post-Option,BAL,A,82,23,6,6,3,3,1,0.26471,34,9,0.35366,0.65854,0.36154,0.44443,8,14,0.28049,0.35366,0.15854
2026-08-05,Post-Option,WSH,H,63,17,4,4,1,3,0,0.33333,33,11,0.2381,0.5873,0.29386,0.32445,1,11,0.38095,0.22222,0.25397
2026-08-10,Post-Option,STL,A,93,21,6,6,3,2,0,0.27273,44,12,0.25806,0.60215,0.23155,0.23075,4,12,0.27957,0.17204,0.27957
2026-08-16,Post-Option,MIN,A,94,24,5,2,3,6,2,0.14286,42,6,0.23404,0.61702,0.41257,0.39224,7,17,0.3617,0.29787,0.17021
2026-08-22,Post-Option,STL,H,103,27,7,8,0,5,0,0.33333,60,20,0.33981,0.72816,0.23622,0.33568,10,19,0.24272,0.2233,0.24272
2026-08-28,Post-Option,LAA,A,94,22,6,6,3,2,0,0.35556,45,16,0.29787,0.60638,0.18376,0.14708,3,13,0.28723,0.23404,0.24468
2026-09-02,Post-Option,AZ,A,93,24,7,6,0,2,0,0.25,52,13,0.31183,0.73118,0.16417,0.21889,4,18,0.4086,0.23656,0.2043
2026-09-08,Post-Option,HOU,H,98,27,5,6,2,10,2,0.26415,53,14,0.27551,0.67347,0.43847,0.54958,8,19,0.21429,0.2449,0.22449
