season,pitch_name,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate
2021-22,Changeup,178,54,30,8,2.0,5,19,0.163,0.241,0.306,0.547,0.245,0.352,0.093,0.037,0.35763333333333336,0.35763333333333336,41,124,0.331,0.303,81,30,0.37037037037037035,0.40625,44,0.247,24,22,22,110,178,32,16,0.382,0.618,0.2584,0.2472,0.2909,0.7273,0.89,0.4213,0.4213,0.1573,0.5865,0.0769,0,0.09259259259259259,0.7407407407407407
2021-22,Sinker,537,147,104,36,4.0,17,22,0.288,0.381,0.448,0.829,0.363,0.15,0.116,0.027,0.3520873786407767,0.3520873786407767,63,241,0.261,0.551,245,32,0.1306122448979592,0.6114649681528662,200,0.372,174,103,97,163,537,35,34,0.6965,0.3035,0.5158,0.3724,0.2147,0.3505,0.5701,0.1899,0.4153,0.3948,0.3108,0.1757,3,0.1360544217687075,0.6148648648648649
2021-22,Slider,158,35,26,10,0.0,1,7,0.303,0.343,0.424,0.767,0.335,0.2,0.029,0.0,0.2375,0.2375,29,90,0.322,0.43,77,19,0.24675324675324675,0.574468085106383,52,0.329,33,30,22,73,158,18,15,0.538,0.462,0.3987,0.3291,0.2466,0.6818,0.7572,0.3987,0.5127,0.0886,0.3545,0.0182,1,0.05714285714285714,0.7058823529411765
2023,Changeup,477,143,78,20,5.0,5,58,0.148,0.189,0.274,0.463,0.202,0.406,0.035,0.035,0.32121794871794873,0.32121794871794873,162,343,0.472,0.281,256,110,0.4296875,0.5423728813559322,129,0.27,48,67,62,300,477,131,48,0.3711,0.6289,0.2411,0.2704,0.4367,0.7742,0.7485,0.499,0.3648,0.1363,0.5958,0.0583,2,0.04895104895104895,0.7014925373134329
2023,Sinker,675,183,152,51,8.0,10,21,0.297,0.333,0.523,0.857,0.363,0.115,0.055,0.044,0.3935921052631579,0.3935921052631579,33,214,0.154,0.683,300,32,0.10666666666666667,0.7285067873303167,276,0.409,262,167,109,137,675,17,27,0.797,0.203,0.6356,0.4089,0.1241,0.2477,0.48,0.2237,0.483,0.2933,0.2991,0.1261,0,0.0546448087431694,0.579175704989154
2023,Slider,308,70,51,17,3.0,1,17,0.25,0.271,0.456,0.727,0.308,0.243,0.014,0.043,0.38313725490196077,0.38313725490196077,55,162,0.34,0.474,148,44,0.2972972972972973,0.6068376068376068,110,0.357,76,60,50,122,308,38,23,0.6039,0.3961,0.4416,0.3571,0.3115,0.46,0.6,0.2338,0.5584,0.2078,0.287,0.0509,1,0.02857142857142857,0.636986301369863
2024,Changeup,998,293,191,50,1.0,10,91,0.177,0.205,0.219,0.424,0.189,0.311,0.034,0.003,0.1930216095890411,0.25901047120418846,289,637,0.454,0.362,552,192,0.34782608695652173,0.6258064516129033,328,0.329,174,146,182,496,998,186,133,0.503,0.497,0.3206,0.3287,0.375,0.7308,0.63,0.501,0.3617,0.1373,0.5741,0.0494,0,0.034129692832764506,0.7285318559556787
2024,Sinker,1324,344,281,107,6.0,31,32,0.345,0.401,0.481,0.882,0.383,0.093,0.09,0.017,0.3868330234604106,0.3976510791366906,130,514,0.253,0.612,648,85,0.13117283950617284,0.6909090909090909,505,0.381,478,296,209,341,1324,54,92,0.7424,0.2576,0.5846,0.3814,0.1584,0.4402,0.48,0.2039,0.46,0.3361,0.2892,0.1523,0,0.09011627906976744,0.6395061728395062
2024,Slider,472,118,85,25,4.0,3,30,0.219,0.237,0.368,0.606,0.259,0.254,0.025,0.034,0.2747042136752137,0.35801190476190475,93,255,0.365,0.46,240,74,0.30833333333333335,0.6012658227848101,155,0.328,113,83,72,204,472,63,45,0.5678,0.4322,0.4153,0.3284,0.3088,0.625,0.63,0.3157,0.5042,0.1801,0.3652,0.0435,0,0.025423728813559324,0.6774193548387096
2025,Changeup,1083,318,175,52,2.0,9,130,0.17,0.204,0.243,0.447,0.199,0.409,0.028,0.006,0.20764783544303797,0.3266127167630058,277,658,0.421,0.392,596,269,0.4513422818791946,0.640625,380,0.351,172,212,168,531,1083,178,127,0.5097,0.4903,0.3546,0.3509,0.3352,0.756,0.6703,0.4571,0.3869,0.156,0.5278,0.0575,4,0.040880503144654086,0.7505882352941177
