game_year,half,pitch_name,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate
2025,1H,Changeup,627,176,88,24,0.0,8,76,0.146,0.205,0.183,0.387,0.181,0.432,0.045,0.0,0.19790926436781608,0.3025,169,403,0.419,0.357,333,154,0.4624624624624625,0.6571428571428571,218,0.348,85,117,101,324,627,106,79,0.4833,0.5167,0.3222,0.3477,0.3272,0.7822,0.74,0.4545,0.3971,0.1483,0.5377,0.0692,4,0.06818181818181818,0.7321428571428571
2025,1H,Sinker,811,221,171,61,3.0,21,28,0.308,0.376,0.394,0.77,0.341,0.127,0.095,0.014,0.3326889452054795,0.3409171597633136,58,316,0.184,0.61,356,44,0.12359550561797752,0.6268656716417911,311,0.383,318,164,147,182,811,16,50,0.7756,0.2244,0.5943,0.3835,0.0879,0.3401,0.505,0.1837,0.4858,0.3305,0.2542,0.138,1,0.09954751131221719,0.602020202020202
2025,1H,Slider,283,75,51,14,4.0,3,18,0.2,0.24,0.414,0.654,0.278,0.24,0.04,0.053,0.3212750972222222,0.4067,43,154,0.279,0.456,137,46,0.3357664233576642,0.6363636363636364,94,0.332,75,45,49,114,283,28,24,0.5972,0.4028,0.424,0.3322,0.2456,0.4898,0.72,0.3004,0.5124,0.1873,0.3558,0.0481,1,0.05333333333333334,0.7286821705426356
2025,2H,Changeup,456,142,87,28,2.0,1,54,0.199,0.204,0.312,0.516,0.221,0.38,0.007,0.014,0.21958101408450703,0.35044827586206895,108,255,0.424,0.441,263,115,0.4372623574144487,0.6206896551724138,162,0.355,87,95,67,207,456,72,48,0.5461,0.4539,0.3991,0.3553,0.3478,0.7164,0.59,0.4605,0.3728,0.1667,0.5146,0.0418,0,0.007042253521126761,0.7711442786069652
2025,2H,Sinker,521,154,116,31,1.0,10,28,0.215,0.266,0.271,0.537,0.242,0.182,0.065,0.006,0.3179353246753247,0.36247413793103445,33,178,0.185,0.658,243,43,0.17695473251028807,0.6742857142857143,205,0.394,209,117,88,106,520,14,25,0.7962,0.2038,0.6269,0.3942,0.1321,0.2841,0.485,0.2303,0.5125,0.2572,0.2867,0.0944,0,0.06493506493506493,0.6122448979591837
2025,2H,Slider,198,41,32,13,2.0,1,8,0.333,0.341,0.564,0.906,0.38,0.195,0.024,0.049,0.3122805853658537,0.3785,29,87,0.333,0.561,101,34,0.33663366336633666,0.7567567567567568,67,0.338,67,37,30,64,198,22,10,0.6768,0.3232,0.5253,0.3384,0.3438,0.3333,0.64,0.2677,0.5505,0.1818,0.2857,0.0272,0,0.024390243902439025,0.6486486486486487
2026,1H,Changeup,746,223,126,35,4.0,12,85,0.167,0.211,0.254,0.464,0.208,0.381,0.054,0.018,0.19289821621621622,0.27540800000000004,228,492,0.463,0.34,425,192,0.45176470588235296,0.5968992248062015,237,0.318,102,116,121,407,746,168,87,0.4544,0.5456,0.2922,0.3177,0.4128,0.719,0.6251,0.4088,0.3861,0.2051,0.5501,0.0949,0,0.053811659192825115,0.7755905511811023
2026,1H,Sinker,808,226,182,75,6.0,12,32,0.35,0.385,0.5,0.885,0.386,0.142,0.053,0.027,0.3707967777777778,0.41454696132596686,86,322,0.267,0.601,385,46,0.11948051948051948,0.6996336996336996,328,0.406,277,175,153,203,808,35,64,0.7488,0.2512,0.5594,0.4059,0.1724,0.4183,0.5022,0.2735,0.4616,0.2649,0.3,0.1205,0,0.05309734513274336,0.6152263374485597
2026,1H,Slider,349,76,46,16,2.0,1,27,0.219,0.25,0.342,0.592,0.261,0.355,0.013,0.026,0.2606625,0.38367391304347825,74,190,0.389,0.456,173,77,0.44508670520231214,0.6422764227642277,126,0.361,73,71,55,150,349,50,32,0.5702,0.4298,0.4126,0.361,0.3333,0.5818,0.6916,0.3066,0.4957,0.1977,0.2962,0.0423,2,0.039473684210526314,0.6226415094339622
2026,2H,Changeup,356,80,47,18,0.0,4,29,0.237,0.275,0.303,0.578,0.258,0.362,0.05,0.0,0.21661645,0.30929787234042555,94,256,0.367,0.281,176,84,0.4772727272727273,0.5492957746478874,98,0.275,40,46,52,218,356,68,36,0.3876,0.6124,0.2416,0.2753,0.3119,0.6923,0.726,0.3539,0.4157,0.2303,0.4432,0.0811,0,0.05,0.82
2026,2H,Sinker,499,138,108,38,5.0,10,19,0.304,0.348,0.464,0.812,0.351,0.138,0.072,0.036,0.3656660606060606,0.4008543689320388,42,203,0.207,0.593,229,30,0.13100436681222707,0.6645161290322581,212,0.425,160,123,89,127,499,13,35,0.7455,0.2545,0.5671,0.4248,0.1024,0.3933,0.5015,0.2024,0.4729,0.3246,0.3092,0.1727,0,0.07246376811594203,0.6317567567567568
2026,2H,Slider,202,62,30,11,0.0,5,23,0.208,0.323,0.245,0.568,0.273,0.371,0.081,0.0,0.26170601612903227,0.32730000000000004,49,120,0.408,0.406,99,42,0.42424242424242425,0.6296296296296297,60,0.297,41,34,26,101,202,35,17,0.5,0.5,0.3713,0.297,0.3465,0.6538,0.7191,0.3317,0.4455,0.2228,0.4621,0.0828,4,0.14516129032258066,0.6097560975609756
