half,stand,pitch_name,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate
1H,L,Changeup,51,23,4,1,0.0,0.0,19,0.043,0.043,0.087,0.13,0.055,0.826,0.0,0.0,0.05252173913043478,0.302,23,37,0.622,0.275,35,21,0.6,,13,0.255,7,3,10,31,51,18.0,8.0,0.3922,0.6078,0.1961,0.2549,0.5806,0.8,0.608,0.6471,0.2745,0.0784,0.8372,0.0465,0,0.0,0.8571428571428571
1H,L,Sinker,252,83,63,14,1.0,2.0,18,0.173,0.193,0.222,0.415,0.185,0.217,0.024,0.012,0.23113990361445785,0.28230158730158733,38,87,0.437,0.655,145,25,0.1724137931034483,0.7692307692307693,103,0.409,96,58,45,53,252,16.0,25.0,0.7897,0.2103,0.6111,0.4087,0.3019,0.5556,0.4581,0.3135,0.4603,0.2262,0.3279,0.0902,0,0.024096385542168676,0.6484848484848484
1H,L,Slider,114,20,12,2,0.0,0.0,8,0.1,0.1,0.1,0.2,0.089,0.4,0.0,0.0,0.1025,0.1708333333333333,27,68,0.397,0.404,60,33,0.55,0.6857142857142857,35,0.307,20,22,13,59,114,22.0,5.0,0.4825,0.5175,0.3684,0.307,0.3729,0.3846,0.7328,0.4561,0.4649,0.0789,0.3472,0.0,0,0.0,0.717391304347826
1H,R,Changeup,695,200,122,34,4.0,12.0,66,0.183,0.23,0.274,0.504,0.226,0.33,0.06,0.02,0.20912263316582913,0.2745289256198347,205,455,0.451,0.345,390,171,0.43846153846153846,0.5968992248062015,224,0.322,95,113,111,376,695,150.0,79.0,0.459,0.541,0.2993,0.3223,0.3989,0.7117,0.6361,0.3914,0.3942,0.2144,0.5123,0.1012,0,0.06,0.7708333333333334
1H,R,Sinker,556,143,119,61,5.0,10.0,14,0.459,0.497,0.669,1.166,0.503,0.098,0.07,0.035,0.45242720422535215,0.48515254237288136,48,235,0.204,0.577,240,21,0.0875,0.6648351648351648,225,0.405,181,117,108,150,556,19.0,39.0,0.7302,0.2698,0.536,0.4047,0.1267,0.3611,0.5219,0.2554,0.4622,0.2824,0.2893,0.1321,0,0.06993006993006994,0.5981308411214953
1H,R,Slider,235,56,34,14,2.0,1.0,19,0.264,0.304,0.434,0.738,0.322,0.339,0.018,0.036,0.3171491071428571,0.45879411764705885,47,122,0.385,0.481,113,44,0.3893805309734513,0.625,91,0.387,53,49,42,91,235,28.0,27.0,0.6128,0.3872,0.434,0.3872,0.3077,0.6429,0.6871,0.234,0.5106,0.2553,0.2766,0.0585,2,0.05357142857142857,0.584070796460177
2H,L,Changeup,26,8,2,2,0.0,0.0,6,0.25,0.25,0.375,0.625,0.269,0.75,0.0,0.0,0.145875,0.5835,8,17,0.471,0.346,17,10,0.5882352941176471,0.0,6,0.231,7,0,6,13,26,6.0,4.0,0.5,0.5,0.2692,0.2308,0.4615,0.6667,0.5527,0.5,0.2692,0.2308,0.6667,0.0556,0,0.0,1.0
2H,L,Sinker,109,29,21,6,0.0,1.0,7,0.222,0.241,0.222,0.464,0.208,0.241,0.034,0.0,0.24260067857142856,0.30474999999999997,14,46,0.304,0.578,52,13,0.25,0.6666666666666666,47,0.431,35,25,22,27,109,5.0,10.0,0.7523,0.2477,0.5505,0.4312,0.1852,0.4545,0.5301,0.2385,0.4862,0.2752,0.3265,0.1224,0,0.034482758620689655,0.6031746031746031
2H,L,Slider,64,17,11,4,0.0,0.0,6,0.235,0.235,0.235,0.471,0.209,0.353,0.0,0.0,0.2374705882352941,0.367,20,42,0.476,0.344,34,16,0.47058823529411764,0.6842105263157895,21,0.328,13,8,13,30,64,12.0,9.0,0.5312,0.4688,0.3281,0.3281,0.4,0.6923,0.8739,0.4062,0.5,0.0938,0.4722,0.0278,0,0.0,0.6363636363636364
2H,R,Changeup,330,72,45,16,0.0,4.0,23,0.235,0.278,0.294,0.572,0.257,0.319,0.056,0.0,0.2244766111111111,0.29711111111111116,86,239,0.36,0.276,159,74,0.46540880503144655,0.5652173913043478,92,0.279,33,46,46,205,330,62.0,32.0,0.3788,0.6212,0.2394,0.2788,0.3024,0.6957,0.7324,0.3424,0.4273,0.2303,0.4192,0.0838,0,0.05555555555555555,0.8021978021978022
2H,R,Sinker,390,109,87,32,5.0,9.0,12,0.327,0.376,0.531,0.907,0.389,0.11,0.083,0.046,0.3987990480769231,0.42401204819277105,28,157,0.178,0.597,177,17,0.096045197740113,0.6639344262295082,165,0.423,125,98,67,100,390,8.0,25.0,0.7436,0.2564,0.5718,0.4231,0.08,0.3731,0.4998,0.1923,0.4692,0.3385,0.305,0.185,0,0.08256880733944955,0.6394849785407726
2H,R,Slider,138,45,19,7,0.0,5.0,17,0.194,0.356,0.25,0.606,0.297,0.378,0.111,0.0,0.2708616222222222,0.3043157894736842,29,78,0.372,0.435,65,26,0.4,0.6,39,0.283,28,26,13,71,138,23.0,8.0,0.4855,0.5145,0.3913,0.2826,0.3239,0.6154,0.6928,0.2971,0.4203,0.2826,0.4587,0.1009,4,0.2,0.6
