season,stand,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate
2021-22,L,288,77,47,19,0.0,6,20,0.279,0.364,0.353,0.717,0.324,0.26,0.078,0.0,0.267531914893617,0.267531914893617,37,140,0.264,0.514,123,24,0.1951219512195122,0.6103896103896104,93,0.323,86,52,41,109,288,25,18,0.6215,0.3785,0.4792,0.3229,0.2294,0.439,0.58,0.2639,0.4618,0.2743,0.5325,0.1948,3,0.11688311688311688,0.581081081081081
2021-22,R,585,159,113,35,6.0,17,28,0.252,0.333,0.439,0.772,0.336,0.176,0.107,0.038,0.36245535714285715,0.36245535714285715,96,315,0.305,0.462,280,57,0.20357142857142857,0.559748427672956,203,0.347,145,103,100,237,585,60,47,0.5949,0.4051,0.4239,0.347,0.2532,0.47,0.73,0.2803,0.4205,0.2991,0.478,0.1887,1,0.11320754716981132,0.6814814814814815
2023,L,291,80,48,10,1.0,5,27,0.133,0.188,0.213,0.401,0.181,0.338,0.062,0.012,0.23908333333333334,0.23908333333333334,40,132,0.303,0.546,131,39,0.29770992366412213,0.675,118,0.405,80,67,51,93,291,29,17,0.6804,0.3196,0.5052,0.4055,0.3118,0.3333,0.54,0.299,0.4674,0.2337,0.5625,0.1375,0,0.0625,0.5723270440251572
2023,R,1169,316,233,78,15.0,11,69,0.26,0.291,0.473,0.764,0.324,0.218,0.035,0.047,0.3989055793991416,0.3989055793991416,210,587,0.358,0.498,573,147,0.25654450261780104,0.6624605678233438,397,0.34,306,227,170,466,1169,157,81,0.6014,0.3986,0.4559,0.3396,0.3369,0.4765,0.65,0.3199,0.4585,0.2216,0.5047,0.1514,3,0.04430379746835443,0.6237113402061856
2024,L,550,155,116,36,2.0,6,32,0.245,0.271,0.333,0.604,0.263,0.206,0.039,0.013,0.2615813642384106,0.31295575221238936,110,267,0.412,0.515,298,72,0.24161073825503357,0.6838709677419355,204,0.371,147,113,91,199,550,66,58,0.6382,0.3618,0.4727,0.3709,0.3317,0.6374,0.54,0.3291,0.4345,0.2364,0.5355,0.129,0,0.03870967741935484,0.6643109540636042
2024,R,2247,600,441,146,9.0,38,121,0.261,0.307,0.364,0.671,0.295,0.202,0.063,0.015,0.3020266744574291,0.35165227272727273,403,1141,0.353,0.492,1144,279,0.24388111888111888,0.6510851419031719,785,0.349,618,413,372,844,2247,238,212,0.6244,0.3756,0.4588,0.3494,0.282,0.5699,0.575,0.3289,0.4321,0.239,0.53,0.1617,0,0.06333333333333334,0.6699819168173599
2025,L,605,175,113,30,1.0,8,48,0.186,0.24,0.23,0.47,0.214,0.274,0.046,0.006,0.22439305263157894,0.26981981981981984,86,281,0.306,0.536,290,110,0.3793103448275862,0.6342857142857142,204,0.337,194,119,85,207,605,53,39,0.6579,0.3421,0.5174,0.3372,0.256,0.4588,0.62,0.3008,0.4843,0.2149,0.4629,0.1143,4,0.06857142857142857,0.6296296296296297
2025,R,2291,634,432,141,11.0,36,164,0.237,0.282,0.345,0.627,0.276,0.259,0.057,0.017,0.2931881679873217,0.3698438228438229,354,1112,0.318,0.515,1143,326,0.2852143482064742,0.6587677725118484,853,0.372,647,456,397,790,2290,205,197,0.655,0.345,0.4817,0.3725,0.2595,0.4962,0.61,0.3143,0.4544,0.2313,0.4921,0.1467,2,0.05993690851735016,0.6692111959287532
2026,L,616,180,113,29,1.0,3,64,0.165,0.178,0.199,0.377,0.168,0.356,0.017,0.006,0.1923990558659218,0.28876785714285713,130,297,0.438,0.518,343,118,0.34402332361516036,0.7166666666666667,225,0.365,178,116,109,213,616,79,61,0.6542,0.3458,0.4773,0.3653,0.3709,0.5596,0.5967,0.3718,0.4464,0.1818,0.5722,0.0944,0,0.016666666666666666,0.6677115987460815
2026,R,2344,625,426,164,16.0,41,151,0.286,0.338,0.425,0.763,0.335,0.242,0.066,0.026,0.3130203996763754,0.3819285714285714,443,1286,0.344,0.451,1144,353,0.30856643356643354,0.6304,836,0.357,515,449,387,993,2344,290,210,0.5764,0.4236,0.4113,0.3567,0.292,0.5426,0.6234,0.2978,0.4407,0.2615,0.5088,0.1856,6,0.0752,0.6625708884688091
