game_year,half,count_state,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate
2025,1H,0-0,472,60,58,18,0.0,0.0,0.0,0.316,0.317,0.316,0.632,0.277,0.0,0.0,0.0,0.27247885964912283,0.2644464285714286,24,197,0.122,0.583,154,42,0.2727272727272727,0.635593220338983,184,0.39,160,105,79,128,472,9,19,0.7288,0.2712,0.5614,0.3898,0.0703,0.2405,0.6178,0.0,1.0,0.0,0.0,0.0,1,0.016666666666666666,0.4727272727272727
2025,1H,ahead,519,171,105,29,0.0,0.0,64.0,0.172,0.181,0.213,0.394,0.173,0.374,0.0,0.0,0.21168582352941176,0.3321346153846154,124,321,0.386,0.382,278,87,0.3129496402877698,,176,0.339,94,90,86,249,519,79,57,0.5202,0.4798,0.3545,0.3391,0.3173,0.6628,0.6648,1.0,0.0,0.0,0.6182,0.0,2,0.011695906432748537,0.7777777777777778
2025,1H,behind,414,137,86,32,4.0,32.0,19.0,0.305,0.467,0.486,0.953,0.42,0.139,0.234,0.029,0.4103565037037037,0.39607142857142863,57,180,0.317,0.565,213,50,0.2347417840375587,,135,0.326,159,66,69,120,414,29,37,0.7101,0.2899,0.5435,0.3261,0.2417,0.5362,0.553,0.0,0.0,1.0,0.2536,0.3684,0,0.23357664233576642,0.6666666666666666
2025,1H,even,316,104,61,20,3.0,0.0,39.0,0.198,0.221,0.317,0.538,0.234,0.375,0.0,0.029,0.22826101941747576,0.3499016393442623,65,175,0.371,0.446,181,65,0.35911602209944754,,128,0.405,65,65,63,123,316,33,40,0.6108,0.3892,0.4114,0.4051,0.2683,0.6349,0.7111,0.0,1.0,0.0,0.4976,0.0,3,0.028846153846153848,0.8226950354609929
2025,2H,0-0,336,51,51,18,0.0,0.0,0.0,0.36,0.353,0.48,0.833,0.355,0.0,0.0,0.0,0.4156666666666667,0.4156666666666667,24,128,0.188,0.619,123,36,0.2926829268292683,0.6785714285714286,127,0.378,120,72,55,89,336,14,14,0.7351,0.2649,0.5714,0.378,0.1573,0.2545,0.52,0.0,1.0,0.0,0.0,0.0,0,0.0,0.47596153846153844
2025,2H,ahead,383,129,81,25,1.0,0.0,48.0,0.194,0.194,0.264,0.457,0.197,0.372,0.0,0.008,0.21128682170542637,0.3364938271604938,81,213,0.38,0.444,211,75,0.35545023696682465,,129,0.338,86,72,57,167,382,56,34,0.5628,0.4372,0.4136,0.3377,0.3353,0.5965,0.63,1.0,0.0,0.0,0.6935,0.0,0,0.0,0.7647058823529411
2025,2H,behind,246,81,58,15,3.0,12.0,11.0,0.217,0.333,0.42,0.754,0.331,0.136,0.148,0.037,0.3621857777777778,0.36274137931034484,26,86,0.302,0.65,138,39,0.2826086956521739,,99,0.402,90,62,37,57,246,16,13,0.7683,0.2317,0.6179,0.4024,0.2807,0.3514,0.46,0.0,0.0,1.0,0.1838,0.2647,0,0.14814814814814814,0.7
2025,2H,even,210,76,45,14,1.0,0.0,31.0,0.184,0.184,0.237,0.421,0.183,0.408,0.0,0.013,0.19939473684210526,0.33675555555555553,39,93,0.419,0.557,135,42,0.3111111111111111,,79,0.376,67,43,36,64,210,22,22,0.6952,0.3048,0.5238,0.3762,0.3438,0.6111,0.54,0.0,1.0,0.0,0.4786,0.0,0,0.0,0.8205128205128205
2026,1H,0-0,525,63,62,21,3.0,0.0,0.0,0.339,0.349,0.532,0.881,0.381,0.0,0.0,0.048,0.41567374193548384,0.4105081967213115,48,226,0.212,0.57,188,59,0.31382978723404253,0.660952380952381,206,0.392,157,121,85,162,525,26,32,0.6914,0.3086,0.5295,0.3924,0.1605,0.3765,0.5424,0.0,1.0,0.0,0.0,0.0,1,0.015873015873015872,0.4682274247491639
2026,1H,ahead,633,216,121,42,4.0,0.0,95.0,0.195,0.194,0.279,0.474,0.205,0.44,0.0,0.019,0.17400925925925925,0.3106280991735537,174,398,0.437,0.371,353,126,0.35694050991501414,,198,0.313,113,94,104,322,633,129,62,0.4913,0.5087,0.327,0.3128,0.4006,0.5962,0.6439,1.0,0.0,0.0,0.6842,0.0,0,0.0,0.7617021276595745
2026,1H,behind,436,141,96,37,3.0,25.0,20.0,0.319,0.44,0.491,0.931,0.411,0.142,0.177,0.021,0.4000601773049645,0.4053645833333333,87,210,0.414,0.518,240,70,0.2916666666666667,,170,0.39,113,88,82,153,436,51,48,0.6491,0.3509,0.461,0.3899,0.3333,0.5854,0.5743,0.0,0.0,1.0,0.2615,0.3578,0,0.1773049645390071,0.6769911504424779
2026,1H,even,309,105,75,26,2.0,0.0,29.0,0.252,0.257,0.34,0.597,0.26,0.276,0.0,0.019,0.2528535769230769,0.3454864864864865,79,170,0.465,0.45,202,60,0.297029702970297,,117,0.379,69,59,58,123,309,47,41,0.6019,0.3981,0.4142,0.3786,0.3821,0.7069,0.5996,0.0,1.0,0.0,0.4505,0.0,1,0.009523809523809525,0.8848920863309353
2026,2H,0-0,280,45,44,15,0.0,0.0,0.0,0.341,0.356,0.455,0.81,0.354,0.0,0.0,0.0,0.3906342666666666,0.3829318181818182,34,145,0.234,0.482,113,34,0.3008849557522124,0.6285714285714286,102,0.364,78,50,52,100,280,16,22,0.6429,0.3571,0.4571,0.3643,0.16,0.4231,0.6528,0.0,1.0,0.0,0.0,0.0,1,0.022222222222222223,0.5851851851851851
2026,2H,ahead,294,86,43,14,1.0,0.0,39.0,0.173,0.198,0.247,0.445,0.197,0.453,0.0,0.012,0.18547302409638555,0.3221219512195122,67,201,0.333,0.316,135,49,0.362962962962963,,87,0.296,41,38,49,166,294,51,25,0.4354,0.5646,0.2687,0.2959,0.3072,0.5102,0.7023,1.0,0.0,0.0,0.7124,0.0,3,0.03488372093023256,0.7311827956989247
