population,game_year,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate,half
all pitchers in PHI games,2021,47562,12085,8045,2609,398,999,2882,0.242,0.31,0.41,0.721,0.311,0.238,0.083,0.033,0.35639105518873804,0.35639105518873804,6715,24056,0.279,0.494,22899,5886,0.2570417922180008,0.6169931399289198,16823,0.354,12908,8967,7856,17831,47562,3821,3782,0.6251,0.3749,0.4599,0.3537,0.2143,0.4814,0.63,0.2979,0.4412,0.2608,0.5473,0.1937,142,0.09441456350848158,0.6885050625372245,season
all pitchers in PHI games,2022,47087,12083,8235,2722,355,910,2786,0.248,0.311,0.405,0.716,0.313,0.231,0.075,0.029,0.3662519204975003,0.3662519204975003,7404,24322,0.304,0.483,22625,5823,0.25737016574585636,0.618023976849938,16768,0.356,11966,8965,7803,18352,47086,4512,3943,0.6102,0.3898,0.4445,0.3561,0.2459,0.5053,0.63,0.2947,0.4431,0.2622,0.5385,0.1897,120,0.08524373086154101,0.6686141005930156,season
all pitchers in PHI games,2023,47913,12266,8211,2735,405,978,2927,0.247,0.313,0.417,0.729,0.316,0.239,0.08,0.033,0.37311310395314784,0.37311310395314784,7648,24588,0.311,0.487,23189,6192,0.26702315753158823,0.6217781402936379,16990,0.355,12520,8967,8023,18403,47913,4729,3993,0.6159,0.3841,0.4485,0.3546,0.257,0.4977,0.6224,0.3017,0.4412,0.2572,0.5434,0.1926,123,0.08976031306049242,0.6662808145766345,season
all pitchers in PHI games,2024,47236,12202,8329,2762,379,927,2798,0.25,0.312,0.41,0.722,0.315,0.229,0.076,0.031,0.31597567468886506,0.3749752594738113,7366,24125,0.305,0.489,23079,5887,0.25508037609948436,0.634850348503485,16593,0.351,12624,8710,7883,18018,47235,4465,3971,0.6185,0.3815,0.4517,0.3513,0.2478,0.5037,0.63,0.3005,0.4432,0.2562,0.5306,0.1919,122,0.08596951319455827,0.6798926917917875,season
all pitchers in PHI games,2025,47230,12186,8306,2768,389,934,2808,0.251,0.313,0.411,0.724,0.315,0.23,0.077,0.032,0.3206064576243185,0.3822709646146389,6999,23495,0.298,0.503,22933,5912,0.25779444468669604,0.6263844449913857,16699,0.354,13061,8993,7706,17468,47228,4191,3766,0.6301,0.3699,0.467,0.3536,0.2399,0.4887,0.6113,0.2982,0.4433,0.2585,0.5297,0.1919,112,0.08583620548170032,0.671329260585633,season
all pitchers in PHI games,2026,44595,11388,7606,2498,357,899,2711,0.244,0.309,0.401,0.71,0.312,0.238,0.079,0.031,0.30594926216863194,0.36201802757158,7830,23845,0.328,0.465,21386,5681,0.2656410735995511,0.6160800491529886,15734,0.354,10464,8180,7554,18280,44478,5025,3981,0.589,0.411,0.4192,0.3537,0.2749,0.527,0.6395,0.2969,0.4387,0.2644,0.5415,0.1964,125,0.08991921320688444,0.6533012048192771,season
all pitchers in PHI games,2021,25956,6578,4322,1436,214,533,1635,0.244,0.311,0.41,0.722,0.312,0.249,0.081,0.033,0.36855687093779016,0.36855687093779016,3600,13003,0.277,0.499,12444,3313,0.2662327225972356,0.6174639331814731,9169,0.353,7140,4887,4282,9647,25956,2030,2061,0.6283,0.3717,0.4634,0.3533,0.2104,0.4813,0.63,0.2991,0.4397,0.2612,0.5541,0.1941,78,0.09288537549407115,0.68277619084382,1H
all pitchers in PHI games,2021,21606,5507,3723,1173,184,466,1247,0.239,0.309,0.411,0.72,0.311,0.226,0.085,0.033,0.3422984673299274,0.3422984673299274,3115,11053,0.282,0.488,10455,2573,0.24610234337637493,0.6164309031556039,7654,0.354,5768,4080,3574,8184,21606,1791,1721,0.6212,0.3788,0.4558,0.3543,0.2188,0.4815,0.63,0.2966,0.443,0.2604,0.5392,0.1931,64,0.09624114763028872,0.6955368141760637,2H
all pitchers in PHI games,2022,26243,6646,4512,1448,199,519,1532,0.241,0.306,0.397,0.703,0.308,0.231,0.078,0.03,0.3671875696146135,0.3671875696146135,4016,13544,0.297,0.484,12460,3189,0.2559390048154093,0.6112113014727983,9274,0.353,6691,4943,4331,10277,26242,2475,2164,0.6084,0.3916,0.4433,0.3534,0.2408,0.4997,0.62,0.2929,0.4409,0.2662,0.5454,0.1976,68,0.08832380379175443,0.6649342467910859,1H
all pitchers in PHI games,2022,20844,5437,3723,1274,156,391,1254,0.257,0.316,0.415,0.731,0.319,0.231,0.072,0.029,0.3651204202586207,0.3651204202586207,3388,10778,0.314,0.483,10165,2634,0.2591244466305952,0.6263554493659254,7494,0.36,5275,4022,3472,8075,20844,2037,1779,0.6126,0.3874,0.446,0.3595,0.2523,0.5124,0.63,0.297,0.4458,0.2572,0.53,0.1799,52,0.08147875666727974,0.6732565070534472,2H
all pitchers in PHI games,2023,26289,6694,4495,1520,195,498,1622,0.25,0.31,0.408,0.719,0.311,0.242,0.074,0.029,0.3708910184978828,0.3708910184978828,4105,13361,0.307,0.492,12707,3403,0.2678051467694971,0.6138199222255459,9387,0.357,6921,4973,4414,9981,26289,2520,2180,0.6203,0.3797,0.4524,0.3571,0.2525,0.4939,0.62,0.2993,0.4417,0.259,0.5504,0.1906,59,0.08320884374066329,0.6653774752475248,1H
all pitchers in PHI games,2023,21624,5572,3716,1215,210,480,1305,0.244,0.316,0.427,0.742,0.321,0.234,0.086,0.038,0.3758012941493664,0.3758012941493664,3543,11227,0.316,0.481,10482,2789,0.2660751764930357,0.631324004305705,7603,0.352,5599,3994,3609,8422,21624,2209,1813,0.6105,0.3895,0.4436,0.3516,0.2623,0.5024,0.63,0.3046,0.4406,0.2549,0.5349,0.1952,64,0.09763101220387653,0.6674040588631336,2H
all pitchers in PHI games,2024,27641,7134,4818,1564,201,562,1665,0.243,0.308,0.391,0.699,0.306,0.233,0.079,0.028,0.3136119337374877,0.3724038381309971,4196,14034,0.299,0.492,13327,3419,0.25654685975838526,0.630138908376596,9696,0.351,7442,5108,4588,10502,27640,2558,2256,0.62,0.38,0.4541,0.3508,0.2436,0.4917,0.63,0.2979,0.4437,0.2585,0.5297,0.1941,72,0.08887019904681806,0.6710516645844051,1H
all pitchers in PHI games,2024,19595,5068,3511,1198,178,365,1133,0.259,0.318,0.437,0.755,0.327,0.224,0.072,0.035,0.3193022648809524,0.3785054410080183,3170,10091,0.314,0.485,9752,2468,0.2530762920426579,0.6414759273875296,6897,0.352,5182,3602,3295,7516,19595,1907,1715,0.6164,0.3836,0.4483,0.352,0.2537,0.5205,0.63,0.3043,0.4426,0.2531,0.5318,0.1889,50,0.0818863456985004,0.6925505050505051,2H
all pitchers in PHI games,2025,28170,7242,4932,1622,197,592,1640,0.249,0.315,0.392,0.707,0.309,0.226,0.082,0.027,0.32261396468789105,0.38083826832754747,4136,14002,0.295,0.503,13595,3466,0.2549466715704303,0.626414573557825,10057,0.357,7751,5412,4645,10361,28169,2443,2266,0.6322,0.3678,0.4673,0.357,0.2358,0.4878,0.62,0.2976,0.4433,0.259,0.5301,0.1991,64,0.09058271195802264,0.6676312817617166,1H
all pitchers in PHI games,2025,19060,4944,3374,1146,192,342,1168,0.254,0.311,0.438,0.749,0.323,0.236,0.069,0.039,0.317667316914309,0.38436214605067065,2863,9493,0.302,0.502,9338,2446,0.26194045834225743,0.6263402791826825,6642,0.348,5310,3581,3061,7107,19059,1748,1500,0.6271,0.3729,0.4665,0.3485,0.246,0.49,0.6075,0.2991,0.4432,0.2577,0.5291,0.1813,48,0.07888349514563107,0.676805686213024,2H
all pitchers in PHI games,2026,28644,7327,4865,1621,239,555,1800,0.245,0.308,0.404,0.712,0.312,0.246,0.076,0.033,0.3057166049042568,0.3673346464855899,5045,15250,0.331,0.468,13829,3752,0.27131390556077806,0.6181446111869031,10234,0.358,6719,5311,4923,11636,28589,3189,2620,0.593,0.407,0.4208,0.358,0.2741,0.5322,0.6414,0.2991,0.4384,0.2625,0.545,0.1932,81,0.0868022382967108,0.6558160370315066,1H
all pitchers in PHI games,2026,15951,4061,2741,877,118,344,911,0.243,0.311,0.395,0.707,0.311,0.224,0.085,0.029,0.3063693763681592,0.35259426681367145,2785,8595,0.324,0.461,7557,1929,0.2552600238189758,0.6123554024120108,5500,0.346,3745,2869,2631,6644,15889,1836,1361,0.5818,0.4182,0.4163,0.3462,0.2763,0.5173,0.6353,0.2931,0.4393,0.2676,0.5351,0.2023,44,0.09554296971189362,0.6487221315932572,2H
LHP in PHI games,2021,12420,3168,2071,676,95,290,760,0.242,0.319,0.398,0.717,0.312,0.24,0.092,0.03,0.34679777455249156,0.34679777455249156,1732,6315,0.274,0.492,5885,1501,0.2550552251486831,0.6028994642294359,4277,0.344,3386,2285,1992,4757,12420,1049,903,0.617,0.383,0.4566,0.3444,0.2205,0.4533,0.64,0.2895,0.4376,0.2729,0.5463,0.1994,45,0.10574494949494949,0.6802620802620802,season
LHP in PHI games,2022,13375,3411,2302,777,91,293,769,0.255,0.325,0.414,0.739,0.324,0.225,0.086,0.027,0.3714139290407359,0.3714139290407359,2049,6987,0.293,0.478,6209,1543,0.2485102270897085,0.6047465572809845,4697,0.351,3342,2533,2164,5335,13374,1274,1052,0.6011,0.3989,0.4393,0.3512,0.2388,0.4861,0.64,0.289,0.4401,0.2708,0.5346,0.2012,40,0.09762532981530343,0.6512210394489668,season
LHP in PHI games,2023,15241,3935,2605,881,139,292,987,0.247,0.309,0.422,0.731,0.316,0.251,0.074,0.035,0.37367153284671534,0.37367153284671534,2424,7658,0.317,0.498,7359,2023,0.2749014811795081,0.625412960609911,5461,0.358,4091,2927,2534,5689,15241,1496,1241,0.6267,0.3733,0.4605,0.3583,0.263,0.4897,0.6139,0.3081,0.442,0.2499,0.5529,0.1844,44,0.08538754764930115,0.6507978372675722,season
LHP in PHI games,2024,16178,4211,2891,971,105,328,947,0.255,0.317,0.397,0.714,0.313,0.225,0.078,0.025,0.31494882105263156,0.37092189679218973,2471,8142,0.303,0.497,7932,1961,0.247226424609178,0.6414465857720676,5755,0.356,4431,3000,2755,5992,16178,1461,1376,0.6296,0.3704,0.4593,0.3557,0.2438,0.4995,0.62,0.3078,0.4429,0.2492,0.5261,0.1848,37,0.08667774875326525,0.6795669487307118,season
LHP in PHI games,2025,18589,4835,3235,1072,130,339,1213,0.243,0.301,0.38,0.681,0.298,0.251,0.07,0.027,0.3038249887593672,0.3722177570093458,2828,9175,0.308,0.506,9153,2488,0.2718234458647438,0.6493694438701675,6557,0.353,5266,3519,3038,6764,18587,1673,1516,0.6361,0.3639,0.4726,0.3528,0.2473,0.499,0.61,0.3109,0.4455,0.2435,0.535,0.1817,42,0.07880041365046536,0.671871680475887,season
LHP in PHI games,2026,16028,4116,2716,916,110,309,1023,0.247,0.31,0.388,0.698,0.308,0.249,0.075,0.027,0.2975526387524558,0.35612653516933385,2810,8520,0.33,0.468,7660,2135,0.27872062663185376,0.6218119990284188,5724,0.358,3781,2995,2729,6489,15994,1793,1414,0.5943,0.4057,0.4237,0.3579,0.2763,0.5181,0.6424,0.2984,0.441,0.2605,0.5454,0.1923,53,0.08794946550048591,0.6459776238678743,season
LHP in PHI games,2021,6844,1724,1092,370,55,156,444,0.244,0.323,0.406,0.728,0.317,0.258,0.09,0.032,0.3676868686868687,0.3676868686868687,963,3501,0.275,0.488,3218,862,0.26786824114356744,0.593279258400927,2369,0.346,1841,1258,1111,2634,6844,569,531,0.6151,0.3849,0.4528,0.3461,0.216,0.4779,0.65,0.2963,0.43,0.2737,0.5574,0.2068,30,0.10788863109048724,0.6745438229135508,1H
LHP in PHI games,2021,5576,1444,979,306,40,134,316,0.24,0.315,0.388,0.703,0.306,0.219,0.093,0.028,0.32353783231083844,0.32353783231083844,769,2814,0.273,0.495,2667,639,0.23959505061867267,0.6143745680718729,1908,0.342,1545,1027,881,2123,5576,480,372,0.6193,0.3807,0.4613,0.3422,0.2261,0.4222,0.62,0.2812,0.4469,0.2719,0.5331,0.1906,15,0.10318559556786704,0.6871832005792904,2H
LHP in PHI games,2022,7141,1782,1193,390,49,176,386,0.25,0.332,0.411,0.743,0.326,0.217,0.099,0.027,0.37301522842639595,0.37301522842639595,1045,3764,0.278,0.473,3220,786,0.24409937888198757,0.5958520179372198,2516,0.352,1744,1340,1176,2880,7140,656,548,0.5966,0.4034,0.4319,0.3524,0.2278,0.466,0.64,0.2844,0.4389,0.2767,0.5389,0.2185,25,0.1127946127946128,0.6440627776132662,1H
LHP in PHI games,2022,6234,1629,1109,387,42,117,383,0.261,0.319,0.416,0.735,0.321,0.235,0.072,0.026,0.36969482288828337,0.36969482288828337,1004,3223,0.312,0.483,2989,757,0.2532619605219137,0.614487415592388,2181,0.35,1598,1193,988,2455,6234,618,504,0.6062,0.3938,0.4477,0.3499,0.2517,0.5101,0.65,0.2944,0.4416,0.264,0.5298,0.1823,15,0.08103130755064457,0.6592494187977416,2H
