player_name,game_year,month,pitches,plate_apps,bbrate,in_zone_rate,chase_rate,barrel_rate,hard_hit_rate,First Pitch Strike Rate,pitches_per_pa
"Sánchez, Cristopher",2023,All,1460,396,0.04,0.508,0.348,0.082,0.402,0.665,3.687
"Sánchez, Cristopher",2024,All,2797,755,0.058,0.497,0.364,0.054,0.345,0.658,3.705
"Sánchez, Cristopher",2025,All,2896,809,0.054,0.519,0.316,0.057,0.398,0.653,3.58
"Sánchez, Cristopher",2026,3,87,21,0.0,0.517,0.31,0.182,0.727,0.667,4.143
"Sánchez, Cristopher",2026,4,562,159,0.082,0.475,0.359,0.104,0.415,0.692,3.535
"Sánchez, Cristopher",2026,5,504,143,0.021,0.478,0.388,0.053,0.436,0.671,3.524
"Sánchez, Cristopher",2026,6,564,152,0.046,0.465,0.417,0.078,0.408,0.645,3.711
"Sánchez, Cristopher",2026,7,386,103,0.049,0.451,0.377,0.067,0.427,0.631,3.748
"Sánchez, Cristopher",2026,8,570,148,0.074,0.451,0.313,0.033,0.367,0.615,3.851
"Sánchez, Cristopher",2026,9,287,79,0.063,0.456,0.308,0.1,0.35,0.62,3.633
