pitcher,val_y0,val_y1,delta,metric,y0,y1,basis,pitcher_label
554430,0.494,0.501,0.007,in_zone_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.487,0.506,0.019,in_zone_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.476,0.481,0.005,in_zone_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.48,0.506,0.026,in_zone_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.476,0.503,0.027,in_zone_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.555,0.54,-0.015,in_zone_rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.523,0.551,0.028,in_zone_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.472,0.511,0.039,in_zone_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.497,0.519,0.022,in_zone_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.514,0.55,0.036,in_zone_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.476,0.504,0.028,in_zone_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.519,0.545,0.026,in_zone_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.522,0.542,0.02,in_zone_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.338,0.312,-0.026,chase_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.251,0.258,0.007,chase_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.321,0.335,0.014,chase_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.323,0.317,-0.006,chase_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.278,0.278,0.0,chase_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.32,0.333,0.013,chase_rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.246,0.267,0.021,chase_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.303,0.305,0.002,chase_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.364,0.316,-0.048,chase_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.263,0.248,-0.015,chase_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.28,0.331,0.051,chase_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.291,0.255,-0.036,chase_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.277,0.251,-0.026,chase_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.6333,0.622,-0.0113,shadow_zone_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.6132,0.6322,0.019,shadow_zone_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.6024,0.6365,0.0341,shadow_zone_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.6096,0.6145,0.0049,shadow_zone_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.6055,0.6127,0.0072,shadow_zone_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.6972,0.6798,-0.0174,shadow_zone_rate,2024,2025,native_rails,"Strahm, Matt"
