game_year,half,month,game_date,stand,pitch_name,plate_x,plate_z,sz_top,sz_bot,region,is_swing,balls,strikes,pitch_number,pa_end,walk,in_zone_attr,whiff
2025,2H,9,2025-09-28,L,Sinker,-0.1,1.78,3.37,1.57,edge_in,1,2.0,2.0,5.0,1,0,1,1
2025,2H,9,2025-09-28,L,Sinker,-1.58,0.66,3.41,1.59,beyond,0,1.0,2.0,4.0,0,0,0,0
2025,2H,9,2025-09-28,L,Slider,-0.44,1.29,3.37,1.57,beyond,1,1.0,1.0,3.0,0,0,0,1
2025,2H,9,2025-09-28,L,Sinker,-0.24,1.49,3.37,1.57,edge_out,1,1.0,0.0,2.0,0,0,1,1
2025,2H,9,2025-09-28,L,Sinker,-1.29,1.31,3.42,1.58,beyond,0,0.0,0.0,1.0,0,0,0,0
2025,2H,9,2025-09-28,R,Sinker,-0.3,2.28,3.18,1.46,heart,1,0.0,0.0,1.0,1,0,1,0
2025,2H,9,2025-09-28,L,Changeup,-0.88,0.69,3.34,1.57,beyond,1,2.0,2.0,5.0,1,0,0,1
2025,2H,9,2025-09-28,L,Sinker,-0.44,1.76,3.34,1.48,heart,0,2.0,1.0,4.0,0,0,1,0
2025,2H,9,2025-09-28,L,Sinker,0.37,0.97,3.34,1.51,beyond,0,1.0,1.0,3.0,0,0,0,0
2025,2H,9,2025-09-28,L,Slider,-0.34,2.18,3.34,1.57,heart,1,1.0,0.0,2.0,0,0,1,1
2025,2H,9,2025-09-28,L,Sinker,0.75,1.55,3.37,1.64,edge_out,0,0.0,0.0,1.0,0,0,1,0
2025,2H,9,2025-09-28,R,Changeup,1.54,2.56,3.97,1.89,beyond,1,1.0,2.0,4.0,1,0,0,1
2025,2H,9,2025-09-28,R,Changeup,1.41,0.94,3.83,1.85,beyond,0,0.0,2.0,3.0,0,0,0,0
2025,2H,9,2025-09-28,R,Sinker,0.7,1.91,4.09,1.92,edge_out,0,0.0,1.0,2.0,0,0,1,0
2025,2H,9,2025-09-28,R,Sinker,0.38,2.36,3.97,1.89,heart,1,0.0,0.0,1.0,0,0,1,0
2025,2H,9,2025-09-28,R,Changeup,0.59,2.13,3.33,1.58,edge_in,1,0.0,0.0,1.0,1,0,1,0
2025,2H,9,2025-09-28,L,Changeup,-0.33,0.69,3.59,1.71,beyond,1,2.0,2.0,5.0,1,0,0,1
2025,2H,9,2025-09-28,L,Changeup,-0.92,0.66,3.49,1.6,beyond,0,1.0,2.0,4.0,0,0,0,0
2025,2H,9,2025-09-28,L,Sinker,0.61,1.91,3.59,1.71,edge_in,1,1.0,1.0,3.0,0,0,1,0
2025,2H,9,2025-09-28,L,Slider,-0.95,1.17,3.59,1.71,beyond,0,0.0,1.0,2.0,0,0,0,0
2025,2H,9,2025-09-28,L,Slider,-0.63,1.65,3.48,1.71,edge_out,0,0.0,0.0,1.0,0,0,1,0
2025,2H,9,2025-09-28,R,Changeup,1.17,1.86,3.53,1.71,beyond,1,0.0,1.0,2.0,1,0,0,0
2025,2H,9,2025-09-28,R,Sinker,0.11,2.05,3.57,1.71,heart,0,0.0,0.0,1.0,0,0,1,0
2025,2H,9,2025-09-28,R,Changeup,0.6,2.22,3.36,1.61,edge_in,1,0.0,2.0,3.0,1,0,1,0
2025,2H,9,2025-09-28,R,Sinker,0.41,2.57,3.45,1.72,heart,0,0.0,1.0,2.0,0,0,1,0
2025,2H,9,2025-09-28,R,Changeup,0.57,2.22,3.5,1.74,heart,0,0.0,0.0,1.0,0,0,1,0
2025,2H,9,2025-09-28,R,Sinker,0.76,1.69,3.39,1.62,edge_in,1,1.0,0.0,2.0,1,0,1,0
2025,2H,9,2025-09-28,R,Sinker,1.38,2.78,3.31,1.62,beyond,0,0.0,0.0,1.0,0,0,0,0
2025,2H,9,2025-09-28,L,Sinker,0.45,2.31,3.37,1.57,heart,1,3.0,2.0,7.0,1,0,1,1
2025,2H,9,2025-09-28,L,Changeup,-1.08,1.8,3.44,1.57,beyond,0,2.0,2.0,6.0,0,0,0,0
2025,2H,9,2025-09-28,L,Sinker,0.02,2.45,3.37,1.57,heart,1,2.0,2.0,5.0,0,0,1,0
2025,2H,9,2025-09-28,L,Sinker,-0.83,1.25,3.43,1.61,beyond,0,1.0,2.0,4.0,0,0,0,0
2025,2H,9,2025-09-28,L,Sinker,0.14,2.3,3.37,1.57,heart,1,1.0,1.0,3.0,0,0,1,0
2025,2H,9,2025-09-28,L,Slider,-0.86,1.41,3.37,1.57,edge_out,1,1.0,0.0,2.0,0,0,0,1
2025,2H,9,2025-09-28,L,Sinker,-0.43,1.31,3.48,1.61,beyond,0,0.0,0.0,1.0,0,0,0,0
2025,2H,9,2025-09-28,R,Changeup,0.22,2.62,3.18,1.46,heart,1,2.0,1.0,4.0,1,0,1,0
2025,2H,9,2025-09-28,R,Changeup,-1.26,0.57,3.18,1.46,beyond,0,1.0,1.0,3.0,0,0,0,0
