game_year,game_pk,pitcher,half,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,is_subject
2025,776141,650911,2H,21,8,8,23,60,10.0,5.0,0.6167,0.3833,0.4833,0.2667,0.4348,0.625,0.55,True
2025,776141,680573,2H,24,20,9,28,81,8.0,5.0,0.6543,0.3457,0.5432,0.358,0.2857,0.5556,0.425,False
2025,776163,624133,2H,19,23,18,24,84,8.0,6.0,0.7143,0.2857,0.5,0.4881,0.3333,0.3333,0.515,False
2025,776163,690953,2H,15,13,16,29,73,14.0,6.0,0.6027,0.3973,0.3836,0.3973,0.4828,0.375,0.52,False
2025,776176,605400,2H,19,21,27,23,90,5.0,9.0,0.7444,0.2556,0.4444,0.5333,0.2174,0.3333,0.5029,False
2025,776176,657746,2H,26,15,8,41,90,13.0,5.0,0.5444,0.4556,0.4556,0.2556,0.3171,0.625,0.63,False
2025,776188,621111,2H,21,11,10,32,74,8.0,4.0,0.5676,0.4324,0.4324,0.2838,0.25,0.4,0.5908,False
2025,776188,676083,2H,18,9,16,18,61,5.0,10.0,0.7049,0.2951,0.4426,0.4098,0.2778,0.625,0.6105,False
2025,776201,666200,2H,29,21,13,40,103,8.0,8.0,0.6117,0.3883,0.4854,0.3301,0.2,0.6154,0.679,False
2025,776201,677960,2H,29,9,18,32,88,10.0,8.0,0.6364,0.3636,0.4318,0.3068,0.3125,0.4444,0.665,False
2025,776215,650911,2H,26,18,20,27,91,8.0,8.0,0.7033,0.2967,0.4835,0.4176,0.2963,0.4,0.593,True
2025,776215,665795,2H,12,14,8,33,67,6.0,3.0,0.5075,0.4925,0.3881,0.3284,0.1818,0.375,0.59,False
2025,776230,593958,2H,25,16,16,38,95,7.0,10.0,0.6,0.4,0.4316,0.3368,0.1842,0.625,0.665,False
2025,776230,624133,2H,28,12,10,29,79,8.0,4.0,0.6329,0.3671,0.5063,0.2785,0.2759,0.4,0.56,False
2025,776246,605400,2H,21,17,12,34,84,12.0,5.0,0.5952,0.4048,0.4524,0.3452,0.3529,0.4167,0.5066,False
2025,776246,668678,2H,15,25,21,42,103,16.0,7.0,0.5922,0.4078,0.3883,0.4466,0.381,0.3333,0.5918,False
2025,776255,592836,2H,17,11,12,19,59,1.0,9.0,0.678,0.322,0.4746,0.3898,0.0526,0.75,0.7443,False
