game_date,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,xwoba,xwobacon,chases,ooz,chase_rate,in_zone_rate,swings,whiffs,whiff_rate,fpsr,edge_pitches,edge_rate,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,pitch_share_ahead,pitch_share_even,pitch_share_behind,two_strike_pa_share,three_ball_pa_share,hbp,bb_hbp_rate,zone_swing_rate,opponent,half
2026-03-26,87,21,11,3,0.0,0.0,10,0.143,0.143,0.19,0.333,0.145,0.476,0.0,0.0,0.1539047619047619,0.2938181818181818,13,42,0.31,0.517,45,13,0.28888888888888886,0.6666666666666666,31,0.356,25,16,15,31,87,11,4,0.6437,0.3563,0.4713,0.3563,0.3548,0.2667,0.4832,0.3333,0.4253,0.2414,0.7619,0.2381,0,0.0,0.7111111111111111,TEX,1H
2026-04-01,97,24,13,4,0.0,4.0,7,0.2,0.333,0.25,0.583,0.28,0.292,0.167,0.0,0.27475933333333336,0.2919230769230769,11,48,0.229,0.505,45,12,0.26666666666666666,0.75,31,0.32,27,17,14,39,97,6,7,0.5979,0.4021,0.4536,0.3196,0.1538,0.5,0.7404,0.3608,0.3814,0.2577,0.5,0.2917,0,0.16666666666666666,0.6938775510204082,WSH,1H
2026-04-07,92,24,18,11,0.0,0.0,6,0.458,0.458,0.625,1.083,0.47,0.25,0.0,0.0,0.40929166666666666,0.5457222222222222,23,47,0.489,0.489,55,16,0.2909090909090909,0.6666666666666666,35,0.38,24,16,19,33,92,14,12,0.6413,0.3587,0.4348,0.3804,0.4242,0.6316,0.5496,0.4022,0.4457,0.1522,0.7083,0.0833,0,0.0,0.7111111111111111,SF,1H
2026-04-13,96,26,15,6,1.0,3.0,8,0.261,0.346,0.391,0.737,0.331,0.308,0.115,0.038,0.24451607692307692,0.28386666666666666,17,55,0.309,0.427,40,16,0.4,0.6923076923076923,36,0.375,19,21,15,41,96,12,6,0.5729,0.4271,0.4167,0.375,0.2927,0.4,0.5878,0.3021,0.4375,0.2604,0.5,0.1923,0,0.11538461538461539,0.5609756097560976,CHC,1H
2026-04-18,93,28,19,8,0.0,1.0,8,0.296,0.321,0.37,0.692,0.306,0.286,0.036,0.0,0.2432430714285714,0.32163157894736844,20,54,0.37,0.419,47,18,0.3829787234042553,0.6071428571428571,37,0.398,20,16,21,36,93,12,10,0.6129,0.3871,0.3871,0.3978,0.3333,0.4762,0.6529,0.2473,0.4839,0.2688,0.4286,0.1786,0,0.03571428571428571,0.6923076923076923,ATL,1H
2026-04-23,99,30,24,12,2.0,2.0,4,0.444,0.467,0.704,1.17,0.492,0.133,0.067,0.067,0.3842204,0.4219583333333334,18,45,0.4,0.545,51,14,0.27450980392156865,0.7,39,0.394,27,22,17,33,99,12,8,0.6667,0.3333,0.4949,0.3939,0.3636,0.4706,0.5727,0.3737,0.4444,0.1818,0.4333,0.1,0,0.06666666666666667,0.6111111111111112,CHC,1H
2026-04-30,85,27,17,4,0.0,3.0,7,0.167,0.259,0.25,0.509,0.237,0.259,0.111,0.0,0.30938585185185186,0.36788235294117644,17,46,0.37,0.459,40,9,0.225,0.7407407407407407,32,0.376,19,16,16,34,85,13,5,0.6,0.4,0.4118,0.3765,0.3824,0.3125,0.6441,0.3882,0.4118,0.2,0.4074,0.1481,0,0.1111111111111111,0.5897435897435898,SF,1H
2026-05-05,97,29,17,3,0.0,1.0,10,0.115,0.172,0.115,0.288,0.141,0.345,0.034,0.0,0.19837778571428571,0.25775000000000003,29,61,0.475,0.371,54,23,0.42592592592592593,0.7241379310344828,36,0.371,16,16,20,45,97,18,14,0.5361,0.4639,0.3299,0.3711,0.4,0.7,0.5818,0.3608,0.4845,0.1546,0.5862,0.1034,1,0.06896551724137931,0.6944444444444444,ATH,1H
2026-05-10,103,27,20,6,0.0,0.0,7,0.222,0.222,0.222,0.444,0.198,0.259,0.0,0.0,0.16514814814814813,0.22294999999999998,22,53,0.415,0.485,53,15,0.2830188679245283,0.7777777777777778,37,0.359,23,23,14,43,103,14,11,0.5825,0.4175,0.4466,0.3592,0.3256,0.7857,0.5726,0.3592,0.4951,0.1456,0.5926,0.1111,0,0.0,0.62,COL,1H
2026-05-16,108,32,19,6,0.0,0.0,13,0.188,0.188,0.25,0.438,0.19,0.406,0.0,0.0,0.25453125,0.4286842105263158,17,51,0.333,0.528,48,17,0.3541666666666667,0.6875,34,0.315,31,23,11,43,108,12,7,0.6019,0.3981,0.5,0.3148,0.2791,0.6364,0.6139,0.2778,0.463,0.2593,0.5,0.1562,0,0.0,0.543859649122807,PIT,1H
2026-05-22,96,28,20,4,0.0,2.0,6,0.154,0.214,0.154,0.368,0.177,0.214,0.071,0.0,0.31934328571428566,0.3771,18,52,0.346,0.458,47,22,0.46808510638297873,0.6785714285714286,35,0.365,17,20,15,44,96,15,8,0.5417,0.4583,0.3854,0.3646,0.3409,0.5333,0.6914,0.3021,0.4062,0.2917,0.3929,0.2143,0,0.07142857142857142,0.6590909090909091,CLE,1H
2026-05-27,100,27,18,6,0.0,0.0,9,0.222,0.222,0.296,0.519,0.225,0.333,0.0,0.0,0.2842962962962963,0.42644444444444446,16,46,0.348,0.54,50,18,0.36,0.48148148148148145,48,0.48,22,20,28,30,100,9,11,0.7,0.3,0.42,0.48,0.3,0.3929,0.5582,0.25,0.43,0.32,0.4815,0.1481,0,0.0,0.6296296296296297,SD,1H
2026-06-03,84,26,17,4,0.0,1.0,8,0.16,0.192,0.2,0.392,0.178,0.308,0.038,0.0,0.20855224,0.282125,18,39,0.462,0.536,47,15,0.3191489361702128,0.7307692307692307,27,0.321,23,15,12,34,84,15,7,0.5952,0.4048,0.4524,0.3214,0.4412,0.5833,0.5462,0.4405,0.4167,0.1429,0.5769,0.0385,0,0.038461538461538464,0.6444444444444445,SD,1H
2026-06-08,107,26,15,4,1.0,1.0,10,0.16,0.192,0.36,0.552,0.237,0.385,0.038,0.038,0.2196463846153846,0.3340666666666667,30,63,0.476,0.411,59,17,0.288135593220339,0.5384615384615384,40,0.374,19,23,17,48,107,18,14,0.5514,0.4486,0.3925,0.3738,0.375,0.8235,0.6749,0.3084,0.4112,0.2804,0.5385,0.1538,0,0.038461538461538464,0.6590909090909091,TOR,1H
2026-06-14,98,25,21,8,2.0,1.0,3,0.333,0.36,0.667,1.027,0.435,0.12,0.04,0.08,0.37771224000000003,0.41633333333333333,24,61,0.393,0.378,51,9,0.17647058823529413,0.48,37,0.378,19,15,22,42,98,12,15,0.5714,0.4286,0.3469,0.3776,0.2857,0.6818,0.5439,0.3061,0.4286,0.2653,0.48,0.16,0,0.04,0.7297297297297297,MIL,1H
2026-06-20,91,24,18,5,1.0,1.0,5,0.217,0.25,0.348,0.598,0.263,0.208,0.042,0.042,0.2655335833333333,0.31516666666666665,16,46,0.348,0.495,44,10,0.22727272727272727,0.7916666666666666,32,0.352,25,16,16,34,91,8,11,0.6264,0.3736,0.4505,0.3516,0.2353,0.6875,0.5899,0.3297,0.4176,0.2527,0.5,0.2083,0,0.041666666666666664,0.6222222222222222,NYM,1H
2026-06-25,92,25,17,7,1.0,1.0,6,0.304,0.36,0.435,0.795,0.353,0.24,0.04,0.04,0.29970312,0.35658823529411765,16,45,0.356,0.511,51,17,0.3333333333333333,0.6,39,0.424,18,24,15,35,92,11,8,0.6196,0.3804,0.4565,0.4239,0.3143,0.5333,0.5683,0.3043,0.4565,0.2391,0.56,0.12,1,0.08,0.7446808510638298,WSH,1H
2026-06-30,92,26,15,3,0.0,2.0,9,0.125,0.192,0.167,0.359,0.171,0.346,0.077,0.0,0.17161830769230768,0.2042,22,48,0.458,0.478,56,23,0.4107142857142857,0.7307692307692307,34,0.37,24,19,15,34,92,14,9,0.6304,0.3696,0.4674,0.3696,0.4118,0.6,0.6222,0.3696,0.4565,0.1739,0.5385,0.1154,0,0.07692307692307693,0.7727272727272727,PIT,1H
