family,check,status,detail
A,subject maps to one player_name,PASS,
A,subject rows are all pitching-role,PASS,
A,subject throws L only,PASS,
A,subject pitches 2021,PASS,211
A,subject pitches 2022,PASS,662
A,subject pitches 2023,PASS,1460
A,subject pitches 2024,PASS,2797
A,subject pitches 2025,PASS,2896
A,subject pitches 2026,PASS,2960
A,anchor date 2026-09-15,PASS,2026-09-15
A,no duplicate keys in raw R rows,PASS,
A,2026 appearances = 31,PASS,
A,excluded non-R subject pitches = 50 spring + 315 post,PASS,"{'D': 277, 'S': 50, 'L': 38}"
A,subject intentional walks = 0,PASS,
A,subject untracked location = 1,PASS,
A,2026 arsenal = sinker/changeup/slider only,PASS,"{'Slider', 'Sinker', 'Changeup'}"
B,season 2021-22 pitches,PASS,873 vs 873
B,season 2021-22 plate_apps,PASS,236 vs 236
B,season 2021-22 walks,PASS,23 vs 23
B,season 2021-22 bbrate,PASS,0.09745762711864407 vs 0.097
B,season 2021-22 in_zone_rate,PASS,0.47880870561282934 vs 0.479
B,season 2021-22 chase_rate,PASS,0.2923076923076923 vs 0.292
B,season 2021-22 pitch_share_ahead,PASS,0.27491408934707906 vs 0.2749
B,season 2021-22 pitch_share_behind,PASS,0.290950744558992 vs 0.291
B,season 2021-22 edge_rate,PASS,0.33906071019473083 vs 0.339
B,season 2021-22 shadow_zone_rate,PASS,0.6036655211912944 vs 0.6037
B,season 2021-22 shadow_miss_rate,PASS,0.3963344788087056 vs 0.3963
B,season 2021-22 beyond_shadow_chase_rate,PASS,0.24566473988439305 vs 0.2457
B,season 2021-22 n_beyond,PASS,346 vs 346
B,season 2021-22 xwoba,PASS,0.33439622641509437 vs 0.3343962264150943
B,season 2021-22 fpsr,PASS,0.576271186440678 vs 0.576271186440678
B,season 2023 pitches,PASS,1460 vs 1460
B,season 2023 plate_apps,PASS,396 vs 396
B,season 2023 walks,PASS,16 vs 16
B,season 2023 bbrate,PASS,0.04040404040404041 vs 0.04
B,season 2023 in_zone_rate,PASS,0.5075342465753425 vs 0.508
B,season 2023 chase_rate,PASS,0.3477051460361613 vs 0.348
B,season 2023 pitch_share_ahead,PASS,0.31575342465753425 vs 0.3158
B,season 2023 pitch_share_behind,PASS,0.22397260273972602 vs 0.224
B,season 2023 edge_rate,PASS,0.3527397260273973 vs 0.353
B,season 2023 shadow_zone_rate,PASS,0.6171232876712329 vs 0.6171
B,season 2023 shadow_miss_rate,PASS,0.38287671232876713 vs 0.3829
B,season 2023 beyond_shadow_chase_rate,PASS,0.33273703041144903 vs 0.3327
B,season 2023 n_beyond,PASS,559 vs 559
B,season 2023 xwoba,PASS,0.37160498220640564 vs 0.3716049822064057
B,season 2023 fpsr,PASS,0.6649874055415617 vs 0.6649874055415617
B,season 2024 pitches,PASS,2797 vs 2797
B,season 2024 plate_apps,PASS,755 vs 755
B,season 2024 walks,PASS,44 vs 44
B,season 2024 bbrate,PASS,0.05827814569536424 vs 0.058
B,season 2024 in_zone_rate,PASS,0.4966035037540222 vs 0.497
B,season 2024 chase_rate,PASS,0.3643465909090909 vs 0.364
B,season 2024 pitch_share_ahead,PASS,0.328923846978906 vs 0.3289
B,season 2024 pitch_share_behind,PASS,0.23846978905970684 vs 0.2385
B,season 2024 edge_rate,PASS,0.3535931355023239 vs 0.354
B,season 2024 shadow_zone_rate,PASS,0.6271004647836969 vs 0.6271
B,season 2024 shadow_miss_rate,PASS,0.3728995352163032 vs 0.3729
B,season 2024 beyond_shadow_chase_rate,PASS,0.2914669223394056 vs 0.2915
B,season 2024 n_beyond,PASS,1043 vs 1043
B,season 2024 xwoba,PASS,0.2938836853333333 vs 0.2938836853333333
B,season 2024 fpsr,PASS,0.6578249336870027 vs 0.6578249336870027
B,season 2025 pitches,PASS,2896 vs 2896
B,season 2025 plate_apps,PASS,809 vs 809
B,season 2025 walks,PASS,44 vs 44
B,season 2025 bbrate,PASS,0.054388133498145856 vs 0.054
B,season 2025 in_zone_rate,PASS,0.5189917127071824 vs 0.519
B,season 2025 chase_rate,PASS,0.31586503948312994 vs 0.316
B,season 2025 pitch_share_ahead,PASS,0.31146408839779005 vs 0.3115
B,season 2025 pitch_share_behind,PASS,0.22790055248618785 vs 0.2279
B,season 2025 edge_rate,PASS,0.36511226252158896 vs 0.365
B,season 2025 shadow_zone_rate,PASS,0.6556131260794473 vs 0.6556
B,season 2025 shadow_miss_rate,PASS,0.34438687392055267 vs 0.3444
B,season 2025 beyond_shadow_chase_rate,PASS,0.2587763289869609 vs 0.2588
B,season 2025 n_beyond,PASS,997 vs 997
B,season 2025 xwoba,PASS,0.2785198827930175 vs 0.2785198827930175
B,season 2025 fpsr,PASS,0.6534653465346535 vs 0.6534653465346535
B,season 2026 pitches,PASS,2960 vs 2960
B,season 2026 plate_apps,PASS,805 vs 805
B,season 2026 walks,PASS,44 vs 44
B,season 2026 bbrate,PASS,0.0546583850931677 vs 0.055
B,season 2026 in_zone_rate,PASS,0.4652027027027027 vs 0.465
B,season 2026 chase_rate,PASS,0.36197094125078966 vs 0.362
B,season 2026 pitch_share_ahead,PASS,0.31317567567567567 vs 0.3132
B,season 2026 pitch_share_behind,PASS,0.24493243243243243 vs 0.2449
B,season 2026 edge_rate,PASS,0.3584459459459459 vs 0.358
B,season 2026 shadow_zone_rate,PASS,0.5925675675675676 vs 0.5926
B,season 2026 shadow_miss_rate,PASS,0.40743243243243243 vs 0.4074
B,season 2026 beyond_shadow_chase_rate,PASS,0.30597014925373134 vs 0.306
B,season 2026 n_beyond,PASS,1206 vs 1206
B,season 2026 xwoba,PASS,0.2859297841907152 vs 0.2859297841907152
B,season 2026 fpsr,PASS,0.6496894409937888 vs 0.6496894409937888
B,half 20231H pitches,PASS,
B,half 20231H plate_apps,PASS,
B,half 20231H walks,PASS,
B,half 20231H bbrate,PASS,
B,half 20231H in_zone_rate,PASS,
B,half 20231H chase_rate,PASS,
B,half 20231H pitch_share_ahead,PASS,
B,half 20231H edge_rate,PASS,
B,half 20231H shadow_miss_rate,PASS,
B,half 20231H beyond_shadow_chase_rate,PASS,
B,half 20231H n_beyond,PASS,
B,half 20232H pitches,PASS,
B,half 20232H plate_apps,PASS,
B,half 20232H walks,PASS,
B,half 20232H bbrate,PASS,
B,half 20232H in_zone_rate,PASS,
B,half 20232H chase_rate,PASS,
B,half 20232H pitch_share_ahead,PASS,
B,half 20232H edge_rate,PASS,
B,half 20232H shadow_miss_rate,PASS,
B,half 20232H beyond_shadow_chase_rate,PASS,
B,half 20232H n_beyond,PASS,
B,half 20241H pitches,PASS,
B,half 20241H plate_apps,PASS,
B,half 20241H walks,PASS,
B,half 20241H bbrate,PASS,
B,half 20241H in_zone_rate,PASS,
B,half 20241H chase_rate,PASS,
B,half 20241H pitch_share_ahead,PASS,
B,half 20241H edge_rate,PASS,
B,half 20241H shadow_miss_rate,PASS,
B,half 20241H beyond_shadow_chase_rate,PASS,
B,half 20241H n_beyond,PASS,
B,half 20242H pitches,PASS,
B,half 20242H plate_apps,PASS,
B,half 20242H walks,PASS,
B,half 20242H bbrate,PASS,
B,half 20242H in_zone_rate,PASS,
B,half 20242H chase_rate,PASS,
B,half 20242H pitch_share_ahead,PASS,
B,half 20242H edge_rate,PASS,
B,half 20242H shadow_miss_rate,PASS,
B,half 20242H beyond_shadow_chase_rate,PASS,
B,half 20242H n_beyond,PASS,
B,half 20251H pitches,PASS,
B,half 20251H plate_apps,PASS,
B,half 20251H walks,PASS,
B,half 20251H bbrate,PASS,
B,half 20251H in_zone_rate,PASS,
B,half 20251H chase_rate,PASS,
B,half 20251H pitch_share_ahead,PASS,
B,half 20251H edge_rate,PASS,
B,half 20251H shadow_miss_rate,PASS,
B,half 20251H beyond_shadow_chase_rate,PASS,
B,half 20251H n_beyond,PASS,
B,half 20252H pitches,PASS,
B,half 20252H plate_apps,PASS,
B,half 20252H walks,PASS,
B,half 20252H bbrate,PASS,
B,half 20252H in_zone_rate,PASS,
B,half 20252H chase_rate,PASS,
B,half 20252H pitch_share_ahead,PASS,
B,half 20252H edge_rate,PASS,
B,half 20252H shadow_miss_rate,PASS,
B,half 20252H beyond_shadow_chase_rate,PASS,
B,half 20252H n_beyond,PASS,
B,half 20261H pitches,PASS,
B,half 20261H plate_apps,PASS,
B,half 20261H walks,PASS,
B,half 20261H bbrate,PASS,
